,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,38:41,14,23,.609,1,3,.333,5,7,.714,2,12,14,12,1,1,4,2,34,-4
Damian Lillard,38:27,10,23,.435,4,12,.333,4,4,1.000,0,5,5,12,0,0,1,2,28,+13
Malik Beasley,34:09,5,12,.417,4,9,.444,0,0,,1,3,4,2,1,0,1,3,14,+11
Brook Lopez,31:36,4,6,.667,3,3,1.000,0,0,,0,3,3,1,0,1,0,2,11,+13
Jae Crowder,21:13,1,5,.200,0,2,.000,2,2,1.000,1,2,3,0,1,0,0,2,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pat Connaughton,30:31,6,7,.857,4,5,.800,1,2,.500,1,5,6,1,0,0,0,1,17,-2
Bobby Portis,25:43,6,13,.462,0,4,.000,2,2,1.000,1,7,8,0,0,0,0,2,14,-11
Patrick Beverley,16:28,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-16
Danilo Gallinari,3:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
Thanasis Antetokounmpo,Did Not Play
MarJon Beauchamp,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Team Totals,240,46,93,.495,16,41,.390,14,17,.824,6,37,43,28,3,2,6,17,122,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,7:51,3,5,.600,0,1,.000,0,0,,0,4,4,2,0,0,1,1,6,0
Damian Lillard,12:00,1,6,.167,0,4,.000,0,0,,0,0,0,4,0,0,0,1,2,+3
Malik Beasley,11:34,3,5,.600,2,3,.667,0,0,,1,2,3,1,1,0,1,1,8,+6
Brook Lopez,11:34,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,8,+6
Jae Crowder,7:25,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,0,2,2,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pat Connaughton,4:35,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Bobby Portis,4:35,2,4,.500,0,1,.000,0,0,,0,3,3,0,0,0,0,0,4,0
Patrick Beverley,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Danilo Gallinari, 
Thanasis Antetokounmpo,Did Not Play
MarJon Beauchamp,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Team Totals,60,12,24,.500,4,12,.333,2,2,1.000,2,11,13,7,1,0,2,5,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,11:12,4,8,.500,0,0,,2,2,1.000,1,2,3,4,0,0,0,1,10,-9
Damian Lillard,5:49,4,6,.667,2,3,.667,1,1,1.000,0,1,1,1,0,0,1,0,11,+4
Malik Beasley,5:04,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,2,3,+3
Brook Lopez,3:32,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+4
Jae Crowder,8:48,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pat Connaughton,6:56,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,3,-10
Bobby Portis,9:16,2,4,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,1,4,-9
Patrick Beverley,6:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-11
Danilo Gallinari,3:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
Thanasis Antetokounmpo,Did Not Play
MarJon Beauchamp,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Team Totals,60,13,26,.500,4,11,.364,3,3,1.000,3,6,9,6,0,0,1,7,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,19:03,7,13,.538,0,1,.000,2,2,1.000,1,6,7,6,0,0,1,2,16,-9
Damian Lillard,17:49,5,12,.417,2,7,.286,1,1,1.000,0,1,1,5,0,0,1,1,13,+7
