,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,34:40,9,14,.643,5,8,.625,2,2,1.000,0,5,5,5,3,0,1,2,25,+9
Dennis Schröder,33:39,7,11,.636,3,5,.600,0,0,,0,2,2,8,2,0,4,1,17,+9
Dorian Finney-Smith,33:00,3,10,.300,3,9,.333,2,2,1.000,2,2,4,4,0,1,0,1,11,+3
Cam Thomas,30:38,9,19,.474,5,7,.714,6,8,.750,2,5,7,5,1,0,1,2,29,+27
Nic Claxton,27:48,7,10,.700,0,0,,2,2,1.000,2,8,10,3,1,0,1,3,16,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,20:22,2,3,.667,1,2,.500,2,2,1.000,2,1,3,2,0,0,1,4,7,+22
Jalen Wilson,19:01,2,4,.500,1,2,.500,2,2,1.000,0,3,3,1,0,0,2,1,7,+11
Day'Ron Sharpe,16:37,2,2,1.000,0,0,,0,0,,0,3,3,4,0,1,0,2,4,+17
Lonnie Walker IV,13:32,1,6,.167,0,2,.000,2,2,1.000,0,1,1,1,0,1,2,1,4,-5
Trendon Watford,4:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Keita Bates-Diop,3:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Noah Clowney,3:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Team Totals,240,42,79,.532,18,35,.514,18,20,.900,8,32,40,33,7,3,12,17,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,9:14,3,5,.600,1,1,1.000,2,2,1.000,0,2,2,0,2,0,1,0,9,-1
Dennis Schröder,9:59,1,3,.333,1,1,1.000,0,0,,0,0,0,1,0,0,3,1,3,+3
Dorian Finney-Smith,7:59,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,1,0,1,3,+2
Cam Thomas,8:24,1,4,.250,0,1,.000,3,4,.750,2,1,3,3,1,0,0,1,5,+3
Nic Claxton,5:19,1,1,1.000,0,0,,1,1,1.000,1,1,2,1,1,0,0,1,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,1:42,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2,-2
Jalen Wilson,4:20,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-1
Day'Ron Sharpe,6:22,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0
Lonnie Walker IV,6:41,1,4,.250,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,4,0
Trendon Watford, 
Keita Bates-Diop, 
Noah Clowney, 
Team Totals,60,8,20,.400,3,6,.500,10,11,.909,4,8,12,7,4,1,4,5,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,8:29,1,2,.500,1,2,.500,0,0,,0,1,1,1,1,0,0,0,3,+1
Dennis Schröder,7:24,1,2,.500,0,1,.000,0,0,,0,0,0,3,1,0,0,0,2,-7
Dorian Finney-Smith,9:56,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-3
Cam Thomas,8:07,1,3,.333,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,4,+6
Nic Claxton,12:00,4,6,.667,0,0,,1,1,1.000,1,3,4,0,0,0,0,1,9,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,8:25,1,2,.500,0,1,.000,0,0,,1,1,2,2,0,0,1,3,2,+7
Jalen Wilson,2:04,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,+3
Day'Ron Sharpe, 
Lonnie Walker IV,3:35,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,1,0,-7
Trendon Watford, 
Keita Bates-Diop, 
Noah Clowney, 
Team Totals,60,9,19,.474,2,7,.286,3,3,1.000,2,7,9,8,2,0,4,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,17:43,4,7,.571,2,3,.667,2,2,1.000,0,3,3,1,3,0,1,0,12,0
Dennis Schröder,17:23,2,5,.400,1,2,.500,0,0,,0,0,0,4,1,0,3,1,5,-4
Dorian Finney-Smith,17:55,1,4,.250,1,3,.333,0,0,,0,2,2,2,0,1,0,1,3,-1
Cam Thomas,16:31,2,7,.286,0,1,.000,5,6,.833,2,1,3,4,1,0,0,1,9,+9
Nic Claxton,17:19,5,7,.714,0,0,,2,2,1.000,2,4,6,1,1,0,0,2,12,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,10:07,1,2,.500,0,1,.000,2,2,1.000,2,1,3,2,0,0,1,3,4,+5
Jalen Wilson,6:24,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,1,0,3,+2
Day'Ron Sharpe,6:22,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0
Lonnie Walker IV,10:16,1,6,.167,0,2,.000,2,2,1.000,0,1,1,0,0,0,2,1,4,-7
Trendon Watford, 
Keita Bates-Diop, 
Noah Clowney, 
Team Totals,120,17,39,.436,5,13,.385,13,14,.929,6,15,21,15,6,1,8,10,52,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,8:13,4,4,1.000,3,3,1.000,0,0,,0,1,1,3,0,0,0,1,11,+8
Dennis Schröder,12:00,4,4,1.000,1,1,1.000,0,0,,0,2,2,3,1,0,0,0,9,+15
Dorian Finney-Smith,9:54,1,3,.333,1,3,.333,2,2,1.000,2,0,2,1,0,0,0,0,5,+10
Cam Thomas,10:34,4,8,.500,3,3,1.000,0,1,.000,0,3,3,1,0,0,1,1,11,+11
Nic Claxton,6:47,2,3,.667,0,0,,0,0,,0,1,1,2,0,0,0,0,4,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,5:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+11
Jalen Wilson,2:06,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+5
Day'Ron Sharpe,5:13,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,4,+11
Lonnie Walker IV, 
Trendon Watford, 
Keita Bates-Diop, 
Noah Clowney, 
Team Totals,60,17,24,.708,8,10,.800,2,3,.667,2,7,9,12,1,0,1,2,44,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,8:44,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,1,2,+1
Dennis Schröder,4:16,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,1,0,3,-2
Dorian Finney-Smith,5:11,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,0,3,-6
Cam Thomas,3:33,3,4,.750,2,3,.667,1,1,1.000,0,1,1,0,0,0,0,0,9,+7
Nic Claxton,3:42,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,1,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,5:02,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+6
Jalen Wilson,10:31,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,1,4,+4
Day'Ron Sharpe,5:02,0,0,,0,0,,0,0,,0,2,2,2,0,1,0,1,0,+6
Lonnie Walker IV,3:16,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,+2
Trendon Watford,4:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Keita Bates-Diop,3:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Noah Clowney,3:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Team Totals,60,8,16,.500,5,12,.417,3,3,1.000,0,10,10,6,0,2,3,5,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,16:57,5,7,.714,3,5,.600,0,0,,0,2,2,4,0,0,0,2,13,+9
Dennis Schröder,16:16,5,6,.833,2,3,.667,0,0,,0,2,2,4,1,0,1,0,12,+13
Dorian Finney-Smith,15:05,2,6,.333,2,6,.333,2,2,1.000,2,0,2,2,0,0,0,0,8,+4
Cam Thomas,14:07,7,12,.583,5,6,.833,1,2,.500,0,4,4,1,0,0,1,1,20,+18
Nic Claxton,10:29,2,3,.667,0,0,,0,0,,0,4,4,2,0,0,1,1,4,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,10:15,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+17
Jalen Wilson,12:37,1,3,.333,0,1,.000,2,2,1.000,0,1,1,1,0,0,1,1,4,+9
Day'Ron Sharpe,10:15,2,2,1.000,0,0,,0,0,,0,2,2,3,0,1,0,1,4,+17
Lonnie Walker IV,3:16,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,+2
Trendon Watford,4:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Keita Bates-Diop,3:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Noah Clowney,3:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Team Totals,120,25,40,.625,13,22,.591,5,6,.833,2,17,19,18,1,2,4,7,68,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mikal Bridges,34:40,.840,.821,.571,.143,0.0,18.7,9.8,23.4,4.6,0.0,6.3,22.0,157,106,13.6
Dennis Schröder,33:39,.773,.773,.455,.000,0.0,7.7,4.0,35.6,3.2,0.0,26.7,21.4,123,111,3.4
Dorian Finney-Smith,33:00,.506,.450,.900,.200,8.6,7.9,8.2,15.5,0.0,3.3,0.0,15.9,133,116,-1.1
Cam Thomas,30:38,.644,.605,.368,.421,9.2,21.2,15.4,28.1,1.7,0.0,4.3,36.9,136,112,7.1
Nic Claxton,27:48,.735,.700,.000,.200,10.2,37.3,24.3,17.3,1.9,0.0,8.4,20.6,148,110,3.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dennis Smith Jr.,20:22,.902,.833,.667,.667,13.9,6.4,10.0,12.6,0.0,0.0,20.5,11.5,162,117,-3.2
Jalen Wilson,19:01,.717,.625,.500,.500,0.0,20.5,10.7,6.8,0.0,0.0,29.1,17.4,102,117,-7.2
Day'Ron Sharpe,16:37,1.000,1.000,.000,.000,0.0,23.4,12.2,31.9,0.0,6.6,0.0,5.8,222,110,10.0
Lonnie Walker IV,13:32,.291,.167,.333,.333,0.0,9.6,5.0,9.2,0.0,8.1,22.5,31.6,57,111,-24.1
Trendon Watford,4:11,,,,,0.0,31.0,16.2,0.0,0.0,0.0,,0.0,0,116,-7.8
Keita Bates-Diop,3:16,,,,,0.0,39.7,20.7,0.0,0.0,0.0,,0.0,0,114,-6.1
Noah Clowney,3:16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-9.2
Team Totals,240,.683,.646,.443,.253,23.5,86.5,56.3,78.6,7.8,6.8,12.0,100.0,133.3,112.2,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,29:56,4,6,.667,2,3,.667,1,2,.500,0,4,4,1,1,1,1,3,11,-11
Jarrett Allen,28:53,6,11,.545,0,0,,3,4,.750,2,7,9,3,0,2,1,2,15,-2
Caris LeVert,28:46,2,6,.333,1,3,.333,1,2,.500,0,3,3,7,3,0,3,0,6,-3
Darius Garland,27:21,4,9,.444,3,6,.500,3,3,1.000,0,1,1,5,1,0,4,3,14,-16
Georges Niang,24:37,8,12,.667,3,5,.600,1,1,1.000,1,2,3,2,0,0,0,2,20,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Craig Porter Jr.,24:38,5,11,.455,3,4,.750,0,0,,0,2,2,4,0,0,2,1,13,-13
Sam Merrill,21:50,1,7,.143,1,7,.143,2,2,1.000,0,0,0,2,1,1,0,4,5,-16
Isaiah Mobley,19:36,1,3,.333,0,0,,0,0,,0,4,4,1,0,0,0,1,2,-7
Damian Jones,19:07,3,4,.750,0,0,,2,4,.500,2,1,3,0,2,0,0,1,8,-17
Emoni Bates,12:00,3,7,.429,1,4,.250,0,2,.000,0,1,1,0,0,0,1,0,7,-3
Pete Nance,3:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Ty Jerome,Did Not Dress
Team Totals,240,37,76,.487,14,32,.438,13,20,.650,5,26,31,25,8,4,12,17,101,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,9:19,1,3,.333,0,1,.000,1,2,.500,0,2,2,0,1,0,0,1,3,-4
Jarrett Allen,9:40,1,3,.333,0,0,,2,2,1.000,1,2,3,2,0,1,1,2,4,+1
Caris LeVert,9:59,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,1,0,2,+1
Darius Garland,8:05,3,5,.600,2,4,.500,1,1,1.000,0,0,0,2,0,0,3,2,9,-3
Georges Niang,9:00,1,3,.333,1,1,1.000,0,0,,1,0,1,1,0,0,0,1,3,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Craig Porter Jr.,2:41,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+3
Sam Merrill,5:56,1,3,.333,1,3,.333,2,2,1.000,0,0,0,0,0,1,0,1,5,0
Isaiah Mobley,3:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+3
Damian Jones,2:20,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-2
Emoni Bates, 
Pete Nance, 
Ty Jerome,Did Not Dress
Team Totals,60,9,20,.450,4,9,.444,6,7,.857,2,6,8,7,3,2,5,7,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,8:37,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,+8
Jarrett Allen,7:24,1,2,.500,0,0,,1,2,.500,0,2,2,1,0,0,0,0,3,+7
Caris LeVert,12:00,0,1,.000,0,1,.000,1,2,.500,0,1,1,2,1,0,2,0,1,0
Darius Garland,7:16,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,1,1,0,+2
Georges Niang,7:24,4,6,.667,2,4,.500,1,1,1.000,0,1,1,0,0,0,0,0,11,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Craig Porter Jr.,4:44,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,-2
Sam Merrill,3:23,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,2,0,-8
Isaiah Mobley,4:36,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-7
Damian Jones,4:36,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Emoni Bates, 
Pete Nance, 
Ty Jerome,Did Not Dress
Team Totals,60,8,16,.500,4,9,.444,3,5,.600,0,7,7,6,3,0,3,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,17:56,2,4,.500,1,2,.500,1,2,.500,0,2,2,1,1,0,0,2,6,+4
Jarrett Allen,17:04,2,5,.400,0,0,,3,4,.750,1,4,5,3,0,1,1,2,7,+8
Caris LeVert,21:59,1,3,.333,0,1,.000,1,2,.500,0,2,2,3,2,0,3,0,3,+1
Darius Garland,15:21,3,6,.500,2,4,.500,1,1,1.000,0,1,1,3,1,0,4,3,9,-1
Georges Niang,16:24,5,9,.556,3,5,.600,1,1,1.000,1,1,2,1,0,0,0,1,14,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Craig Porter Jr.,7:25,3,4,.750,1,2,.500,0,0,,0,1,1,0,0,0,0,0,7,+1
Sam Merrill,9:19,1,4,.250,1,4,.250,2,2,1.000,0,0,0,1,1,1,0,3,5,-8
