,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Beasley,38:40,6,11,.545,4,9,.444,1,1,1.000,0,4,4,1,0,0,1,0,17,+20
Giannis Antetokounmpo,38:37,12,24,.500,0,2,.000,10,15,.667,0,7,7,10,1,1,3,3,34,+19
Damian Lillard,38:01,11,19,.579,7,13,.538,6,7,.857,1,6,7,11,0,0,2,1,35,-1
Brook Lopez,31:12,2,4,.500,1,2,.500,2,2,1.000,2,4,6,1,0,2,1,2,7,-5
Jae Crowder,19:23,3,5,.600,1,2,.500,0,0,,1,1,2,1,1,1,0,3,7,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pat Connaughton,26:14,1,5,.200,1,5,.200,2,2,1.000,0,3,3,2,1,1,0,0,5,-1
Bobby Portis,25:53,5,14,.357,1,2,.500,0,0,,3,5,8,1,0,0,0,1,11,-2
Patrick Beverley,15:33,2,4,.500,1,2,.500,0,0,,0,4,4,1,2,1,0,5,5,-6
Danilo Gallinari,6:27,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+5
Thanasis Antetokounmpo,Did Not Play
MarJon Beauchamp,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Team Totals,240,43,87,.494,17,38,.447,21,27,.778,7,34,41,28,5,6,7,15,124,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Beasley,8:11,1,4,.250,1,4,.250,0,0,,0,0,0,1,0,0,1,0,3,+3
Giannis Antetokounmpo,8:05,2,5,.400,0,1,.000,0,0,,0,3,3,4,0,0,0,0,4,-2
Damian Lillard,11:02,4,5,.800,4,5,.800,0,0,,0,0,0,2,0,0,1,0,12,-4
Brook Lopez,9:27,0,1,.000,0,0,,2,2,1.000,0,0,0,1,0,1,0,0,2,-1
Jae Crowder,5:32,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,2,2,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pat Connaughton,6:28,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-5
Bobby Portis,6:28,1,5,.200,1,2,.500,0,0,,1,2,3,0,0,0,0,0,3,-5
Patrick Beverley,3:49,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-7
Danilo Gallinari,0:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Thanasis Antetokounmpo,Did Not Play
MarJon Beauchamp,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Team Totals,60,10,26,.385,7,15,.467,2,2,1.000,2,8,10,8,0,1,2,2,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Beasley,8:27,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+1
Giannis Antetokounmpo,10:22,3,6,.500,0,0,,4,6,.667,0,2,2,2,0,1,1,0,10,+3
Damian Lillard,6:31,0,1,.000,0,1,.000,1,2,.500,0,1,1,3,0,0,1,0,1,-4
Brook Lopez,4:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Jae Crowder,2:32,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pat Connaughton,3:33,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,0
Bobby Portis,9:28,4,7,.571,0,0,,0,0,,2,1,3,1,0,0,0,1,8,+5
Patrick Beverley,9:35,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,2,1,0,3,5,+5
Danilo Gallinari,5:29,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+5
Thanasis Antetokounmpo,Did Not Play
MarJon Beauchamp,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Team Totals,60,11,19,.579,3,5,.600,5,8,.625,2,7,9,7,2,4,2,4,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Beasley,16:38,2,5,.400,2,5,.400,0,0,,0,1,1,1,0,0,1,0,6,+4
Giannis Antetokounmpo,18:27,5,11,.455,0,1,.000,4,6,.667,0,5,5,6,0,1,1,0,14,+1
Damian Lillard,17:33,4,6,.667,4,6,.667,1,2,.500,0,1,1,5,0,0,2,0,13,-8
Brook Lopez,13:30,0,1,.000,0,0,,2,2,1.000,0,0,0,1,0,1,0,0,2,-7
Jae Crowder,8:04,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,1,0,2,2,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pat Connaughton,10:01,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,1,0,0,3,-5
Bobby Portis,15:56,5,12,.417,1,2,.500,0,0,,3,3,6,1,0,0,0,1,11,0
Patrick Beverley,13:24,2,4,.500,1,2,.500,0,0,,0,3,3,1,2,1,0,3,5,-2
Danilo Gallinari,6:27,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+5
Thanasis Antetokounmpo,Did Not Play
MarJon Beauchamp,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Team Totals,120,21,45,.467,10,20,.500,7,10,.700,4,15,19,15,2,5,4,6,59,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Beasley,12:00,3,4,.750,1,2,.500,1,1,1.000,0,2,2,0,0,0,0,0,8,+9
Giannis Antetokounmpo,12:00,4,9,.444,0,1,.000,3,5,.600,0,1,1,3,1,0,0,2,11,+9
Damian Lillard,8:28,3,6,.500,0,2,.000,0,0,,0,3,3,4,0,0,0,0,6,+6
Brook Lopez,5:53,1,1,1.000,0,0,,0,0,,1,1,2,0,0,1,0,1,2,+3
Jae Crowder,11:19,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,1,5,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pat Connaughton,4:13,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,+3
Bobby Portis,6:07,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+6
Patrick Beverley, 
Danilo Gallinari, 
Thanasis Antetokounmpo,Did Not Play
MarJon Beauchamp,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Team Totals,60,13,24,.542,2,6,.333,4,6,.667,1,10,11,10,2,1,0,4,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
