,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Corey Kispert,39:16,8,15,.533,5,10,.500,1,2,.500,3,2,5,6,0,0,2,1,22,+12
Kyle Kuzma,38:26,9,23,.391,2,7,.286,12,16,.750,1,8,9,4,0,2,4,2,32,+9
Tyus Jones,38:11,5,9,.556,2,5,.400,0,0,,0,4,4,16,1,0,1,0,12,+9
Bilal Coulibaly,36:19,4,8,.500,3,5,.600,0,0,,0,4,4,1,2,2,1,2,11,+17
Deni Avdija,35:29,7,14,.500,1,4,.250,1,1,1.000,2,8,10,2,1,1,2,5,16,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,22:35,2,6,.333,2,5,.400,0,0,,0,4,4,6,1,0,4,5,6,-21
Patrick Baldwin Jr.,11:08,3,5,.600,1,3,.333,1,1,1.000,0,2,2,0,0,0,1,0,8,-7
Johnny Davis,8:47,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,1,1,-4
Landry Shamet,7:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-9
Eugene Omoruyi,2:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-4
Anthony Gill,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Jules Bernard,Did Not Play
R.J. Hampton,Did Not Play
Richaun Holmes,Did Not Dress
Team Totals,240,39,81,.481,16,39,.410,16,22,.727,6,34,40,35,5,5,15,18,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Corey Kispert,10:45,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,0,5,+1
