,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,39:11,14,26,.538,5,10,.500,4,5,.800,0,8,8,6,1,0,3,2,37,+13
Devin Booker,38:09,11,22,.500,1,7,.143,4,4,1.000,4,2,6,7,0,1,2,2,27,+12
Grayson Allen,35:40,4,6,.667,4,5,.800,2,2,1.000,1,2,3,2,2,2,2,3,14,+5
Bradley Beal,35:39,10,19,.526,2,7,.286,2,2,1.000,2,3,5,4,3,0,1,3,24,+6
Jusuf Nurkić,29:28,4,5,.800,0,0,,1,6,.167,3,5,8,0,0,1,3,4,9,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,29:10,0,2,.000,0,2,.000,0,0,,0,4,4,4,1,0,2,4,0,+3
Drew Eubanks,17:59,2,2,1.000,0,0,,0,0,,2,4,6,0,1,1,0,0,4,+5
Bol Bol,9:51,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,0,0,-12
David Roddy,4:53,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+1
Josh Okogie,Did Not Dress
Ish Wainright,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,240,46,84,.548,12,32,.375,13,19,.684,12,30,42,23,8,6,14,18,117,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,12:00,4,9,.444,1,2,.500,0,0,,0,1,1,4,0,0,3,0,9,-9
Devin Booker,12:00,3,6,.500,1,3,.333,0,0,,0,0,0,2,0,1,0,0,7,-9
Grayson Allen,8:35,2,3,.667,2,2,1.000,0,0,,0,1,1,0,0,1,1,1,6,-11
Bradley Beal,9:26,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,5,-4
Jusuf Nurkić,7:59,1,1,1.000,0,0,,1,2,.500,2,2,4,0,0,0,1,0,3,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,5:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Drew Eubanks,4:01,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,0
Bol Bol, 
David Roddy, 
Josh Okogie,Did Not Dress
Ish Wainright,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,60,13,22,.591,5,8,.625,1,2,.500,3,5,8,6,1,2,5,2,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,7:21,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,0,0,0,4,+3
Devin Booker,6:19,3,4,.750,0,0,,2,2,1.000,0,1,1,1,0,0,0,1,8,+8
Grayson Allen,4:46,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,2,0,-1
Bradley Beal,8:34,5,10,.500,1,3,.333,0,0,,1,1,2,0,0,0,1,1,11,-2
Jusuf Nurkić,8:26,2,3,.667,0,0,,0,1,.000,1,2,3,0,0,1,1,2,4,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,10:33,0,0,,0,0,,0,0,,0,2,2,3,1,0,0,2,0,+5
Drew Eubanks,3:27,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+4
Bol Bol,5:41,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,0,0,-6
David Roddy,4:53,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+1
