,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,37:58,10,20,.500,1,3,.333,5,5,1.000,2,5,7,9,0,0,4,1,26,-3
Bruce Brown,37:37,5,14,.357,1,3,.333,2,2,1.000,1,9,10,3,0,0,2,2,13,-8
Gradey Dick,36:25,7,12,.583,2,4,.500,1,1,1.000,1,3,4,7,2,0,1,0,17,-5
Kelly Olynyk,28:43,9,13,.692,2,4,.500,4,5,.800,2,4,6,1,0,0,1,4,24,-3
Ochai Agbaji,28:38,4,7,.571,0,0,,0,1,.000,1,1,2,1,0,2,0,5,8,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jontay Porter,21:58,5,9,.556,4,7,.571,0,0,,1,1,2,5,1,0,2,2,14,+1
Jalen McDaniels,19:29,5,9,.556,0,3,.000,2,3,.667,2,1,3,1,3,0,1,1,12,-9
Jordan Nwora,16:50,2,7,.286,1,4,.250,0,0,,1,6,7,1,0,1,0,0,5,+2
Javon Freeman-Liberty,12:22,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,1,0,1,0,+3
Jahmi'us Ramsey,Did Not Play
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Team Totals,240,47,93,.505,11,30,.367,14,17,.824,11,31,42,30,6,4,11,16,119,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,9:05,3,6,.500,0,0,,0,0,,1,0,1,0,0,0,1,1,6,+2
Bruce Brown,8:04,2,4,.500,1,2,.500,2,2,1.000,1,3,4,1,0,0,0,0,7,-3
Gradey Dick,11:46,2,5,.400,1,2,.500,1,1,1.000,1,1,2,1,2,0,0,0,6,+2
Kelly Olynyk,4:55,3,5,.600,2,3,.667,0,0,,0,1,1,1,0,0,1,2,8,-3
Ochai Agbaji,8:51,1,1,1.000,0,0,,0,0,,1,0,1,0,0,1,0,1,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jontay Porter,7:05,1,3,.333,1,2,.500,0,0,,0,1,1,2,1,0,1,0,3,+5
Jalen McDaniels,3:09,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,1,0,2,0
Jordan Nwora,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Javon Freeman-Liberty,6:51,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+5
Jahmi'us Ramsey,Did Not Play
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Team Totals,60,13,27,.481,5,10,.500,3,3,1.000,5,6,11,6,4,1,4,4,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,9:19,3,3,1.000,1,1,1.000,2,2,1.000,0,1,1,3,0,0,1,0,9,+11
Bruce Brown,10:07,1,4,.250,0,0,,0,0,,0,4,4,1,0,0,0,0,2,+10
Gradey Dick,7:10,3,3,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,7,+4
Kelly Olynyk,8:16,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,+5
Ochai Agbaji,5:40,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,0,0,2,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jontay Porter,6:25,2,3,.667,1,2,.500,0,0,,1,0,1,3,0,0,0,0,5,+14
Jalen McDaniels,4:50,2,3,.667,0,1,.000,2,2,1.000,1,0,1,1,2,0,0,0,6,+11
Jordan Nwora,6:43,1,4,.250,1,3,.333,0,0,,0,4,4,1,0,0,0,0,3,+16
Javon Freeman-Liberty,1:30,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,+5
Jahmi'us Ramsey,Did Not Play
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Team Totals,60,13,23,.565,4,9,.444,4,4,1.000,2,13,15,11,2,2,1,0,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,18:24,6,9,.667,1,1,1.000,2,2,1.000,1,1,2,3,0,0,2,1,15,+13
Bruce Brown,18:11,3,8,.375,1,2,.500,2,2,1.000,1,7,8,2,0,0,0,0,9,+7
Gradey Dick,18:56,5,8,.625,2,3,.667,1,1,1.000,1,1,2,3,2,0,0,0,13,+6
Kelly Olynyk,13:11,3,6,.500,2,4,.500,0,0,,0,3,3,1,0,0,1,2,8,+2
Ochai Agbaji,14:31,2,3,.667,0,0,,0,0,,1,1,2,0,0,2,0,1,4,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jontay Porter,13:30,3,6,.500,2,4,.500,0,0,,1,1,2,5,1,0,1,0,8,+19
Jalen McDaniels,7:59,3,5,.600,0,1,.000,2,2,1.000,2,0,2,1,3,0,1,0,8,+11
Jordan Nwora,6:57,1,4,.250,1,3,.333,0,0,,0,4,4,1,0,0,0,0,3,+16
Javon Freeman-Liberty,8:21,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,0,0,+10
Jahmi'us Ramsey,Did Not Play
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Team Totals,120,26,50,.520,9,19,.474,7,7,1.000,7,19,26,17,6,3,5,4,68,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,9:43,0,2,.000,0,0,,0,0,,1,1,2,6,0,0,2,0,0,-11
Bruce Brown,9:04,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,2,2,2,-6
Gradey Dick,7:34,2,3,.667,0,1,.000,0,0,,0,2,2,2,0,0,0,0,4,-2
Kelly Olynyk,6:22,5,6,.833,0,0,,4,5,.800,2,1,3,0,0,0,0,1,14,-2
Ochai Agbaji,7:10,1,2,.500,0,0,,0,1,.000,0,0,0,0,0,0,0,3,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jontay Porter,5:38,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,1,1,6,-10
Jalen McDaniels,5:38,0,1,.000,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,-10
Jordan Nwora,4:50,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,-10
Javon Freeman-Liberty,4:01,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-7
Jahmi'us Ramsey,Did Not Play
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Team Totals,60,12,23,.522,2,7,.286,4,7,.571,4,6,10,9,0,0,5,8,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,9:51,4,9,.444,0,2,.000,3,3,1.000,0,3,3,0,0,0,0,0,11,-5
Bruce Brown,10:22,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-9
Gradey Dick,9:55,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,0,0,-9
Kelly Olynyk,9:10,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-3
Ochai Agbaji,6:57,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jontay Porter,2:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-8
Jalen McDaniels,5:52,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,1,4,-10
Jordan Nwora,5:03,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-4
Javon Freeman-Liberty, 
Jahmi'us Ramsey,Did Not Play
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Team Totals,60,9,20,.450,0,4,.000,3,3,1.000,0,6,6,4,0,1,1,4,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,19:34,4,11,.364,0,2,.000,3,3,1.000,1,4,5,6,0,0,2,0,11,-16
Bruce Brown,19:26,2,6,.333,0,1,.000,0,0,,0,2,2,1,0,0,2,2,4,-15
Gradey Dick,17:29,2,4,.500,0,1,.000,0,0,,0,2,2,4,0,0,1,0,4,-11
Kelly Olynyk,15:32,6,7,.857,0,0,,4,5,.800,2,1,3,0,0,0,0,2,16,-5
Ochai Agbaji,14:07,2,4,.500,0,0,,0,1,.000,0,0,0,1,0,0,0,4,4,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jontay Porter,8:28,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,1,2,6,-18
Jalen McDaniels,11:30,2,4,.500,0,2,.000,0,1,.000,0,1,1,0,0,0,0,1,4,-20
Jordan Nwora,9:53,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,1,0,0,2,-14
Javon Freeman-Liberty,4:01,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-7
Jahmi'us Ramsey,Did Not Play
Garrett Temple,Did Not Play
Gary Trent Jr.,Did Not Dress
Team Totals,120,21,43,.488,2,11,.182,7,10,.700,4,12,16,13,0,1,6,12,51,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
RJ Barrett,37:58,.586,.525,.150,.250,6.0,15.1,10.5,33.1,0.0,0.0,15.3,29.7,118,130,-0.1
Bruce Brown,37:37,.437,.393,.214,.143,3.0,27.3,15.2,9.4,0.0,0.0,11.8,19.3,93,128,-10.5
Gradey Dick,36:25,.683,.667,.333,.083,3.1,9.4,6.3,24.4,2.7,0.0,7.4,15.9,143,126,5.3
Kelly Olynyk,28:43,.789,.769,.308,.385,8.0,15.9,11.9,5.2,0.0,0.0,6.2,24.3,150,130,2.7
Ochai Agbaji,28:38,.538,.571,.000,.143,4.0,4.0,4.0,4.2,0.0,5.1,0.0,11.2,119,128,-6.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jontay Porter,21:58,.778,.778,.778,.000,5.2,5.2,5.2,30.3,2.2,0.0,18.2,21.6,135,127,9.4
