,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,36:30,15,29,.517,2,8,.250,5,7,.714,2,6,8,4,1,0,2,3,37,+22
Rudy Gobert,33:26,4,7,.571,0,0,,0,0,,7,4,11,3,2,2,0,2,8,+11
Kyle Anderson,28:48,5,8,.625,0,1,.000,0,1,.000,3,2,5,7,0,0,2,1,10,+7
Mike Conley,27:28,9,15,.600,5,8,.625,0,0,,2,1,3,3,1,0,1,0,23,+4
Jaden McDaniels,23:24,0,8,.000,0,4,.000,0,0,,1,3,4,1,2,0,1,4,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,27:37,9,10,.900,5,6,.833,5,6,.833,1,2,3,1,0,1,2,3,28,+14
Naz Reid,21:56,3,7,.429,0,3,.000,0,0,,1,4,5,3,1,1,0,3,6,+15
Jordan McLaughlin,17:03,2,3,.667,0,0,,0,0,,1,5,6,2,2,1,0,1,4,+24
T.J. Warren,13:44,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,1,2,2,+9
Leonard Miller,2:31,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-2
Josh Minott,2:31,0,2,.000,0,0,,0,0,,0,1,1,1,0,1,0,0,0,-2
Wendell Moore Jr.,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Daishen Nix,2:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,2,0,0,0,0,-2
Team Totals,240,48,94,.511,12,33,.364,10,14,.714,19,29,48,26,11,6,9,20,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,12:00,3,8,.375,0,3,.000,2,2,1.000,0,2,2,0,0,0,1,2,8,-13
Rudy Gobert,8:46,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,0,0,-13
Kyle Anderson,6:35,2,3,.667,0,1,.000,0,1,.000,2,0,2,1,0,0,2,1,4,-10
Mike Conley,6:01,0,1,.000,0,1,.000,0,0,,1,0,1,1,1,0,1,0,0,-8
Jaden McDaniels,8:05,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,0,0,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,5:59,3,3,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,7,-5
Naz Reid,4:38,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,0,0,2,2,0
Jordan McLaughlin,3:14,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,0
T.J. Warren,4:42,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Leonard Miller, 
Josh Minott, 
Wendell Moore Jr., 
Daishen Nix, 
Team Totals,60,9,22,.409,1,9,.111,2,3,.667,7,7,14,4,1,1,5,6,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,8:51,5,9,.556,1,3,.333,3,3,1.000,1,2,3,1,0,0,0,0,14,+13
Rudy Gobert,12:00,1,3,.333,0,0,,0,0,,2,3,5,2,1,2,0,0,2,+5
Kyle Anderson,5:45,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-8
Mike Conley,7:26,3,5,.600,2,4,.500,0,0,,1,0,1,0,0,0,0,0,8,-5
Jaden McDaniels,4:19,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,3,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,9:24,2,3,.667,1,2,.500,3,4,.750,0,1,1,1,0,0,1,0,8,+5
Naz Reid,1:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Jordan McLaughlin,4:34,1,1,1.000,0,0,,0,0,,1,1,2,0,2,0,0,1,2,+10
T.J. Warren,5:46,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+12
Leonard Miller, 
Josh Minott, 
Wendell Moore Jr., 
Daishen Nix, 
Team Totals,60,12,25,.480,4,10,.400,6,7,.857,6,7,13,5,4,2,1,5,34,
,Basic Box Score Stats
