,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,35:55,6,12,.500,1,5,.200,2,2,1.000,0,4,4,1,1,2,0,3,15,+13
Tyrese Haliburton,35:46,8,15,.533,2,6,.333,0,0,,0,4,4,12,2,2,4,0,18,+7
Pascal Siakam,32:29,6,12,.500,0,0,,6,7,.857,0,11,11,4,2,1,0,1,18,+5
Myles Turner,30:02,11,17,.647,2,3,.667,0,0,,0,3,3,4,1,4,1,1,24,+7
Andrew Nembhard,27:24,4,7,.571,2,5,.400,4,4,1.000,0,4,4,5,1,0,2,3,14,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Obi Toppin,18:39,4,6,.667,0,1,.000,2,4,.500,1,3,4,1,0,0,0,1,10,0
Jalen Smith,17:58,2,5,.400,0,2,.000,2,2,1.000,1,8,9,3,0,1,1,1,6,+3
T.J. McConnell,17:29,4,8,.500,1,1,1.000,0,0,,0,0,0,4,1,0,1,0,9,+3
Ben Sheppard,17:27,2,5,.400,0,3,.000,0,0,,1,1,2,0,0,0,0,1,4,-2
Jarace Walker,6:51,1,2,.500,1,2,.500,0,0,,1,1,2,0,0,0,0,0,3,+5
Kendall Brown,Did Not Play
Isaiah Jackson,Did Not Play
James Johnson,Did Not Dress
Team Totals,240,48,89,.539,9,28,.321,16,19,.842,4,39,43,34,8,10,9,11,121,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,8:37,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,0,0,+8
Tyrese Haliburton,10:05,1,3,.333,0,1,.000,0,0,,0,1,1,3,0,1,1,0,2,+8
Pascal Siakam,8:03,2,4,.500,0,0,,0,0,,0,5,5,1,0,0,0,0,4,+2
Myles Turner,7:03,4,5,.800,1,1,1.000,0,0,,0,0,0,1,0,1,0,0,9,+6
Andrew Nembhard,7:32,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,2,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Obi Toppin,5:52,1,1,1.000,0,0,,1,2,.500,1,2,3,1,0,0,0,0,3,0
Jalen Smith,4:57,1,2,.500,0,1,.000,0,0,,0,3,3,0,0,1,1,0,2,-1
T.J. McConnell,4:28,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Ben Sheppard,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Jarace Walker, 
Kendall Brown,Did Not Play
Isaiah Jackson,Did Not Play
James Johnson,Did Not Dress
Team Totals,60,10,21,.476,1,5,.200,1,2,.500,1,14,15,7,0,3,3,1,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,7:13,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,+3
Tyrese Haliburton,7:13,2,3,.667,1,2,.500,0,0,,0,0,0,3,1,0,0,0,5,+3
Pascal Siakam,7:26,1,3,.333,0,0,,4,5,.800,0,1,1,1,1,1,0,0,6,+6
