,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,33:02,2,12,.167,1,6,.167,5,6,.833,0,5,5,6,1,1,2,2,10,-22
Giannis Antetokounmpo,32:53,10,17,.588,0,2,.000,10,14,.714,1,12,13,4,1,0,4,3,30,-18
Brook Lopez,25:56,2,7,.286,1,4,.250,2,2,1.000,3,1,4,0,0,1,2,1,7,-21
Malik Beasley,25:00,4,13,.308,3,11,.273,0,0,,0,3,3,2,0,0,2,1,11,-19
Jae Crowder,15:56,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,1,0,-21
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Patrick Beverley,26:39,1,4,.250,0,3,.000,2,3,.667,0,2,2,4,0,0,0,3,4,-15
Pat Connaughton,22:55,2,9,.222,1,7,.143,2,2,1.000,3,1,4,1,0,0,1,1,7,-10
Bobby Portis,20:41,4,7,.571,0,0,,3,4,.750,0,7,7,1,0,0,0,3,11,-11
A.J. Green,17:04,1,6,.167,1,4,.250,0,0,,0,1,1,1,0,0,0,2,3,-17
Danilo Gallinari,6:38,2,4,.500,0,2,.000,3,4,.750,0,0,0,0,0,0,0,0,7,-7
Thanasis Antetokounmpo,6:38,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-7
Andre Jackson Jr.,6:38,1,1,1.000,0,0,,0,0,,3,1,4,2,0,0,1,0,2,-7
Team Totals,240,30,82,.366,7,39,.179,27,35,.771,10,34,44,23,3,2,13,18,94,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,10:02,0,3,.000,0,0,,0,0,,0,1,1,3,0,1,1,0,0,-4
Giannis Antetokounmpo,8:37,3,5,.600,0,1,.000,2,3,.667,1,2,3,2,1,0,0,1,8,-8
Brook Lopez,8:38,1,4,.250,0,2,.000,0,0,,2,1,3,0,0,0,0,0,2,-8
Malik Beasley,7:35,2,4,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,-11
Jae Crowder,7:35,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Patrick Beverley,4:25,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,3,+3
Pat Connaughton,4:25,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,0,0,5,+3
Bobby Portis,6:45,2,4,.500,0,0,,3,4,.750,0,0,0,1,0,0,0,0,7,0
A.J. Green,1:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-4
Danilo Gallinari, 
Thanasis Antetokounmpo, 
Andre Jackson Jr., 
Team Totals,60,11,25,.440,2,8,.250,6,8,.750,4,6,10,8,1,1,1,2,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,8:06,1,4,.250,0,1,.000,2,2,1.000,0,2,2,0,0,0,1,0,4,-8
Giannis Antetokounmpo,9:15,5,5,1.000,0,0,,4,5,.800,0,4,4,1,0,0,2,0,14,-8
Brook Lopez,7:53,0,0,,0,0,,2,2,1.000,0,0,0,0,0,1,1,1,2,-6
Malik Beasley,9:01,1,5,.200,1,5,.200,0,0,,0,0,0,1,0,0,1,1,3,-8
Jae Crowder,4:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Patrick Beverley,6:38,0,0,,0,0,,1,2,.500,0,0,0,2,0,0,0,0,1,-2
Pat Connaughton,4:59,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,-3
