,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,44:08,15,24,.625,1,6,.167,15,17,.882,0,9,9,3,2,1,2,1,46,+18
Nikola Vučević,43:10,6,14,.429,0,4,.000,0,0,,1,11,12,3,1,0,1,4,12,+23
Ayo Dosunmu,43:02,7,12,.583,1,4,.250,5,6,.833,0,4,4,3,0,2,2,3,20,+1
Alex Caruso,36:44,9,13,.692,5,6,.833,0,0,,1,6,7,7,1,0,1,3,23,+22
Coby White,36:20,6,17,.353,1,3,.333,2,3,.667,2,2,4,3,2,1,1,2,15,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Torrey Craig,21:57,3,5,.600,2,4,.500,2,2,1.000,1,4,5,2,0,0,1,3,10,-12
Onuralp Bitim,12:58,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-9
Julian Phillips,11:11,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,1,1,2,0,-8
Andre Drummond,9:53,1,4,.250,0,0,,1,2,.500,1,3,4,0,0,0,1,3,3,-18
Dalen Terry,5:37,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,-7
Jevon Carter,Did Not Play
Terry Taylor,Did Not Play
Team Totals,265,48,92,.522,10,28,.357,26,32,.813,7,41,48,22,6,5,11,21,132,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,8:38,2,3,.667,0,1,.000,3,3,1.000,0,0,0,2,1,1,0,0,7,+4
Nikola Vučević,8:38,2,5,.400,0,1,.000,0,0,,0,4,4,0,1,0,0,0,4,+4
Ayo Dosunmu,8:38,3,4,.750,1,1,1.000,2,2,1.000,0,1,1,1,0,0,0,0,9,+4
Alex Caruso,8:40,1,3,.333,0,0,,0,0,,1,1,2,2,0,0,0,1,2,+7
Coby White,8:41,1,4,.250,0,0,,1,1,1.000,1,0,1,0,0,1,0,0,3,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Torrey Craig,5:04,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,1,0,0,1,0,5,-6
Onuralp Bitim,4:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Julian Phillips,3:22,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2
Andre Drummond,3:22,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-2
Dalen Terry, 
Jevon Carter,Did Not Play
Terry Taylor,Did Not Play
Team Totals,60,10,23,.435,2,5,.400,8,8,1.000,2,11,13,6,2,2,1,2,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,10:04,5,7,.714,0,1,.000,2,2,1.000,0,4,4,1,0,0,0,0,12,-5
Nikola Vučević,9:06,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0
Ayo Dosunmu,9:28,2,4,.500,0,2,.000,1,2,.500,0,1,1,0,0,0,1,2,5,-4
Alex Caruso,6:42,3,3,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,1,7,+2
Coby White,8:19,0,2,.000,0,2,.000,1,2,.500,0,0,0,1,0,0,1,0,1,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Torrey Craig,5:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Onuralp Bitim, 
Julian Phillips,1:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
