,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,39:31,12,21,.571,3,7,.429,0,0,,1,5,6,6,1,1,1,2,27,+12
Brandon Miller,36:02,4,12,.333,2,6,.333,0,1,.000,1,2,3,5,4,0,1,1,10,0
Vasilije Micić,30:15,9,10,.900,5,6,.833,2,2,1.000,0,0,0,8,2,0,2,2,25,+21
Tre Mann,29:53,5,9,.556,0,2,.000,0,1,.000,1,4,5,0,2,0,3,1,10,-4
Nick Richards,28:44,3,4,.750,0,0,,2,4,.500,2,3,5,1,0,2,2,3,8,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,27:45,6,11,.545,1,4,.250,5,5,1.000,0,6,6,3,1,1,6,0,18,+12
Aleksej Pokusevski,26:32,4,5,.800,1,2,.500,0,0,,1,4,5,3,1,2,3,2,9,+10
Dāvis Bertāns,21:18,1,10,.100,1,9,.111,0,0,,0,5,5,0,1,1,2,0,3,+9
Amari Bailey,Did Not Dress
Bryce McGowens,Did Not Dress
Nick Smith Jr.,Did Not Play
JT Thor,Did Not Play
Team Totals,240,44,82,.537,13,36,.361,9,13,.692,6,29,35,26,12,7,20,11,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,12:00,4,8,.500,2,3,.667,0,0,,0,2,2,3,0,1,0,0,10,+12
Brandon Miller,9:38,2,3,.667,1,2,.500,0,0,,0,0,0,1,1,0,0,0,5,+9
Vasilije Micić,9:38,4,5,.800,1,2,.500,0,0,,0,0,0,2,2,0,1,0,9,+9
Tre Mann,9:21,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+7
Nick Richards,6:59,0,1,.000,0,0,,0,0,,1,1,2,1,0,2,1,1,0,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,5:01,0,0,,0,0,,0,0,,0,3,3,1,0,0,2,0,0,+8
Aleksej Pokusevski,5:01,2,2,1.000,1,1,1.000,0,0,,1,1,2,1,0,0,0,0,5,+8
Dāvis Bertāns,2:22,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,+3
Amari Bailey,Did Not Dress
Bryce McGowens,Did Not Dress
Nick Smith Jr.,Did Not Play
JT Thor,Did Not Play
Team Totals,60,13,23,.565,5,11,.455,0,0,,2,8,10,9,3,3,4,1,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,7:20,4,5,.800,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,9,+4
Brandon Miller,8:38,1,5,.200,1,2,.500,0,0,,1,0,1,0,1,0,0,0,3,-7
Vasilije Micić,5:11,0,0,,0,0,,0,0,,0,0,0,3,0,0,1,2,0,+10
Tre Mann,6:49,3,5,.600,0,1,.000,0,0,,1,3,4,0,2,0,1,0,6,-12
Nick Richards,7:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,9:26,0,4,.000,0,2,.000,0,0,,0,1,1,2,0,0,2,0,0,-4
Aleksej Pokusevski,7:20,2,2,1.000,0,0,,0,0,,0,2,2,1,0,1,2,1,4,+4
Dāvis Bertāns,8:02,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,1,0,2,0,3,-1
Amari Bailey,Did Not Dress
Bryce McGowens,Did Not Dress
Nick Smith Jr.,Did Not Play
JT Thor,Did Not Play
Team Totals,60,11,22,.500,3,7,.429,0,0,,2,11,13,7,4,1,9,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,19:20,8,13,.615,3,4,.750,0,0,,0,3,3,4,0,1,0,0,19,+16
Brandon Miller,18:16,3,8,.375,2,4,.500,0,0,,1,0,1,1,2,0,0,0,8,+2
Vasilije Micić,14:49,4,5,.800,1,2,.500,0,0,,0,0,0,5,2,0,2,2,9,+19
Tre Mann,16:10,4,7,.571,0,2,.000,0,0,,1,3,4,0,2,0,1,0,8,-5
Nick Richards,14:13,0,1,.000,0,0,,0,0,,1,2,3,1,0,2,2,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,14:27,0,4,.000,0,2,.000,0,0,,0,4,4,3,0,0,4,0,0,+4
Aleksej Pokusevski,12:21,4,4,1.000,1,1,1.000,0,0,,1,3,4,2,0,1,2,1,9,+12
Dāvis Bertāns,10:24,1,3,.333,1,3,.333,0,0,,0,4,4,0,1,0,2,0,3,+2
Amari Bailey,Did Not Dress
Bryce McGowens,Did Not Dress
Nick Smith Jr.,Did Not Play
JT Thor,Did Not Play
Team Totals,120,24,45,.533,8,18,.444,0,0,,4,19,23,16,7,4,13,4,56,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,12:00,4,7,.571,0,3,.000,0,0,,1,1,2,0,1,0,0,2,8,0
Brandon Miller,9:33,0,2,.000,0,2,.000,0,0,,0,1,1,2,1,0,1,1,0,-3
Vasilije Micić,8:06,4,4,1.000,3,3,1.000,0,0,,0,0,0,1,0,0,0,0,11,+3
Tre Mann,6:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3
Nick Richards,7:28,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,4:32,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,+2
Aleksej Pokusevski,8:55,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,1,1,1,0,0
Dāvis Bertāns,2:27,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,0,0,+3
Amari Bailey,Did Not Dress
Bryce McGowens,Did Not Dress
Nick Smith Jr.,Did Not Play
JT Thor,Did Not Play
Team Totals,60,10,20,.500,4,14,.286,0,0,,1,3,4,4,4,1,3,6,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,8:11,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,1,0,0,-4
Brandon Miller,8:13,1,2,.500,0,0,,0,1,.000,0,1,1,2,1,0,0,0,2,+1
Vasilije Micić,7:20,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,2,0,0,0,0,5,-1
Tre Mann,6:44,1,2,.500,0,0,,0,1,.000,0,1,1,0,0,0,1,1,2,+4
Nick Richards,7:03,2,2,1.000,0,0,,2,4,.500,1,1,2,0,0,0,0,0,6,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,8:46,5,5,1.000,0,0,,5,5,1.000,0,2,2,0,0,1,2,0,15,+6
Aleksej Pokusevski,5:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Dāvis Bertāns,8:27,0,4,.000,0,3,.000,0,0,,0,1,1,0,0,1,0,0,0,+4
Amari Bailey,Did Not Dress
Bryce McGowens,Did Not Dress
Nick Smith Jr.,Did Not Play
JT Thor,Did Not Play
Team Totals,60,10,17,.588,1,4,.250,9,13,.692,1,7,8,6,1,2,4,1,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,20:11,4,8,.500,0,3,.000,0,0,,1,2,3,2,1,0,1,2,8,-4
Brandon Miller,17:46,1,4,.250,0,2,.000,0,1,.000,0,2,2,4,2,0,1,1,2,-2
Vasilije Micić,15:26,5,5,1.000,4,4,1.000,2,2,1.000,0,0,0,3,0,0,0,0,16,+2
Tre Mann,13:43,1,2,.500,0,0,,0,1,.000,0,1,1,0,0,0,2,1,2,+1
Nick Richards,14:31,3,3,1.000,0,0,,2,4,.500,1,1,2,0,0,0,0,2,8,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,13:18,6,7,.857,1,2,.500,5,5,1.000,0,2,2,0,1,1,2,0,18,+8
Aleksej Pokusevski,14:11,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,1,1,1,0,-2
