,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Jokić,37:37,5,8,.625,0,0,,2,3,.667,3,11,14,6,1,0,4,1,12,+10
Michael Porter Jr.,33:32,9,16,.563,5,9,.556,2,2,1.000,2,5,7,0,0,0,1,0,25,+10
Aaron Gordon,33:24,6,11,.545,1,4,.250,3,6,.500,2,6,8,4,0,0,1,4,16,+17
Jamal Murray,31:24,5,14,.357,2,8,.250,2,2,1.000,0,2,2,5,1,0,0,1,14,+8
Kentavious Caldwell-Pope,24:43,4,9,.444,1,5,.200,0,0,,0,1,1,2,2,0,0,0,9,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,22:37,3,7,.429,0,2,.000,0,0,,0,3,3,2,0,1,0,0,6,+2
Christian Braun,20:04,3,3,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,1,3,7,+7
Reggie Jackson,18:52,4,9,.444,1,1,1.000,0,0,,0,1,1,2,0,0,2,1,9,+7
Justin Holiday,12:55,1,5,.200,0,3,.000,0,0,,0,3,3,2,0,1,0,2,2,-1
Zeke Nnaji,4:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Jay Huff,Did Not Play
DeAndre Jordan,Did Not Play
Julian Strawther,Did Not Play
Team Totals,240,40,82,.488,11,33,.333,9,13,.692,7,34,41,24,4,2,9,13,100,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Jokić,12:00,3,6,.500,0,0,,1,1,1.000,2,3,5,2,1,0,1,0,7,+7
Michael Porter Jr.,8:31,2,3,.667,1,1,1.000,0,0,,1,2,3,0,0,0,0,0,5,+10
Aaron Gordon,8:31,3,4,.750,0,1,.000,1,2,.500,0,3,3,1,0,0,0,1,7,+10
Jamal Murray,7:31,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+4
Kentavious Caldwell-Pope,8:31,2,5,.400,0,2,.000,0,0,,0,0,0,1,2,0,0,0,4,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,3:29,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-3
Christian Braun,3:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
Reggie Jackson,4:29,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,+3
Justin Holiday,3:29,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-3
Zeke Nnaji, 
Jay Huff,Did Not Play
DeAndre Jordan,Did Not Play
Julian Strawther,Did Not Play
Team Totals,60,11,25,.440,2,6,.333,2,3,.667,3,12,15,5,3,0,2,2,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Jokić,7:08,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,1,0,1,+1
Michael Porter Jr.,8:05,3,4,.750,2,2,1.000,2,2,1.000,0,1,1,0,0,0,0,0,10,+1
Aaron Gordon,4:55,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,2,0,0
Jamal Murray,8:19,2,5,.400,1,3,.333,2,2,1.000,0,0,0,0,1,0,0,1,7,-1
Kentavious Caldwell-Pope,7:08,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,8:02,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,-1
Christian Braun,3:55,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-2
Reggie Jackson,3:41,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,0
Justin Holiday,3:55,0,4,.000,0,3,.000,0,0,,0,1,1,1,0,1,0,2,0,-2
Zeke Nnaji,4:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Jay Huff,Did Not Play
DeAndre Jordan,Did Not Play
Julian Strawther,Did Not Play
Team Totals,60,8,18,.444,3,9,.333,5,6,.833,0,6,6,5,1,1,2,8,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Jokić,19:08,3,6,.500,0,0,,2,3,.667,2,5,7,2,1,0,2,0,8,+8
Michael Porter Jr.,16:36,5,7,.714,3,3,1.000,2,2,1.000,1,3,4,0,0,0,0,0,15,+11
Aaron Gordon,13:26,3,5,.600,0,2,.000,1,2,.500,0,4,4,2,0,0,0,3,7,+10
Jamal Murray,15:50,3,7,.429,2,4,.500,2,2,1.000,0,1,1,0,1,0,0,1,10,+3
Kentavious Caldwell-Pope,15:39,2,5,.400,0,2,.000,0,0,,0,0,0,2,2,0,0,0,4,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,11:31,2,5,.400,0,1,.000,0,0,,0,2,2,0,0,0,0,0,4,-4
Christian Braun,7:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-5
Reggie Jackson,8:10,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,1,1,2,+3
Justin Holiday,7:24,0,4,.000,0,3,.000,0,0,,0,2,2,2,0,1,0,2,0,-5
Zeke Nnaji,4:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
