,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,41:08,7,18,.389,1,2,.500,7,8,.875,3,7,10,3,1,1,2,1,22,-8
LeBron James,40:07,6,16,.375,2,8,.250,4,6,.667,1,12,13,9,2,0,5,3,18,-10
Austin Reaves,37:28,10,17,.588,7,12,.583,1,2,.500,0,6,6,4,1,0,1,1,28,-2
Rui Hachimura,35:53,9,11,.818,2,3,.667,0,0,,1,2,3,1,0,0,2,1,20,-6
D'Angelo Russell,33:10,2,9,.222,1,4,.250,1,2,.500,1,1,2,6,1,1,2,1,6,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,19:43,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,1,0,-9
Taurean Prince,13:17,2,2,1.000,1,1,1.000,2,2,1.000,0,1,1,0,2,0,0,1,7,-13
Max Christie,9:31,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,1,0,2,-8
Jaxson Hayes,6:52,1,1,1.000,0,0,,2,2,1.000,1,0,1,0,0,0,1,3,4,-5
Harry Giles,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Maxwell Lewis,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Skylar Mays,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,38,78,.487,14,32,.438,17,22,.773,7,31,38,25,8,2,14,12,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,12:00,2,6,.333,0,0,,1,1,1.000,2,3,5,1,1,0,2,0,5,0
LeBron James,9:35,0,3,.000,0,1,.000,0,0,,0,3,3,4,0,0,0,0,0,+3
Austin Reaves,9:35,5,6,.833,3,3,1.000,0,0,,0,1,1,0,0,0,0,0,13,+3
Rui Hachimura,9:35,4,5,.800,0,1,.000,0,0,,1,1,2,0,0,0,1,0,8,+3
D'Angelo Russell,8:09,0,1,.000,0,0,,1,2,.500,0,0,0,4,0,0,0,0,1,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,6:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-3
Taurean Prince,2:25,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3
