,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,37:50,9,20,.450,1,6,.167,4,4,1.000,0,2,2,7,0,0,0,3,23,-16
Grayson Allen,35:53,8,9,.889,4,5,.800,0,0,,1,2,3,0,1,0,2,3,20,-3
Bradley Beal,35:34,9,17,.529,2,4,.500,2,2,1.000,1,2,3,7,1,1,3,2,22,-21
Kevin Durant,34:09,9,19,.474,1,3,.333,1,2,.500,0,3,3,1,0,1,3,1,20,-17
Jusuf Nurkić,30:47,4,9,.444,0,0,,0,2,.000,7,13,20,6,1,1,2,1,8,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,27:02,0,7,.000,0,5,.000,0,0,,1,4,5,4,0,0,1,1,0,-7
Bol Bol,15:05,4,5,.800,2,2,1.000,0,0,,2,2,4,0,0,0,0,0,10,-3
Ish Wainright,10:33,1,6,.167,1,4,.250,0,0,,3,2,5,1,1,0,1,1,3,-3
Drew Eubanks,4:13,0,2,.000,0,0,,0,0,,3,0,3,0,0,0,0,0,0,-9
David Roddy,2:58,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,1,0,4,+3
Thaddeus Young,2:58,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,0,0,2,+3
Nassir Little,2:58,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+3
Team Totals,240,47,99,.475,11,31,.355,7,10,.700,19,32,51,27,4,3,13,12,112,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,11:58,1,6,.167,0,3,.000,2,2,1.000,0,0,0,3,0,0,0,1,4,-3
Grayson Allen,8:48,1,1,1.000,0,0,,0,0,,1,0,1,0,1,0,0,1,2,+3
Bradley Beal,9:26,4,5,.800,1,2,.500,0,0,,0,2,2,1,0,1,0,0,9,-2
Kevin Durant,12:00,7,8,.875,1,1,1.000,0,0,,0,1,1,0,0,0,2,0,15,-3
Jusuf Nurkić,7:47,1,2,.500,0,0,,0,0,,1,3,4,3,1,0,0,0,2,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,5:46,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,0,1,1,0,-7
Bol Bol, 
Ish Wainright,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Drew Eubanks,4:13,0,2,.000,0,0,,0,0,,3,0,3,0,0,0,0,0,0,-9
David Roddy, 
Thaddeus Young, 
Nassir Little, 
Team Totals,60,14,27,.519,2,8,.250,2,2,1.000,5,7,12,9,2,1,3,3,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,7:40,2,5,.400,0,1,.000,0,0,,0,1,1,1,0,0,0,1,4,-2
Grayson Allen,7:03,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,1,0,5,+4
Bradley Beal,9:17,1,6,.167,0,0,,2,2,1.000,1,0,1,4,1,0,0,2,4,-6
Kevin Durant,4:57,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
Jusuf Nurkić,12:00,1,3,.333,0,0,,0,0,,4,3,7,2,0,1,1,1,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,7:03,0,3,.000,0,3,.000,0,0,,0,2,2,0,0,0,0,0,0,+4
Bol Bol,8:17,4,4,1.000,2,2,1.000,0,0,,2,1,3,0,0,0,0,0,10,-1
Ish Wainright,3:43,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,1,1,3,-1
Drew Eubanks, 
David Roddy, 
Thaddeus Young, 
Nassir Little, 
Team Totals,60,11,28,.393,4,10,.400,2,2,1.000,8,7,15,7,1,1,3,6,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,19:38,3,11,.273,0,4,.000,2,2,1.000,0,1,1,4,0,0,0,2,8,-5
Grayson Allen,15:51,3,4,.750,1,2,.500,0,0,,1,0,1,0,1,0,1,1,7,+7
Bradley Beal,18:43,5,11,.455,1,2,.500,2,2,1.000,1,2,3,5,1,1,0,2,13,-8
Kevin Durant,16:57,7,11,.636,1,2,.500,0,0,,0,1,1,0,0,0,2,1,15,-9
Jusuf Nurkić,19:47,2,5,.400,0,0,,0,0,,5,6,11,5,1,1,1,1,4,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,12:49,0,6,.000,0,5,.000,0,0,,0,3,3,2,0,0,1,1,0,-3
Bol Bol,8:17,4,4,1.000,2,2,1.000,0,0,,2,1,3,0,0,0,0,0,10,-1
