,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,35:22,11,12,.917,6,7,.857,0,0,,0,5,5,7,1,1,1,4,28,+22
Kawhi Leonard,33:53,12,17,.706,2,5,.400,1,2,.500,2,3,5,3,1,1,3,0,27,+21
Bones Hyland,31:37,6,9,.667,4,7,.571,1,2,.500,0,5,5,11,4,0,1,2,17,+17
Ivica Zubac,31:30,2,3,.667,0,0,,2,2,1.000,2,6,8,2,0,0,2,1,6,+23
Terance Mann,30:32,4,13,.308,2,7,.286,2,2,1.000,0,4,4,2,1,0,0,2,12,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,27:58,6,10,.600,3,6,.500,3,4,.750,0,2,2,2,1,0,2,3,18,+9
Amir Coffey,21:59,3,8,.375,3,6,.500,0,0,,0,3,3,1,1,0,0,1,9,-11
Daniel Theis,14:03,2,4,.500,0,1,.000,0,0,,2,0,2,3,0,0,0,2,4,-4
Brandon Boston Jr.,8:12,2,3,.667,0,1,.000,1,2,.500,0,1,1,0,0,0,0,1,5,-4
Xavier Moon,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Mason Plumlee,2:27,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-4
Joshua Primo,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,240,48,80,.600,20,40,.500,10,14,.714,6,29,35,32,9,2,9,16,126,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,12:00,6,6,1.000,3,3,1.000,0,0,,0,3,3,3,0,1,0,1,15,+11
Kawhi Leonard,12:00,6,7,.857,0,0,,0,0,,2,3,5,1,0,0,0,0,12,+11
Bones Hyland,5:11,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,2,0,0,2,3,+5
Ivica Zubac,8:53,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,1,2,+14
Terance Mann,8:53,0,4,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,6:49,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,5,+6
Amir Coffey,3:07,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Daniel Theis,3:07,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-3
Brandon Boston Jr., 
Xavier Moon, 
Mason Plumlee, 
Joshua Primo,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,15,23,.652,5,7,.714,2,2,1.000,3,8,11,7,4,1,1,4,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,6:15,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,0
Kawhi Leonard,6:15,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,1,0,0,4,0
Bones Hyland,9:24,2,3,.667,1,2,.500,1,2,.500,0,0,0,2,0,0,1,0,6,-2
Ivica Zubac,7:56,0,0,,0,0,,0,0,,1,0,1,2,0,0,0,0,0,-3
Terance Mann,6:15,1,3,.333,0,2,.000,2,2,1.000,0,2,2,1,0,0,0,0,4,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,7:36,1,3,.333,0,2,.000,1,2,.500,0,0,0,1,0,0,1,2,3,0
Amir Coffey,6:30,2,4,.500,2,3,.667,0,0,,0,1,1,0,1,0,0,1,6,+2
Daniel Theis,4:04,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,+3
Brandon Boston Jr.,5:45,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,0
Xavier Moon, 
Mason Plumlee, 
Joshua Primo,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,10,20,.500,3,12,.250,4,6,.667,1,5,6,8,2,1,2,5,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,18:15,6,7,.857,3,4,.750,0,0,,0,4,4,4,1,1,0,1,15,+11
Kawhi Leonard,18:15,8,10,.800,0,1,.000,0,0,,2,3,5,1,0,1,0,0,16,+11
Bones Hyland,14:35,3,4,.750,2,3,.667,1,2,.500,0,1,1,3,2,0,1,2,9,+3
Ivica Zubac,16:49,0,1,.000,0,0,,2,2,1.000,1,1,2,2,0,0,1,1,2,+11
Terance Mann,15:08,1,7,.143,0,3,.000,2,2,1.000,0,2,2,1,1,0,0,0,4,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,14:25,3,5,.600,1,3,.333,1,2,.500,0,0,0,2,1,0,1,2,8,+6
