,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,36:02,10,13,.769,0,1,.000,4,5,.800,2,7,9,5,3,0,2,0,24,-9
Bilal Coulibaly,33:55,3,9,.333,0,3,.000,4,4,1.000,2,1,3,4,2,0,0,1,10,-11
Tyus Jones,30:57,5,11,.455,3,6,.500,0,0,,0,1,1,8,0,0,2,0,13,-19
Kyle Kuzma,30:50,8,10,.800,0,1,.000,7,7,1.000,0,3,3,3,2,0,5,2,23,-17
Corey Kispert,26:56,4,9,.444,3,7,.429,0,2,.000,0,2,2,2,1,0,0,4,11,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,31:33,10,19,.526,5,12,.417,0,0,,0,1,1,2,2,0,2,4,25,-6
Jared Butler,13:45,0,5,.000,0,2,.000,0,0,,0,4,4,4,0,0,0,2,0,+9
Patrick Baldwin Jr.,11:46,0,5,.000,0,2,.000,0,0,,2,5,7,1,1,0,1,1,0,-10
Johnny Davis,7:32,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,1,0,1,2,-7
Eugene Omoruyi,6:45,2,5,.400,0,0,,0,0,,1,1,2,0,0,0,1,1,4,-8
Anthony Gill,3:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+5
Jules Bernard,3:00,3,4,.750,1,2,.500,0,1,.000,0,0,0,0,0,0,0,2,7,-1
Justin Champagnie,3:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-1
Team Totals,240,46,93,.495,12,38,.316,15,19,.789,7,25,32,29,11,2,13,19,119,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,8:39,2,4,.500,0,0,,1,2,.500,0,2,2,2,2,0,0,0,5,+3
Bilal Coulibaly,8:45,0,2,.000,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,1,2,-3
Tyus Jones,8:45,1,2,.500,1,1,1.000,0,0,,0,0,0,2,0,0,1,0,3,-3
Kyle Kuzma,8:45,3,4,.750,0,0,,2,2,1.000,0,1,1,1,0,0,1,0,8,-3
Corey Kispert,9:29,1,1,1.000,1,1,1.000,0,2,.000,0,1,1,2,1,0,0,1,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,6:18,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,1,1,6,-4
Jared Butler,3:15,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,+1
Patrick Baldwin Jr., 
Johnny Davis,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Eugene Omoruyi,5:28,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,4,-2
Anthony Gill,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jules Bernard, 
Justin Champagnie, 
Team Totals,60,11,19,.579,4,7,.571,5,8,.625,0,7,7,9,3,0,4,6,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,12:00,3,4,.750,0,1,.000,0,0,,0,1,1,1,1,0,0,0,6,-17
Bilal Coulibaly,7:46,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,4,-11
Tyus Jones,7:46,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,-11
Kyle Kuzma,8:22,2,2,1.000,0,0,,4,4,1.000,0,1,1,0,1,0,1,0,8,-12
Corey Kispert,3:38,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,9:47,1,4,.250,0,3,.000,0,0,,0,0,0,2,1,0,0,1,2,-7
Jared Butler, 
Patrick Baldwin Jr.,5:10,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,1,0,-10
Johnny Davis,4:14,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-6
Eugene Omoruyi,1:17,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-6
Anthony Gill, 
Jules Bernard, 
Justin Champagnie, 
Team Totals,60,10,24,.417,1,9,.111,4,4,1.000,2,3,5,4,4,0,2,5,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,20:39,5,8,.625,0,1,.000,1,2,.500,0,3,3,3,3,0,0,0,11,-14
Bilal Coulibaly,16:31,2,6,.333,0,1,.000,2,2,1.000,1,0,1,2,0,0,0,1,6,-14
Tyus Jones,16:31,2,4,.500,2,3,.667,0,0,,0,0,0,3,0,0,1,0,6,-14
Kyle Kuzma,17:07,5,6,.833,0,0,,6,6,1.000,0,2,2,1,1,0,2,0,16,-15
Corey Kispert,13:07,1,3,.333,1,2,.500,0,2,.000,0,1,1,2,1,0,0,3,3,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,16:05,3,7,.429,2,6,.333,0,0,,0,0,0,2,1,0,1,2,8,-11
Jared Butler,3:15,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,+1
Patrick Baldwin Jr.,5:10,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,1,0,-10
Johnny Davis,4:32,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-6
Eugene Omoruyi,6:45,2,5,.400,0,0,,0,0,,1,1,2,0,0,0,1,1,4,-8
Anthony Gill,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jules Bernard, 
Justin Champagnie, 
Team Totals,120,21,43,.488,5,16,.312,9,12,.750,2,10,12,13,7,0,6,11,56,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
