,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,41:42,3,8,.375,0,2,.000,1,1,1.000,5,10,15,2,3,0,0,4,7,+1
Jalen Brunson,37:56,14,30,.467,2,10,.200,15,17,.882,1,0,1,4,1,1,5,0,45,+17
Donte DiVincenzo,36:33,4,12,.333,2,8,.250,2,2,1.000,0,5,5,3,2,0,1,3,12,+2
OG Anunoby,35:43,5,11,.455,1,4,.250,1,2,.500,2,7,9,2,2,0,2,4,12,+11
Isaiah Hartenstein,23:56,4,6,.667,0,0,,1,1,1.000,1,8,9,2,0,0,0,2,9,+17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Precious Achiuwa,24:04,2,3,.667,0,0,,0,0,,3,4,7,2,2,0,0,1,4,-5
Miles McBride,21:55,3,6,.500,0,1,.000,0,0,,2,1,3,0,1,0,2,3,6,+13
Bojan Bogdanović,13:53,1,6,.167,0,2,.000,3,3,1.000,0,0,0,1,0,0,1,0,5,+5
Alec Burks,4:18,2,5,.400,1,2,.500,0,0,,1,0,1,0,0,0,1,1,5,-1
Mamadi Diakite,Did Not Play
DaQuan Jeffries,Did Not Play
Shake Milton,Did Not Play
Jericho Sims,Did Not Play
Team Totals,240,38,87,.437,6,29,.207,23,26,.885,15,35,50,16,11,1,12,18,105,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,12:00,1,2,.500,0,0,,0,0,,2,5,7,1,1,0,0,2,2,+1
Jalen Brunson,9:23,4,9,.444,1,4,.250,3,4,.750,0,0,0,0,0,0,0,0,12,-5
Donte DiVincenzo,10:55,1,3,.333,0,2,.000,2,2,1.000,0,1,1,1,1,0,0,0,4,-1
OG Anunoby,9:23,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,2,0,0,-5
Isaiah Hartenstein,6:34,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Precious Achiuwa,5:26,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Miles McBride,2:37,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+6
Bojan Bogdanović,2:37,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+6
Alec Burks,1:05,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,1,2,+2
Mamadi Diakite,Did Not Play
DaQuan Jeffries,Did Not Play
Shake Milton,Did Not Play
Jericho Sims,Did Not Play
Team Totals,60,10,21,.476,1,8,.125,5,6,.833,4,9,13,4,2,0,3,3,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,5:42,1,3,.333,0,1,.000,1,1,1.000,2,0,2,0,1,0,0,1,3,+2
Jalen Brunson,8:47,3,6,.500,0,2,.000,3,3,1.000,1,0,1,2,0,1,1,0,9,+16
Donte DiVincenzo,6:29,1,4,.250,1,3,.333,0,0,,0,2,2,1,0,0,0,0,3,+8
OG Anunoby,6:18,2,3,.667,1,1,1.000,0,0,,1,1,2,0,1,0,0,1,5,+11
Isaiah Hartenstein,5:10,1,1,1.000,0,0,,0,0,,0,4,4,0,0,0,0,1,2,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Precious Achiuwa,6:50,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,0,1,0,+2
Miles McBride,11:56,2,3,.667,0,1,.000,0,0,,2,1,3,0,1,0,1,3,4,+13
Bojan Bogdanović,5:35,0,4,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+5
Alec Burks,3:13,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,1,0,3,-3
Mamadi Diakite,Did Not Play
DaQuan Jeffries,Did Not Play
Shake Milton,Did Not Play
Jericho Sims,Did Not Play
Team Totals,60,11,28,.393,3,11,.273,4,4,1.000,6,10,16,5,4,1,3,7,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,17:42,2,5,.400,0,1,.000,1,1,1.000,4,5,9,1,2,0,0,3,5,+3
Jalen Brunson,18:10,7,15,.467,1,6,.167,6,7,.857,1,0,1,2,0,1,1,0,21,+11
Donte DiVincenzo,17:24,2,7,.286,1,5,.200,2,2,1.000,0,3,3,2,1,0,0,0,7,+7
OG Anunoby,15:41,2,5,.400,1,3,.333,0,0,,1,3,4,1,1,0,2,1,5,+6
Isaiah Hartenstein,11:44,2,2,1.000,0,0,,0,0,,1,5,6,0,0,0,0,1,4,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Precious Achiuwa,12:16,0,1,.000,0,0,,0,0,,0,2,2,2,1,0,0,1,0,-1
Miles McBride,14:33,3,4,.750,0,1,.000,0,0,,2,1,3,0,1,0,1,3,6,+19
Bojan Bogdanović,8:12,1,5,.200,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,+11
Alec Burks,4:18,2,5,.400,1,2,.500,0,0,,1,0,1,0,0,0,1,1,5,-1
Mamadi Diakite,Did Not Play
DaQuan Jeffries,Did Not Play
Shake Milton,Did Not Play
Jericho Sims,Did Not Play
Team Totals,120,21,49,.429,4,19,.211,9,10,.900,10,19,29,9,6,1,6,10,55,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,12:00,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,+3
Jalen Brunson,11:00,5,9,.556,0,1,.000,4,5,.800,0,0,0,2,1,0,1,0,14,+8
Donte DiVincenzo,12:00,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,2,5,+3
