,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,33:59,6,16,.375,1,2,.500,2,2,1.000,2,8,10,8,4,0,3,4,15,+9
Nikola Jokić,30:54,13,19,.684,1,3,.333,4,4,1.000,1,6,7,5,0,2,3,1,31,+7
Kentavious Caldwell-Pope,26:50,2,5,.400,0,1,.000,0,0,,0,0,0,3,3,0,2,3,4,+4
Aaron Gordon,25:06,3,3,1.000,0,0,,1,2,.500,1,2,3,7,0,0,1,2,7,+3
Michael Porter Jr.,23:01,5,9,.556,2,5,.400,1,1,1.000,0,7,7,1,1,0,0,1,13,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Braun,24:17,5,7,.714,2,3,.667,1,2,.500,1,3,4,4,3,0,1,1,13,+8
Peyton Watson,22:54,5,11,.455,0,3,.000,0,1,.000,1,2,3,2,0,0,1,4,10,+8
Justin Holiday,21:10,5,9,.556,3,6,.500,0,0,,0,1,1,2,2,0,0,2,13,+7
Zeke Nnaji,16:24,2,2,1.000,0,0,,0,0,,1,3,4,2,0,3,0,1,4,+6
Reggie Jackson,14:01,3,8,.375,1,2,.500,0,0,,0,1,1,3,0,0,1,1,7,+2
Jay Huff,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Julian Strawther,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
DeAndre Jordan,Did Not Play
Team Totals,240,49,89,.551,10,25,.400,9,12,.750,7,33,40,37,13,5,12,20,117,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,7:20,0,1,.000,0,0,,0,0,,0,4,4,2,2,0,1,0,0,+5
Nikola Jokić,12:00,6,8,.750,1,1,1.000,2,2,1.000,1,3,4,1,0,1,0,1,15,+19
Kentavious Caldwell-Pope,11:24,2,4,.500,0,0,,0,0,,0,0,0,1,2,0,0,1,4,+17
Aaron Gordon,9:20,2,2,1.000,0,0,,1,2,.500,0,0,0,3,0,0,1,1,5,+15
Michael Porter Jr.,9:20,2,3,.667,1,2,.500,1,1,1.000,0,3,3,1,0,0,0,1,6,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Braun,2:40,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,+4
Peyton Watson,2:40,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,+4
Justin Holiday,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Zeke Nnaji, 
Reggie Jackson,4:40,1,3,.333,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,3,+14
Jay Huff, 
Julian Strawther, 
DeAndre Jordan,Did Not Play
Team Totals,60,15,23,.652,3,4,.750,4,5,.800,2,11,13,11,4,1,2,5,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,7:56,2,3,.667,0,0,,0,0,,0,2,2,1,0,0,1,2,4,-4
Nikola Jokić,6:54,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,0,2,0,4,-10
Kentavious Caldwell-Pope,4:49,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-8
Aaron Gordon,6:54,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,0,0,-10
Michael Porter Jr.,4:49,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Braun,7:11,2,3,.667,1,1,1.000,1,2,.500,0,3,3,1,0,0,0,0,6,-2
Peyton Watson,5:06,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,2,0,0
Justin Holiday,7:11,2,4,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,1,5,-2
Zeke Nnaji,5:06,0,0,,0,0,,0,0,,1,0,1,1,0,1,0,0,0,0
Reggie Jackson,4:04,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-6
Jay Huff, 
Julian Strawther, 
DeAndre Jordan,Did Not Play
Team Totals,60,9,21,.429,2,9,.222,1,2,.500,2,8,10,6,1,1,4,6,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,15:16,2,4,.500,0,0,,0,0,,0,6,6,3,2,0,2,2,4,+1
Nikola Jokić,18:54,8,11,.727,1,2,.500,2,2,1.000,1,3,4,2,0,1,2,1,19,+9
Kentavious Caldwell-Pope,16:13,2,5,.400,0,1,.000,0,0,,0,0,0,1,2,0,1,2,4,+9
Aaron Gordon,16:14,2,2,1.000,0,0,,1,2,.500,1,1,2,4,0,0,1,1,5,+5
Michael Porter Jr.,14:09,2,4,.500,1,3,.333,1,1,1.000,0,4,4,1,0,0,0,1,6,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Braun,9:51,2,3,.667,1,1,1.000,1,2,.500,1,3,4,2,0,0,0,0,6,+2
Peyton Watson,7:46,2,5,.400,0,2,.000,0,0,,0,1,1,1,0,0,0,2,4,+4
Justin Holiday,7:47,2,4,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,1,5,0
Zeke Nnaji,5:06,0,0,,0,0,,0,0,,1,0,1,1,0,1,0,0,0,0
Reggie Jackson,8:44,2,6,.333,1,2,.500,0,0,,0,1,1,2,0,0,0,1,5,+8
Jay Huff, 
Julian Strawther, 
DeAndre Jordan,Did Not Play
Team Totals,120,24,44,.545,5,13,.385,5,7,.714,4,19,23,17,5,2,6,11,58,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,7:25,0,3,.000,0,1,.000,0,0,,1,0,1,2,0,0,0,0,0,+2
Nikola Jokić,12:00,5,8,.625,0,1,.000,2,2,1.000,0,3,3,3,0,1,1,0,12,-2
Kentavious Caldwell-Pope,10:37,0,0,,0,0,,0,0,,0,0,0,2,1,0,1,1,0,-5
Aaron Gordon,8:52,1,1,1.000,0,0,,0,0,,0,1,1,3,0,0,0,1,2,-2
Michael Porter Jr.,8:52,3,5,.600,1,2,.500,0,0,,0,3,3,0,1,0,0,0,7,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Braun,3:08,0,0,,0,0,,0,0,,0,0,0,0,2,0,0,0,0,0
Peyton Watson,3:08,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,0
Justin Holiday,1:23,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,+3
Zeke Nnaji, 
Reggie Jackson,4:35,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-4
Jay Huff, 
Julian Strawther, 
DeAndre Jordan,Did Not Play
Team Totals,60,12,22,.545,2,6,.333,2,3,.667,1,7,8,11,4,1,3,2,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,11:18,4,9,.444,1,1,1.000,2,2,1.000,1,2,3,3,2,0,1,2,11,+6
Nikola Jokić, 
Kentavious Caldwell-Pope, 
Aaron Gordon, 
Michael Porter Jr., 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Braun,11:18,3,4,.750,1,2,.500,0,0,,0,0,0,2,1,0,1,1,7,+6
Peyton Watson,12:00,2,5,.400,0,1,.000,0,0,,1,1,2,1,0,0,1,2,4,+4
Justin Holiday,12:00,2,3,.667,1,2,.500,0,0,,0,1,1,2,1,0,0,1,5,+4
Zeke Nnaji,11:18,2,2,1.000,0,0,,0,0,,0,3,3,1,0,2,0,1,4,+6
Reggie Jackson,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Jay Huff,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Julian Strawther,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
DeAndre Jordan,Did Not Play
Team Totals,60,13,23,.565,3,6,.500,2,2,1.000,2,7,9,9,4,2,3,7,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,18:43,4,12,.333,1,2,.500,2,2,1.000,2,2,4,5,2,0,1,2,11,+8
Nikola Jokić,12:00,5,8,.625,0,1,.000,2,2,1.000,0,3,3,3,0,1,1,0,12,-2
