,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,39:15,5,15,.333,1,6,.167,3,4,.750,2,7,9,6,1,0,3,0,14,-16
Tre Mann,36:59,7,16,.438,3,6,.500,4,7,.571,3,5,8,6,4,0,2,3,21,-3
Vasilije Micić,33:25,5,12,.417,1,4,.250,0,0,,0,2,2,4,1,1,5,1,11,-14
Nick Richards,29:41,4,5,.800,0,0,,3,3,1.000,3,8,11,0,1,1,1,3,11,+11
Brandon Miller,15:20,3,7,.429,0,2,.000,0,0,,1,1,2,1,0,1,3,3,6,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dāvis Bertāns,30:47,5,8,.625,2,5,.400,4,4,1.000,0,1,1,1,1,0,0,4,16,-8
Grant Williams,27:04,6,10,.600,2,4,.500,0,0,,2,1,3,1,1,1,2,4,14,-17
Aleksej Pokusevski,20:43,2,7,.286,1,3,.333,0,0,,1,2,3,2,2,0,0,2,5,-6
Nick Smith Jr.,6:46,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,+6
Amari Bailey,Did Not Play
Bryce McGowens,Did Not Dress
JT Thor,Did Not Play
Team Totals,240,37,82,.451,10,31,.323,14,18,.778,12,28,40,21,11,4,16,21,98,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,12:00,3,7,.429,0,1,.000,1,2,.500,1,3,4,1,0,0,1,0,7,-3
Tre Mann,9:13,1,3,.333,0,1,.000,0,0,,0,1,1,4,2,0,0,0,2,-6
Vasilije Micić,9:13,1,3,.333,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,-3
Nick Richards,7:02,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2,-4
Brandon Miller,9:13,3,6,.500,0,2,.000,0,0,,1,1,2,0,0,0,1,1,6,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dāvis Bertāns,2:47,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,0
Grant Williams,4:58,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+1
Aleksej Pokusevski,5:34,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,1,2,+3
Nick Smith Jr., 
Amari Bailey,Did Not Play
Bryce McGowens,Did Not Dress
JT Thor,Did Not Play
Team Totals,60,10,23,.435,1,5,.200,3,4,.750,3,6,9,6,4,0,2,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,8:26,0,2,.000,0,2,.000,0,0,,0,2,2,1,1,0,0,0,0,-2
Tre Mann,7:53,1,2,.500,1,1,1.000,2,4,.500,1,1,2,1,2,0,1,1,5,+1
Vasilije Micić,6:58,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,0,2,0,0,0
Nick Richards,8:26,1,1,1.000,0,0,,0,0,,1,3,4,0,0,1,1,1,2,+6
Brandon Miller,6:07,0,1,.000,0,0,,0,0,,0,0,0,1,0,1,2,2,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dāvis Bertāns,8:04,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,1,6,-5
Grant Williams,7:08,3,5,.600,1,2,.500,0,0,,0,0,0,0,1,0,1,2,7,-10
Aleksej Pokusevski,6:58,1,2,.500,1,1,1.000,0,0,,1,1,2,1,1,0,0,0,3,0
Nick Smith Jr., 
Amari Bailey,Did Not Play
Bryce McGowens,Did Not Dress
JT Thor,Did Not Play
Team Totals,60,8,18,.444,5,11,.455,2,4,.500,3,7,10,6,5,2,7,7,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
