,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,35:12,12,20,.600,5,7,.714,2,3,.667,1,9,10,5,3,3,4,1,31,+16
Naz Reid,34:54,7,18,.389,4,11,.364,4,5,.800,0,12,12,5,2,2,0,1,22,+17
Kyle Anderson,31:12,1,6,.167,0,0,,2,2,1.000,1,4,5,9,2,1,0,3,4,+19
Mike Conley,30:12,8,12,.667,5,8,.625,4,5,.800,1,1,2,2,0,0,0,1,25,+4
Jaden McDaniels,21:41,4,9,.444,0,2,.000,0,0,,0,1,1,0,0,0,1,5,8,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,26:33,3,7,.429,2,5,.400,0,0,,1,4,5,2,0,0,2,1,8,+12
T.J. Warren,16:02,1,7,.143,0,1,.000,0,0,,1,3,4,2,1,0,0,2,2,+2
Jordan McLaughlin,15:59,1,2,.500,1,2,.500,0,0,,1,1,2,4,0,0,0,0,3,+9
Luka Garza,13:06,4,9,.444,1,4,.250,0,0,,1,2,3,0,0,0,0,2,9,+2
Monte Morris,10:21,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+2
Josh Minott,1:36,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+1
Leonard Miller,1:36,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,+1
Wendell Moore Jr.,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Team Totals,240,44,93,.473,19,41,.463,12,15,.800,7,37,44,31,8,6,8,16,119,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,12:00,5,11,.455,1,3,.333,1,2,.500,1,1,2,1,2,1,0,0,12,0
Naz Reid,9:00,1,2,.500,1,2,.500,2,2,1.000,0,6,6,1,1,0,0,0,5,+5
Kyle Anderson,5:39,0,4,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-2
Mike Conley,6:18,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0
Jaden McDaniels,5:39,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,6:21,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,+2
T.J. Warren,6:21,0,3,.000,0,1,.000,0,0,,0,2,2,0,1,0,0,0,0,+2
Jordan McLaughlin, 
Luka Garza,3:00,0,3,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,-5
Monte Morris,5:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Josh Minott, 
Leonard Miller, 
Wendell Moore Jr., 
Team Totals,60,7,28,.250,2,11,.182,3,4,.750,3,12,15,3,4,1,0,3,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,5:39,1,2,.500,0,0,,0,0,,0,2,2,1,1,0,3,0,2,0
Naz Reid,9:07,2,5,.400,1,2,.500,1,2,.500,0,2,2,1,1,0,0,1,6,-1
Kyle Anderson,7:48,0,0,,0,0,,0,0,,0,1,1,3,1,0,0,1,0,+5
