,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,38:48,10,24,.417,4,14,.286,6,7,.857,0,3,3,9,0,0,1,2,30,+3
Deandre Ayton,37:07,11,17,.647,0,0,,3,4,.750,4,11,15,1,0,2,1,3,25,-8
Scoot Henderson,30:09,4,17,.235,1,3,.333,5,6,.833,3,2,5,5,1,0,6,3,14,+4
Kris Murray,26:52,5,9,.556,0,2,.000,0,2,.000,1,0,1,1,2,1,0,3,10,-3
Toumani Camara,14:30,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,3,0,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,33:28,4,7,.571,1,2,.500,2,2,1.000,1,5,6,0,3,2,4,4,11,-5
Jabari Walker,33:27,1,5,.200,0,2,.000,1,2,.500,3,7,10,4,1,0,0,3,3,+5
Duop Reath,16:57,5,6,.833,2,3,.667,2,2,1.000,1,0,1,0,0,0,0,3,14,+8
Matisse Thybulle,4:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Rayan Rupert,3:41,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-8
Ibou Badji,Did Not Play
Moses Brown,Did Not Play
Justin Minaya,Did Not Play
Team Totals,240,40,88,.455,8,28,.286,19,25,.760,13,30,43,21,7,5,13,24,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,9:44,3,5,.600,1,3,.333,0,0,,0,0,0,3,0,0,1,0,7,-2
Deandre Ayton,9:07,4,5,.800,0,0,,0,0,,1,4,5,1,0,0,0,2,8,0
Scoot Henderson,8:35,1,6,.167,0,0,,0,0,,3,0,3,1,0,0,1,0,2,+1
Kris Murray,6:24,1,1,1.000,0,0,,0,2,.000,0,0,0,1,0,0,0,2,2,+1
Toumani Camara,3:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,6:18,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,2,1,4,-5
Jabari Walker,8:10,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0
Duop Reath,2:53,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,-2
Matisse Thybulle,4:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Rayan Rupert, 
Ibou Badji,Did Not Play
Moses Brown,Did Not Play
Justin Minaya,Did Not Play
Team Totals,60,12,22,.545,1,4,.250,2,4,.500,5,6,11,7,0,0,4,8,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,8:19,2,5,.400,1,2,.500,2,3,.667,0,0,0,2,0,0,0,0,7,+5
Deandre Ayton,9:48,3,6,.500,0,0,,1,2,.500,2,3,5,0,0,1,1,0,7,0
Scoot Henderson,8:03,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-3
Kris Murray,8:19,2,4,.500,0,1,.000,0,0,,1,0,1,0,1,0,0,0,4,+5
Toumani Camara,1:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,7:38,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,0,2,0,0,2,-8
Jabari Walker,10:12,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0,-8
Duop Reath,2:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-3
Matisse Thybulle, 
Rayan Rupert,3:41,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-8
Ibou Badji,Did Not Play
Moses Brown,Did Not Play
Justin Minaya,Did Not Play
Team Totals,60,8,23,.348,1,6,.167,5,7,.714,3,7,10,3,2,3,2,4,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,18:03,5,10,.500,2,5,.400,2,3,.667,0,0,0,5,0,0,1,0,14,+3
Deandre Ayton,18:55,7,11,.636,0,0,,1,2,.500,3,7,10,1,0,1,1,2,15,0
Scoot Henderson,16:38,2,10,.200,0,0,,0,0,,3,0,3,2,0,0,2,0,4,-2
Kris Murray,14:43,3,5,.600,0,1,.000,0,2,.000,1,0,1,1,1,0,0,2,6,+6
Toumani Camara,5:38,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,13:56,2,4,.500,0,1,.000,2,2,1.000,1,2,3,0,0,2,2,1,6,-13
Jabari Walker,18:22,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,0,2,2,-8
Duop Reath,5:05,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,2,2,-5
Matisse Thybulle,4:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Rayan Rupert,3:41,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-8
Ibou Badji,Did Not Play
Moses Brown,Did Not Play
Justin Minaya,Did Not Play
Team Totals,120,20,45,.444,2,10,.200,7,11,.636,8,13,21,10,2,3,6,12,49,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,8:45,1,4,.250,0,2,.000,2,2,1.000,0,1,1,2,0,0,0,1,4,-11
Deandre Ayton,12:00,4,5,.800,0,0,,0,0,,1,3,4,0,0,1,0,1,8,-9
Scoot Henderson,7:43,2,5,.400,1,3,.333,2,2,1.000,0,1,1,1,1,0,2,1,7,-4
Kris Murray,12:00,2,4,.500,0,1,.000,0,0,,0,0,0,0,1,1,0,1,4,-9
Toumani Camara,8:45,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,7:32,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-3
Jabari Walker,3:15,0,1,.000,0,1,.000,1,2,.500,1,1,2,1,0,0,0,0,1,+2
Duop Reath, 
Matisse Thybulle, 
Rayan Rupert, 
Ibou Badji,Did Not Play
Moses Brown,Did Not Play
Justin Minaya,Did Not Play
Team Totals,60,10,21,.476,1,7,.143,5,6,.833,2,7,9,5,2,2,4,4,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,12:00,4,10,.400,2,7,.286,2,2,1.000,0,2,2,2,0,0,0,1,12,+11
Deandre Ayton,6:12,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,+1
Scoot Henderson,5:48,0,2,.000,0,0,,3,4,.750,0,1,1,2,0,0,2,2,3,+10
Kris Murray,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Toumani Camara,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,12:00,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,3,0,1,3,3,+11
Jabari Walker,11:51,0,3,.000,0,1,.000,0,0,,2,4,6,2,0,0,0,1,0,+11
Duop Reath,11:53,5,5,1.000,2,2,1.000,0,0,,1,0,1,0,0,0,0,1,12,+13
Matisse Thybulle, 
Rayan Rupert, 
Ibou Badji,Did Not Play
Moses Brown,Did Not Play
Justin Minaya,Did Not Play
Team Totals,60,10,22,.455,5,11,.455,7,8,.875,3,10,13,6,3,0,3,8,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,20:45,5,14,.357,2,9,.222,4,4,1.000,0,3,3,4,0,0,0,2,16,0
Deandre Ayton,18:12,4,6,.667,0,0,,2,2,1.000,1,4,5,0,0,1,0,1,10,-8
Scoot Henderson,13:31,2,7,.286,1,3,.333,5,6,.833,0,2,2,3,1,0,4,3,10,+6
Kris Murray,12:09,2,4,.500,0,1,.000,0,0,,0,0,0,0,1,1,0,1,4,-9
Toumani Camara,8:52,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,19:32,2,3,.667,1,1,1.000,0,0,,0,3,3,0,3,0,2,3,5,+8
Jabari Walker,15:06,0,4,.000,0,2,.000,1,2,.500,3,5,8,3,0,0,0,1,1,+13
Duop Reath,11:53,5,5,1.000,2,2,1.000,0,0,,1,0,1,0,0,0,0,1,12,+13
Matisse Thybulle, 
Rayan Rupert, 
