,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,34:45,3,13,.231,1,5,.200,2,2,1.000,0,9,9,4,1,0,1,1,9,-2
Terry Rozier,33:48,8,21,.381,3,7,.429,1,1,1.000,2,6,8,1,1,1,3,0,20,+4
Bam Adebayo,31:53,8,10,.800,2,2,1.000,2,2,1.000,3,10,13,6,0,0,4,1,20,-19
Haywood Highsmith,26:29,4,7,.571,3,6,.500,0,2,.000,0,5,5,2,0,0,1,0,11,-18
Duncan Robinson,24:13,1,5,.200,0,1,.000,1,2,.500,1,3,4,0,0,0,1,4,3,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caleb Martin,35:24,6,14,.429,1,6,.167,0,1,.000,1,3,4,2,4,1,4,3,13,0
Patty Mills,21:41,1,6,.167,1,5,.200,0,0,,2,0,2,3,0,0,1,2,3,+4
Thomas Bryant,16:07,4,9,.444,1,1,1.000,2,2,1.000,1,1,2,1,1,1,0,1,11,+12
Delon Wright,15:40,0,4,.000,0,0,,1,2,.500,1,1,2,4,1,0,0,1,1,-2
Jamal Cain,Did Not Play
Nikola Jović,Did Not Dress
Orlando Robinson,Did Not Play
Team Totals,240,35,89,.393,12,33,.364,9,14,.643,11,38,49,23,8,3,15,13,91,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,8:56,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,5,-2
Terry Rozier,8:54,1,4,.250,0,1,.000,0,0,,0,2,2,0,0,0,2,0,2,-2
Bam Adebayo,9:11,4,4,1.000,1,1,1.000,0,0,,1,4,5,4,0,0,0,1,9,-3
Haywood Highsmith,9:11,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,-3
Duncan Robinson,10:29,0,4,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,1,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caleb Martin,5:53,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,-11
Patty Mills, 
Thomas Bryant,2:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Delon Wright,4:37,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-9
Jamal Cain,Did Not Play
Nikola Jović,Did Not Dress
Orlando Robinson,Did Not Play
Team Totals,60,10,22,.455,3,6,.500,0,0,,2,10,12,7,0,0,4,3,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,7:08,1,3,.333,0,2,.000,0,0,,0,3,3,2,0,0,0,1,2,+11
Terry Rozier,8:22,3,6,.500,1,2,.500,1,1,1.000,0,3,3,0,0,1,0,0,8,+10
Bam Adebayo,6:51,2,2,1.000,0,0,,0,0,,0,4,4,1,0,0,1,0,4,-3
Haywood Highsmith,6:51,2,3,.667,1,2,.500,0,2,.000,0,1,1,0,0,0,0,0,5,-3
Duncan Robinson,6:28,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
