,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
GG Jackson II,43:34,8,13,.615,4,8,.500,2,2,1.000,1,6,7,0,3,0,2,2,22,-5
Jaren Jackson Jr.,39:23,8,27,.296,1,6,.167,8,9,.889,1,1,2,4,1,4,4,6,25,-2
Santi Aldama,38:46,5,11,.455,2,6,.333,2,3,.667,1,8,9,2,2,1,2,2,14,-3
Desmond Bane,37:22,7,19,.368,2,7,.286,8,8,1.000,0,5,5,4,3,0,1,2,24,-17
John Konchar,35:11,2,6,.333,0,2,.000,2,2,1.000,4,6,10,3,4,2,1,5,6,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,40:49,4,13,.308,2,6,.333,2,4,.500,3,5,8,5,0,0,1,3,12,-18
DeJon Jarreau,16:44,3,8,.375,2,3,.667,0,2,.000,1,2,3,2,0,0,1,1,8,-5
Trey Jemison,13:09,0,1,.000,0,0,,0,0,,4,1,5,2,0,0,0,2,0,-8
Luke Kennard,Not With Team
Lamar Stevens,Not With Team
Vince Williams Jr.,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,265,37,98,.378,13,38,.342,24,30,.800,15,34,49,22,13,7,12,23,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
GG Jackson II,21:56,3,3,1.000,3,3,1.000,2,2,1.000,0,1,1,0,0,0,0,0,11,+4
Jaren Jackson Jr.,9:56,1,7,.143,0,3,.000,3,3,1.000,0,0,0,0,0,0,1,2,5,-4
Santi Aldama,8:00,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-1
Desmond Bane,4:51,1,2,.500,1,1,1.000,2,2,1.000,0,1,1,1,0,0,0,2,5,+1
John Konchar,21:56,0,0,,0,0,,0,0,,1,3,4,2,1,0,0,1,0,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,17:05,2,5,.400,1,3,.333,0,0,,1,1,2,3,0,0,1,1,5,+3
DeJon Jarreau,13:56,1,2,.500,1,1,1.000,0,2,.000,0,0,0,2,0,0,0,0,3,+5
Trey Jemison,12:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+8
Luke Kennard,Not With Team
Lamar Stevens,Not With Team
Vince Williams Jr.,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,60,9,21,.429,7,13,.538,7,9,.778,3,6,9,8,1,0,2,6,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
GG Jackson II,37:32,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,1,0,2,-7
Jaren Jackson Jr.,5:35,0,2,.000,0,0,,0,0,,0,0,0,0,0,2,0,0,0,-1
Santi Aldama,7:44,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,1,1,0,2,-8
Desmond Bane,9:31,1,5,.200,0,3,.000,2,2,1.000,0,4,4,1,1,0,1,0,4,-13
John Konchar,37:32,1,4,.250,0,2,.000,0,0,,1,1,2,0,1,0,1,1,2,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,0:05,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-14
DeJon Jarreau,37:55,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,0,1,2,-7
Trey Jemison,37:06,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,-13
Luke Kennard,Not With Team
Lamar Stevens,Not With Team
Vince Williams Jr.,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,60,6,24,.250,1,10,.100,2,2,1.000,4,9,13,2,2,3,4,3,15,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
GG Jackson II,59:28,4,6,.667,3,5,.600,2,2,1.000,0,3,3,0,0,0,1,0,13,-3
Jaren Jackson Jr.,15:31,1,9,.111,0,3,.000,3,3,1.000,0,0,0,0,0,2,1,2,5,-5
Santi Aldama,15:44,2,6,.333,1,3,.333,0,0,,1,1,2,0,0,1,1,0,5,-9
Desmond Bane,14:22,2,7,.286,1,4,.250,4,4,1.000,0,5,5,2,1,0,1,2,9,-12
John Konchar,59:28,1,4,.250,0,2,.000,0,0,,2,4,6,2,2,0,1,2,2,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,17:10,3,7,.429,2,4,.500,0,0,,1,1,2,3,0,0,1,1,8,-11
DeJon Jarreau,51:51,2,5,.400,1,2,.500,0,2,.000,1,1,2,2,0,0,0,1,5,-2
Trey Jemison,49:06,0,1,.000,0,0,,0,0,,2,0,2,1,0,0,0,1,0,-5
Luke Kennard,Not With Team
Lamar Stevens,Not With Team
Vince Williams Jr.,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,120,15,45,.333,8,23,.348,9,11,.818,7,15,22,10,3,3,6,9,47,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
GG Jackson II,12:00,1,2,.500,1,1,1.000,0,0,,1,1,2,0,2,0,1,0,3,+2
Jaren Jackson Jr.,7:48,3,7,.429,1,2,.500,0,0,,0,1,1,3,1,0,0,1,7,+5
Santi Aldama,9:02,2,3,.667,1,2,.500,0,0,,0,2,2,1,1,0,1,1,5,+5
Desmond Bane,8:19,3,5,.600,1,1,1.000,4,4,1.000,0,0,0,2,1,0,0,0,11,+4
John Konchar,9:02,0,0,,0,0,,2,2,1.000,0,1,1,0,0,2,0,1,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,6:39,0,3,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-5
DeJon Jarreau,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3
Trey Jemison,4:12,0,0,,0,0,,0,0,,2,1,3,1,0,0,0,1,0,-3
Luke Kennard,Not With Team
Lamar Stevens,Not With Team
Vince Williams Jr.,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,60,9,20,.450,4,8,.500,7,8,.875,3,7,10,7,5,2,3,4,29,
,Basic Box Score Stats
