,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,35:42,12,21,.571,7,13,.538,11,13,.846,2,8,10,3,1,1,1,2,42,+26
Amen Thompson,32:13,10,12,.833,0,0,,5,7,.714,3,7,10,2,0,1,2,1,25,+32
Fred VanVleet,32:07,3,11,.273,1,4,.250,0,1,.000,0,3,3,11,2,1,1,1,7,+3
Jabari Smith Jr.,30:40,7,13,.538,2,7,.286,2,3,.667,4,10,14,0,1,0,0,2,18,-2
Dillon Brooks,23:28,1,7,.143,0,5,.000,0,0,,0,1,1,0,0,0,2,1,2,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,20:58,2,7,.286,1,5,.200,2,2,1.000,0,0,0,6,2,1,0,2,7,+19
Jock Landale,19:45,4,7,.571,0,0,,2,2,1.000,2,1,3,0,0,7,0,2,10,+16
Jeff Green,17:34,4,7,.571,2,4,.500,2,2,1.000,0,2,2,1,0,0,0,0,12,+2
Jae'Sean Tate,14:40,2,3,.667,0,0,,2,2,1.000,1,2,3,1,0,0,1,3,6,+3
Reggie Bullock,8:16,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,0
Jeenathan Williams,2:29,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,+3
Boban Marjanović,2:07,1,1,1.000,0,0,,3,3,1.000,0,0,0,0,0,0,0,0,5,0
Team Totals,240,47,91,.516,13,39,.333,30,36,.833,12,35,47,25,6,11,7,15,137,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,12:00,6,9,.667,3,5,.600,4,5,.800,2,0,2,0,1,0,1,0,19,+3
Amen Thompson,9:44,3,4,.750,0,0,,3,4,.750,0,2,2,1,0,0,1,0,9,+11
Fred VanVleet,9:25,0,2,.000,0,0,,0,0,,0,1,1,3,2,0,0,0,0,+5
Jabari Smith Jr.,8:59,1,1,1.000,1,1,1.000,2,3,.667,1,1,2,0,1,0,0,0,5,-1
Dillon Brooks,8:40,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,2:35,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
Jock Landale,5:17,1,2,.500,0,0,,0,0,,0,0,0,0,0,2,0,2,2,-4
Jeff Green,3:20,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-6
Jae'Sean Tate, 
Reggie Bullock, 
Jeenathan Williams, 
Boban Marjanović, 
Team Totals,60,13,22,.591,4,6,.667,9,12,.750,3,5,8,6,4,2,2,2,39,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,6:42,0,2,.000,0,2,.000,3,4,.750,0,3,3,0,0,1,0,1,3,-1
Amen Thompson,7:23,2,3,.667,0,0,,0,0,,1,2,3,0,0,1,0,0,4,+1
Fred VanVleet,9:06,1,3,.333,0,1,.000,0,1,.000,0,0,0,3,0,0,1,1,2,-2
Jabari Smith Jr.,6:28,2,5,.400,0,2,.000,0,0,,2,3,5,0,0,0,0,0,4,+3
Dillon Brooks,7:32,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,2:54,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+2
Jock Landale,5:32,1,2,.500,0,0,,0,0,,1,0,1,0,0,1,0,0,2,-3
Jeff Green,4:37,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,-1
Jae'Sean Tate,5:18,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,1,2,+1
Reggie Bullock,4:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1
Jeenathan Williams, 
Boban Marjanović, 
Team Totals,60,8,23,.348,0,10,.000,5,7,.714,5,9,14,3,0,3,2,4,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,18:42,6,11,.545,3,7,.429,7,9,.778,2,3,5,0,1,1,1,1,22,+2
Amen Thompson,17:07,5,7,.714,0,0,,3,4,.750,1,4,5,1,0,1,1,0,13,+12
Fred VanVleet,18:31,1,5,.200,0,1,.000,0,1,.000,0,1,1,6,2,0,1,1,2,+3
Jabari Smith Jr.,15:27,3,6,.500,1,3,.333,2,3,.667,3,4,7,0,1,0,0,0,9,+2
Dillon Brooks,16:12,1,5,.200,0,3,.000,0,0,,0,1,1,0,0,0,0,0,2,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,5:29,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,0
Jock Landale,10:49,2,4,.500,0,0,,0,0,,1,0,1,0,0,3,0,2,4,-7
Jeff Green,7:57,1,3,.333,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,0,4,-7
Jae'Sean Tate,5:18,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,1,2,+1
Reggie Bullock,4:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1
Jeenathan Williams, 
Boban Marjanović, 
Team Totals,120,21,45,.467,4,16,.250,14,19,.737,8,14,22,9,4,5,4,6,60,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,12:00,5,7,.714,4,4,1.000,1,1,1.000,0,5,5,3,0,0,0,1,15,+16
Amen Thompson,11:59,5,5,1.000,0,0,,2,3,.667,2,3,5,1,0,0,1,1,12,+16
Fred VanVleet,5:24,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-3
Jabari Smith Jr.,5:42,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,2,2,-5
Dillon Brooks,7:16,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,2,1,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,6:36,0,0,,0,0,,0,0,,0,0,0,2,1,1,0,0,0,+19
Jock Landale,6:18,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,4,0,0,4,+21
Jeff Green,4:44,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,0,6,+13
Jae'Sean Tate, 
Reggie Bullock, 
Jeenathan Williams, 
Boban Marjanović, 
Team Totals,60,15,22,.682,6,9,.667,5,6,.833,2,12,14,7,1,5,3,5,41,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,5:00,1,3,.333,0,2,.000,3,3,1.000,0,0,0,0,0,0,0,0,5,+8
Amen Thompson,3:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
Fred VanVleet,8:12,1,3,.333,1,3,.333,0,0,,0,1,1,4,0,1,0,0,3,+3
Jabari Smith Jr.,9:31,3,6,.500,1,4,.250,0,0,,1,4,5,0,0,0,0,0,7,+1
Dillon Brooks, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,8:53,1,6,.167,1,5,.200,2,2,1.000,0,0,0,3,1,0,0,2,5,0
Jock Landale,2:38,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+2
Jeff Green,4:53,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-4
Jae'Sean Tate,9:22,1,1,1.000,0,0,,2,2,1.000,0,2,2,1,0,0,0,2,4,+2
Reggie Bullock,3:48,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+1
Jeenathan Williams,2:29,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,+3
Boban Marjanović,2:07,1,1,1.000,0,0,,3,3,1.000,0,0,0,0,0,0,0,0,5,0
Team Totals,60,11,24,.458,3,14,.214,11,11,1.000,2,9,11,9,1,1,0,4,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,17:00,6,10,.600,4,6,.667,4,4,1.000,0,5,5,3,0,0,0,1,20,+24
Amen Thompson,15:06,5,5,1.000,0,0,,2,3,.667,2,3,5,1,0,0,1,1,12,+20
Fred VanVleet,13:36,2,6,.333,1,3,.333,0,0,,0,2,2,5,0,1,0,0,5,0
Jabari Smith Jr.,15:13,4,7,.571,1,4,.250,0,0,,1,6,7,0,0,0,0,2,9,-4
Dillon Brooks,7:16,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,2,1,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,15:29,1,6,.167,1,5,.200,2,2,1.000,0,0,0,5,2,1,0,2,5,+19
Jock Landale,8:56,2,3,.667,0,0,,2,2,1.000,1,1,2,0,0,4,0,0,6,+23
Jeff Green,9:37,3,4,.750,2,3,.667,0,0,,0,1,1,0,0,0,0,0,8,+9
Jae'Sean Tate,9:22,1,1,1.000,0,0,,2,2,1.000,0,2,2,1,0,0,0,2,4,+2
Reggie Bullock,3:48,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+1
Jeenathan Williams,2:29,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,+3
Boban Marjanović,2:07,1,1,1.000,0,0,,3,3,1.000,0,0,0,0,0,0,0,0,5,0
Team Totals,120,26,46,.565,9,23,.391,16,17,.941,4,21,25,16,2,6,3,9,77,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Green,35:42,.786,.738,.619,.619,6.9,20.7,14.8,13.1,1.4,2.3,3.6,32.7,163,115,15.9
