,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,35:03,7,20,.350,2,6,.333,2,4,.500,3,2,5,4,3,3,2,1,18,-6
Tyrese Maxey,29:27,3,13,.231,0,4,.000,0,0,,0,0,0,7,1,0,1,2,6,-13
Kyle Lowry,24:44,2,6,.333,1,4,.250,0,2,.000,0,3,3,7,0,0,1,1,5,-7
Nicolas Batum,24:00,3,4,.750,1,2,.500,1,2,.500,1,2,3,0,1,1,1,2,8,-14
Mo Bamba,19:22,4,6,.667,1,3,.333,0,2,.000,1,4,5,0,2,1,1,2,9,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,28:00,2,9,.222,0,2,.000,0,2,.000,3,3,6,3,3,2,3,2,4,-7
KJ Martin,25:33,4,9,.444,1,2,.500,2,4,.500,3,10,13,2,0,0,0,1,11,+4
Cameron Payne,15:11,5,10,.500,2,4,.500,0,0,,0,1,1,3,1,0,0,1,12,-20
Buddy Hield,14:40,3,8,.375,1,5,.200,0,0,,1,1,2,0,0,0,0,0,7,-17
Jeff Dowtin,12:00,4,5,.800,2,3,.667,2,2,1.000,1,1,2,5,1,0,0,0,12,+11
Ricky Council IV,12:00,4,5,.800,2,2,1.000,0,0,,0,0,0,2,0,0,0,0,10,+11
Tobias Harris,Did Not Dress
Team Totals,240,41,95,.432,13,37,.351,7,18,.389,13,27,40,33,12,7,9,12,102,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,8:43,3,5,.600,0,0,,1,1,1.000,1,0,1,0,1,2,1,1,7,-1
Tyrese Maxey,12:00,2,7,.286,0,2,.000,0,0,,0,0,0,2,1,0,0,1,4,+2
Kyle Lowry,8:25,1,3,.333,0,1,.000,0,0,,0,1,1,3,0,0,0,0,2,+1
Nicolas Batum,7:18,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,+5
Mo Bamba,5:26,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,2,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,6:34,0,2,.000,0,0,,0,0,,0,1,1,2,2,1,1,0,0,-1
KJ Martin,5:37,1,1,1.000,0,0,,2,4,.500,1,2,3,0,0,0,0,1,4,-1
Cameron Payne,2:22,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,+1
Buddy Hield,3:35,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Jeff Dowtin, 
Ricky Council IV, 
Tobias Harris,Did Not Dress
Team Totals,60,10,22,.455,0,4,.000,3,5,.600,2,8,10,7,4,4,3,4,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,6:52,1,3,.333,0,2,.000,1,2,.500,1,1,2,1,1,0,1,0,3,-12
Tyrese Maxey,6:52,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,0,0,-12
Kyle Lowry,8:51,0,1,.000,0,1,.000,0,2,.000,0,1,1,3,0,0,0,0,0,-4
Nicolas Batum,9:14,2,2,1.000,1,1,1.000,1,2,.500,1,0,1,0,1,0,0,2,6,-15
Mo Bamba,5:31,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,1,0,0,2,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,5:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2
KJ Martin,3:24,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Cameron Payne,8:17,3,6,.500,2,3,.667,0,0,,0,1,1,2,1,0,0,1,8,-14
Buddy Hield,5:08,2,5,.400,1,4,.250,0,0,,1,0,1,0,0,0,0,0,5,-3
Jeff Dowtin, 
Ricky Council IV, 
Tobias Harris,Did Not Dress
Team Totals,60,9,23,.391,4,14,.286,2,6,.333,3,5,8,9,3,1,1,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,15:35,4,8,.500,0,2,.000,2,3,.667,2,1,3,1,2,2,2,1,10,-13
Tyrese Maxey,18:52,2,10,.200,0,4,.000,0,0,,0,0,0,4,1,0,0,1,4,-10
Kyle Lowry,17:16,1,4,.250,0,2,.000,0,2,.000,0,2,2,6,0,0,0,0,2,-3
Nicolas Batum,16:32,2,2,1.000,1,1,1.000,1,2,.500,1,2,3,0,1,1,0,2,6,-10
Mo Bamba,10:57,2,3,.667,0,1,.000,0,0,,0,3,3,0,0,1,1,1,4,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,12:25,0,2,.000,0,0,,0,0,,0,2,2,2,2,1,1,1,0,-3
KJ Martin,9:01,1,2,.500,0,0,,2,4,.500,1,2,3,1,0,0,0,1,4,0
Cameron Payne,10:39,5,8,.625,2,3,.667,0,0,,0,1,1,2,1,0,0,1,12,-13
Buddy Hield,8:43,2,6,.333,1,5,.200,0,0,,1,0,1,0,0,0,0,0,5,-2
Jeff Dowtin, 
Ricky Council IV, 
Tobias Harris,Did Not Dress
Team Totals,120,19,45,.422,4,18,.222,5,11,.455,5,13,18,16,7,5,4,8,47,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,7:28,1,4,.250,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,-4
Tyrese Maxey,10:35,1,3,.333,0,0,,0,0,,0,0,0,3,0,0,1,1,2,-3
Kyle Lowry,7:28,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,1,3,-4
Nicolas Batum,7:28,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,-4
Mo Bamba,4:46,2,3,.667,1,2,.500,0,0,,0,0,0,0,2,0,0,1,5,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,7:14,1,2,.500,0,0,,0,2,.000,0,1,1,0,0,1,0,1,2,-12
KJ Martin,4:32,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-7
Cameron Payne,4:32,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-7
Buddy Hield,5:57,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-15
Jeff Dowtin, 
Ricky Council IV, 
Tobias Harris,Did Not Dress
Team Totals,60,8,21,.381,3,8,.375,0,2,.000,0,6,6,7,2,1,3,4,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,12:00,2,8,.250,1,2,.500,0,1,.000,1,0,1,1,1,1,0,0,5,+11
Tyrese Maxey, 
Kyle Lowry, 
Nicolas Batum, 
Mo Bamba,3:39,0,0,,0,0,,0,2,.000,1,1,2,0,0,0,0,0,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,8:21,1,5,.200,0,2,.000,0,0,,3,0,3,1,1,0,2,0,2,+8
KJ Martin,12:00,3,6,.500,1,2,.500,0,0,,2,6,8,1,0,0,0,0,7,+11
Cameron Payne, 
Buddy Hield, 
Jeff Dowtin,12:00,4,5,.800,2,3,.667,2,2,1.000,1,1,2,5,1,0,0,0,12,+11
Ricky Council IV,12:00,4,5,.800,2,2,1.000,0,0,,0,0,0,2,0,0,0,0,10,+11
Tobias Harris,Did Not Dress
Team Totals,60,14,29,.483,6,11,.545,2,5,.400,8,8,16,10,3,1,2,0,36,
,Basic Box Score Stats
