,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,30:42,5,12,.417,0,5,.000,0,0,,3,5,8,1,1,2,2,3,10,+33
De'Aaron Fox,28:26,8,15,.533,3,7,.429,1,2,.500,0,4,4,5,2,0,3,0,20,+22
Domantas Sabonis,27:34,4,7,.571,0,0,,5,6,.833,6,11,17,10,0,1,1,2,13,+26
Keon Ellis,25:19,2,6,.333,2,5,.400,0,0,,0,1,1,2,4,1,0,1,6,+28
Harrison Barnes,19:02,6,9,.667,3,5,.600,1,2,.500,0,2,2,1,0,0,0,1,16,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Davion Mitchell,21:22,4,7,.571,0,1,.000,0,0,,2,0,2,3,2,0,3,0,8,+10
Malik Monk,19:42,6,12,.500,1,7,.143,4,4,1.000,0,2,2,2,1,0,3,3,17,+16
Chris Duarte,19:12,5,6,.833,2,2,1.000,2,2,1.000,2,3,5,2,0,0,1,0,14,+14
Alex Len,16:02,2,2,1.000,0,0,,2,2,1.000,0,3,3,4,0,1,0,1,6,+1
Kessler Edwards,12:00,4,8,.500,1,5,.200,0,0,,1,2,3,1,1,0,1,1,9,0
Jalen Slawson,8:23,1,2,.500,0,1,.000,0,0,,1,1,2,0,1,0,0,2,2,+3
Colby Jones,7:52,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,1,2,0,-1
JaVale McGee,4:24,1,5,.200,0,0,,0,0,,2,1,3,0,2,1,0,0,2,+7
Team Totals,240,48,93,.516,12,40,.300,15,18,.833,18,35,53,32,14,6,15,16,123,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,8:13,1,6,.167,0,3,.000,0,0,,0,0,0,0,0,0,0,0,2,+5
De'Aaron Fox,9:23,3,3,1.000,1,1,1.000,0,0,,0,2,2,2,1,0,1,0,7,+3
Domantas Sabonis,10:27,1,2,.500,0,0,,4,4,1.000,3,4,7,4,0,1,0,1,6,+4
Keon Ellis,9:17,1,2,.500,1,1,1.000,0,0,,0,0,0,1,1,1,0,1,3,+6
Harrison Barnes,9:17,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,5,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Davion Mitchell,3:47,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Malik Monk,5:20,3,4,.750,1,2,.500,2,2,1.000,0,0,0,0,0,0,1,1,9,+1
Chris Duarte,2:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1
Alex Len,1:33,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
Kessler Edwards, 
Jalen Slawson, 
Colby Jones, 
JaVale McGee, 
Team Totals,60,11,22,.500,4,10,.400,6,6,1.000,3,8,11,8,2,2,3,3,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,10:29,1,2,.500,0,1,.000,0,0,,2,2,4,1,0,2,1,0,2,+17
De'Aaron Fox,10:02,3,8,.375,1,4,.250,1,2,.500,0,1,1,2,1,0,0,0,8,+17
Domantas Sabonis,7:57,1,2,.500,0,0,,0,0,,1,4,5,1,0,0,0,0,2,+9
Keon Ellis,6:52,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,+9
Harrison Barnes,3:34,1,2,.500,1,2,.500,1,2,.500,0,0,0,0,0,0,0,1,4,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Davion Mitchell,2:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Malik Monk,6:33,2,4,.500,0,2,.000,2,2,1.000,0,1,1,1,1,0,2,2,6,+7
Chris Duarte,7:54,3,4,.750,1,1,1.000,0,0,,2,2,4,1,0,0,0,0,7,+20
Alex Len,4:03,2,2,1.000,0,0,,0,0,,0,1,1,1,0,1,0,1,4,+9
Kessler Edwards, 
Jalen Slawson, 
Colby Jones, 
JaVale McGee, 
Team Totals,60,14,26,.538,4,12,.333,4,6,.667,5,11,16,8,3,3,3,4,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,18:42,2,8,.250,0,4,.000,0,0,,2,2,4,1,0,2,1,0,4,+22
De'Aaron Fox,19:25,6,11,.545,2,5,.400,1,2,.500,0,3,3,4,2,0,1,0,15,+20
Domantas Sabonis,18:24,2,4,.500,0,0,,4,4,1.000,4,8,12,5,0,1,0,1,8,+13
Keon Ellis,16:09,2,4,.500,2,3,.667,0,0,,0,0,0,1,2,1,0,1,6,+15
Harrison Barnes,12:51,3,6,.500,2,4,.500,1,2,.500,0,1,1,1,0,0,0,1,9,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Davion Mitchell,6:23,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+1
Malik Monk,11:53,5,8,.625,1,4,.250,4,4,1.000,0,1,1,1,1,0,3,3,15,+8
Chris Duarte,10:37,3,4,.750,1,1,1.000,0,0,,2,2,4,1,0,0,1,0,7,+19
Alex Len,5:36,2,2,1.000,0,0,,0,0,,0,2,2,1,0,1,0,1,4,+10
Kessler Edwards, 
Jalen Slawson, 
Colby Jones, 
JaVale McGee, 
Team Totals,120,25,48,.521,8,22,.364,10,12,.833,8,19,27,16,5,5,6,7,68,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,12:00,3,4,.750,0,1,.000,0,0,,1,3,4,0,1,0,1,3,6,+11
De'Aaron Fox,9:01,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,2,0,5,+2
Domantas Sabonis,9:10,2,3,.667,0,0,,1,2,.500,2,3,5,5,0,0,1,1,5,+13
Keon Ellis,9:10,0,2,.000,0,2,.000,0,0,,0,1,1,1,2,0,0,0,0,+13
Harrison Barnes,6:11,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,7,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Davion Mitchell,2:59,2,2,1.000,0,0,,0,0,,1,0,1,0,1,0,0,0,4,+9
Malik Monk,5:49,1,4,.250,0,3,.000,0,0,,0,1,1,1,0,0,0,0,2,+7
Chris Duarte,2:50,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,-2
Alex Len,2:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Kessler Edwards, 
Jalen Slawson, 
Colby Jones, 
JaVale McGee, 
Team Totals,60,13,22,.591,2,9,.222,3,4,.750,4,10,14,9,4,0,4,4,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray, 
De'Aaron Fox, 
Domantas Sabonis, 
Keon Ellis, 
Harrison Barnes, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Davion Mitchell,12:00,2,4,.500,0,0,,0,0,,1,0,1,2,1,0,3,0,4,0
Malik Monk,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Chris Duarte,5:45,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,-3
Alex Len,7:36,0,0,,0,0,,2,2,1.000,0,1,1,3,0,0,0,0,2,-7
Kessler Edwards,12:00,4,8,.500,1,5,.200,0,0,,1,2,3,1,1,0,1,1,9,0
Jalen Slawson,8:23,1,2,.500,0,1,.000,0,0,,1,1,2,0,1,0,0,2,2,+3
Colby Jones,7:52,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,1,2,0,-1
JaVale McGee,4:24,1,5,.200,0,0,,0,0,,2,1,3,0,2,1,0,0,2,+7
Team Totals,60,10,23,.435,2,9,.222,2,2,1.000,6,6,12,7,5,1,5,5,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,12:00,3,4,.750,0,1,.000,0,0,,1,3,4,0,1,0,1,3,6,+11
De'Aaron Fox,9:01,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,2,0,5,+2
Domantas Sabonis,9:10,2,3,.667,0,0,,1,2,.500,2,3,5,5,0,0,1,1,5,+13
Keon Ellis,9:10,0,2,.000,0,2,.000,0,0,,0,1,1,1,2,0,0,0,0,+13
Harrison Barnes,6:11,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,7,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Davion Mitchell,14:59,4,6,.667,0,0,,0,0,,2,0,2,2,2,0,3,0,8,+9
Malik Monk,7:49,1,4,.250,0,3,.000,0,0,,0,1,1,1,0,0,0,0,2,+8
