,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ayo Dosunmu,39:25,13,18,.722,5,6,.833,4,4,1.000,0,2,2,2,3,0,2,2,35,+2
Nikola Vučević,38:53,7,16,.438,1,5,.200,1,2,.500,4,10,14,6,0,1,1,2,16,-6
Alex Caruso,34:48,3,11,.273,2,8,.250,4,4,1.000,1,1,2,4,2,0,2,5,12,-15
Torrey Craig,24:42,4,9,.444,2,4,.500,0,0,,1,3,4,1,0,1,2,3,10,-12
DeMar DeRozan,23:37,4,15,.267,0,1,.000,8,9,.889,0,2,2,2,2,0,0,1,16,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,29:28,5,13,.385,2,5,.400,1,2,.500,0,4,4,3,0,0,2,2,13,+4
Andre Drummond,23:54,3,5,.600,0,0,,3,4,.750,3,5,8,0,1,1,2,1,9,-3
Dalen Terry,17:07,3,5,.600,0,1,.000,0,0,,3,4,7,5,0,0,0,0,6,+9
Onuralp Bitim,8:05,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-15
Jevon Carter,Did Not Play
Julian Phillips,Did Not Dress
Terry Taylor,Did Not Play
Team Totals,240,42,93,.452,12,31,.387,21,25,.840,12,31,43,23,8,3,11,17,117,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ayo Dosunmu,9:13,3,4,.750,0,0,,0,0,,0,1,1,0,0,0,1,1,6,-5
Nikola Vučević,10:49,1,5,.200,0,1,.000,1,2,.500,2,1,3,1,0,0,1,1,3,-14
Alex Caruso,9:41,2,3,.667,1,2,.500,0,0,,0,0,0,1,1,0,1,2,5,-15
Torrey Craig,7:36,2,5,.400,1,2,.500,0,0,,1,0,1,0,0,0,0,1,5,-3
DeMar DeRozan,9:00,1,3,.333,0,0,,3,3,1.000,0,2,2,1,1,0,0,0,5,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,6:43,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,0,2,-10
Andre Drummond,1:11,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,0
Dalen Terry, 
Onuralp Bitim,5:47,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-14
Jevon Carter,Did Not Play
Julian Phillips,Did Not Dress
Terry Taylor,Did Not Play
Team Totals,60,10,23,.435,2,7,.286,6,7,.857,3,5,8,3,2,0,4,5,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ayo Dosunmu,10:12,5,6,.833,2,3,.667,1,1,1.000,0,0,0,1,1,0,0,0,13,+11
Nikola Vučević,8:46,2,2,1.000,1,1,1.000,0,0,,0,4,4,3,0,0,0,0,5,+12
