,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,39:10,8,17,.471,0,5,.000,5,6,.833,0,6,6,4,0,0,3,0,21,-6
Cameron Johnson,35:06,6,13,.462,4,9,.444,1,1,1.000,2,6,8,4,0,0,1,0,17,+2
Dennis Schröder,34:15,2,9,.222,1,5,.200,0,0,,0,2,2,9,1,0,2,4,5,-17
Nic Claxton,34:02,9,12,.750,0,0,,4,6,.667,4,5,9,1,2,0,1,3,22,-17
Mikal Bridges,33:29,9,19,.474,6,14,.429,0,0,,2,4,6,2,1,0,2,2,24,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,18:34,2,2,1.000,1,1,1.000,0,0,,0,3,3,6,3,0,3,2,5,-7
Noah Clowney,13:57,2,5,.400,1,4,.250,0,0,,1,3,4,1,0,0,0,0,5,+10
Lonnie Walker IV,11:34,1,7,.143,0,5,.000,0,0,,1,2,3,0,0,1,0,1,2,-9
Jalen Wilson,11:21,1,3,.333,0,1,.000,2,2,1.000,2,3,5,2,0,0,2,0,4,+11
Trendon Watford,8:29,1,5,.200,0,0,,1,1,1.000,3,0,3,0,0,0,0,0,3,+5
Keita Bates-Diop,Did Not Play
Day'Ron Sharpe,Did Not Play
Team Totals,240,41,92,.446,13,44,.295,13,16,.813,15,34,49,29,7,1,14,12,108,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,6:55,2,4,.500,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,0,6,0
Cameron Johnson,12:00,1,4,.250,1,3,.333,0,0,,0,2,2,0,0,0,0,0,3,-7
Dennis Schröder,8:22,0,2,.000,0,0,,0,0,,0,0,0,3,0,0,1,0,0,-6
Nic Claxton,8:05,1,2,.500,0,0,,1,2,.500,1,2,3,0,0,0,0,1,3,-6
Mikal Bridges,12:00,2,6,.333,1,4,.250,0,0,,1,2,3,1,0,0,1,0,5,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,5:05,0,0,,0,0,,0,0,,0,0,0,1,1,0,2,0,0,-7
Noah Clowney,3:54,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-1
Lonnie Walker IV,3:38,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,-1
Jalen Wilson, 
Trendon Watford, 
Keita Bates-Diop,Did Not Play
Day'Ron Sharpe,Did Not Play
Team Totals,60,7,21,.333,2,10,.200,3,4,.750,3,8,11,5,1,0,4,1,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,12:00,3,5,.600,0,1,.000,0,0,,0,2,2,2,0,0,2,0,6,-9
Cameron Johnson,4:46,1,1,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,0,3,-3
Dennis Schröder,9:19,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,0,0,-7
