,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
CJ McCollum,33:36,6,12,.500,3,6,.500,3,4,.750,0,3,3,3,0,0,2,3,18,-10
Herbert Jones,31:42,5,6,.833,0,1,.000,3,4,.750,2,4,6,5,1,0,2,1,13,+2
Zion Williamson,28:47,8,15,.533,0,0,,4,6,.667,0,7,7,2,2,1,8,5,20,0
Brandon Ingram,21:29,7,12,.583,0,1,.000,0,0,,0,4,4,3,1,0,2,2,14,-8
Jonas Valančiūnas,18:00,3,4,.750,0,1,.000,0,0,,0,5,5,1,1,0,1,3,6,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trey Murphy III,29:20,6,10,.600,3,5,.600,6,7,.857,1,2,3,0,1,0,1,0,21,-21
Larry Nance Jr.,18:00,0,1,.000,0,0,,0,0,,0,2,2,3,2,0,1,0,0,-24
Naji Marshall,17:54,2,5,.400,0,2,.000,0,0,,0,0,0,2,1,0,1,0,4,-19
Jose Alvarado,17:49,0,3,.000,0,1,.000,0,0,,0,1,1,3,1,0,0,2,0,-12
Jeremiah Robinson-Earl,12:00,3,5,.600,0,1,.000,0,0,,0,1,1,1,0,0,0,1,6,+5
Jordan Hawkins,5:41,1,1,1.000,0,0,,0,0,,0,1,1,1,1,0,0,0,2,+4
Matt Ryan,5:41,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,1,2,+4
Cody Zeller,Did Not Play
Team Totals,240,42,77,.545,6,20,.300,16,21,.762,3,30,33,24,11,1,18,18,106,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
CJ McCollum,8:11,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,0,0,1,5,+9
Herbert Jones,9:35,2,3,.667,0,1,.000,0,0,,1,1,2,3,0,0,1,0,4,+10
Zion Williamson,9:21,1,3,.333,0,0,,1,1,1.000,0,3,3,1,0,1,4,1,3,+3
Brandon Ingram,8:11,2,5,.400,0,1,.000,0,0,,0,1,1,1,1,0,0,0,4,+9
Jonas Valančiūnas,8:11,1,1,1.000,0,0,,0,0,,0,3,3,0,1,0,0,1,2,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trey Murphy III,6:24,3,3,1.000,1,1,1.000,3,3,1.000,0,2,2,0,0,0,0,0,10,0
Larry Nance Jr.,3:49,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,-4
Naji Marshall,2:28,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-7
Jose Alvarado,3:49,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-4
Jeremiah Robinson-Earl, 
Jordan Hawkins, 
Matt Ryan, 
Cody Zeller,Did Not Play
Team Totals,60,11,21,.524,2,6,.333,4,4,1.000,1,13,14,8,3,1,5,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
CJ McCollum,9:18,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,1,0,2,-11
Herbert Jones,7:13,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-5
Zion Williamson,6:05,3,5,.600,0,0,,0,2,.000,0,1,1,0,1,0,2,1,6,0
Brandon Ingram,11:10,4,6,.667,0,0,,0,0,,0,3,3,2,0,0,1,0,8,-12
Jonas Valančiūnas,3:32,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trey Murphy III,6:45,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-16
Larry Nance Jr.,8:28,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,1,0,0,-7
Naji Marshall,4:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
Jose Alvarado,2:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Jeremiah Robinson-Earl, 
Jordan Hawkins, 
Matt Ryan, 
Cody Zeller,Did Not Play
Team Totals,60,9,18,.500,0,2,.000,2,4,.500,0,7,7,4,2,0,6,3,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
CJ McCollum,17:29,3,7,.429,1,3,.333,0,0,,0,3,3,1,0,0,1,1,7,-2
Herbert Jones,16:48,2,3,.667,0,1,.000,2,2,1.000,1,2,3,3,0,0,1,0,6,+5
Zion Williamson,15:26,4,8,.500,0,0,,1,3,.333,0,4,4,1,1,1,6,2,9,+3
Brandon Ingram,19:21,6,11,.545,0,1,.000,0,0,,0,4,4,3,1,0,1,0,12,-3
Jonas Valančiūnas,11:43,2,2,1.000,0,0,,0,0,,0,3,3,0,1,0,1,3,4,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trey Murphy III,13:09,3,4,.750,1,2,.500,3,3,1.000,0,2,2,0,0,0,0,0,10,-16
Larry Nance Jr.,12:17,0,1,.000,0,0,,0,0,,0,2,2,3,2,0,1,0,0,-11
Naji Marshall,7:15,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-16
Jose Alvarado,6:31,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-7
Jeremiah Robinson-Earl, 
Jordan Hawkins, 
Matt Ryan, 
Cody Zeller,Did Not Play
Team Totals,120,20,39,.513,2,8,.250,6,8,.750,1,20,21,12,5,1,11,7,48,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
CJ McCollum,11:21,2,3,.667,1,2,.500,3,4,.750,0,0,0,2,0,0,0,2,8,-9
Herbert Jones,8:35,0,0,,0,0,,0,0,,1,1,2,2,1,0,1,1,0,-4
