,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Herbert Jones,38:40,3,8,.375,1,4,.250,3,3,1.000,0,3,3,2,0,1,0,3,10,+24
CJ McCollum,35:05,12,21,.571,6,12,.500,0,0,,1,4,5,7,1,0,2,0,30,+14
Trey Murphy III,29:37,4,11,.364,4,9,.444,2,2,1.000,1,7,8,3,0,0,3,1,14,+7
Zion Williamson,24:50,2,7,.286,0,0,,0,0,,3,2,5,4,0,1,5,2,4,-3
Jonas Valančiūnas,21:41,4,4,1.000,0,0,,0,0,,0,10,10,0,0,0,0,4,8,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jose Alvarado,31:28,6,12,.500,4,7,.571,1,2,.500,2,5,7,6,0,0,2,2,17,+27
Larry Nance Jr.,23:09,2,2,1.000,0,0,,2,3,.667,4,5,9,1,0,0,0,0,6,+10
Naji Marshall,22:50,6,11,.545,1,2,.500,0,0,,0,7,7,1,1,0,0,1,13,+26
Jordan Hawkins,3:10,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-1
Matt Ryan,3:10,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-1
Jeremiah Robinson-Earl,3:10,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-1
Cody Zeller,3:10,0,0,,0,0,,1,2,.500,1,1,2,0,1,0,0,0,1,-1
Team Totals,240,42,82,.512,18,36,.500,9,12,.750,12,44,56,25,3,2,12,13,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Herbert Jones,9:20,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-5
CJ McCollum,7:03,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,-11
