,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,31:02,12,16,.750,1,2,.500,0,0,,0,4,4,4,3,0,0,0,25,+31
Devin Booker,30:30,14,24,.583,3,7,.429,1,1,1.000,2,5,7,9,0,0,2,3,32,+29
Bradley Beal,28:23,6,10,.600,1,3,.333,0,0,,0,1,1,12,0,0,1,1,13,+15
Grayson Allen,25:37,4,6,.667,0,0,,0,0,,0,2,2,1,1,0,1,1,8,+26
Jusuf Nurkić,21:49,3,7,.429,0,0,,0,0,,3,7,10,3,3,0,0,4,6,+26
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Eric Gordon,22:51,4,6,.667,4,5,.800,0,0,,0,0,0,1,1,0,0,3,12,+4
Bol Bol,19:01,4,5,.800,2,2,1.000,3,4,.750,0,4,4,1,0,1,0,3,13,+5
Drew Eubanks,18:21,3,4,.750,0,0,,4,5,.800,0,3,3,1,1,3,0,1,10,+2
Royce O'Neale,15:43,2,6,.333,0,4,.000,0,0,,0,4,4,0,0,1,2,0,4,-3
Josh Okogie,9:34,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,1,1,0,-4
Thaddeus Young,5:43,2,4,.500,0,0,,0,0,,1,1,2,2,1,0,1,0,4,-2
Nassir Little,5:43,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,-2
David Roddy,5:43,1,2,.500,0,0,,0,0,,0,1,1,2,1,0,0,0,2,-2
Isaiah Thomas,Did Not Play
Team Totals,240,56,94,.596,11,24,.458,8,10,.800,7,32,39,38,11,5,8,18,131,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,8:20,3,5,.600,0,1,.000,0,0,,0,0,0,1,0,0,0,0,6,+8
Devin Booker,12:00,5,9,.556,1,3,.333,1,1,1.000,1,4,5,0,0,0,0,1,12,+9
Bradley Beal,9:14,1,3,.333,0,2,.000,0,0,,0,1,1,4,0,0,1,1,2,+5
Grayson Allen,10:01,2,4,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,4,+9
Jusuf Nurkić,8:20,1,2,.500,0,0,,0,0,,0,3,3,2,2,0,0,0,2,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Eric Gordon,4:45,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+4
Bol Bol, 
Drew Eubanks,3:40,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,+1
Royce O'Neale,3:40,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,+1
Josh Okogie, 
Thaddeus Young, 
Nassir Little, 
David Roddy, 
Isaiah Thomas,Did Not Play
Team Totals,60,12,26,.462,1,8,.125,1,1,1.000,1,12,13,7,4,0,1,3,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,10:42,5,7,.714,1,1,1.000,0,0,,0,4,4,1,0,0,0,0,11,+9
Devin Booker,6:30,2,3,.667,0,0,,0,0,,0,0,0,5,0,0,0,0,4,+6
Bradley Beal,7:37,2,2,1.000,0,0,,0,0,,0,0,0,3,0,0,0,0,4,+2
Grayson Allen,6:30,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,2,+6
Jusuf Nurkić,4:23,1,3,.333,0,0,,0,0,,2,2,4,0,1,0,0,0,2,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Eric Gordon,8:55,3,3,1.000,3,3,1.000,0,0,,0,0,0,0,0,0,0,2,9,+2
Bol Bol,8:35,2,2,1.000,0,0,,1,2,.500,0,2,2,0,0,0,0,2,5,+10
Drew Eubanks,5:30,0,0,,0,0,,2,2,1.000,0,0,0,1,0,1,0,0,2,+3
Royce O'Neale,1:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Josh Okogie, 
Thaddeus Young, 
Nassir Little, 
David Roddy, 
Isaiah Thomas,Did Not Play
Team Totals,60,16,21,.762,4,4,1.000,3,4,.750,2,8,10,11,1,1,1,4,39,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,19:02,8,12,.667,1,2,.500,0,0,,0,4,4,2,0,0,0,0,17,+17
Devin Booker,18:30,7,12,.583,1,3,.333,1,1,1.000,1,4,5,5,0,0,0,1,16,+15
Bradley Beal,16:51,3,5,.600,0,2,.000,0,0,,0,1,1,7,0,0,1,1,6,+7
Grayson Allen,16:31,3,5,.600,0,0,,0,0,,0,2,2,1,0,0,1,1,6,+15
