,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,34:26,10,26,.385,1,7,.143,10,10,1.000,1,3,4,2,3,0,0,2,31,+5
Gradey Dick,33:39,6,13,.462,3,8,.375,2,2,1.000,0,2,2,2,0,1,0,3,17,-7
Kelly Olynyk,32:22,4,11,.364,0,1,.000,6,6,1.000,1,5,6,10,2,1,3,5,14,+3
Ochai Agbaji,32:02,6,12,.500,0,5,.000,0,3,.000,5,4,9,2,1,2,1,0,12,-2
Jahmi'us Ramsey,18:05,3,5,.600,2,4,.500,0,0,,0,4,4,1,0,0,0,2,8,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,32:30,5,13,.385,0,1,.000,1,3,.333,5,1,6,3,1,0,3,1,11,-6
Javon Freeman-Liberty,23:00,1,5,.200,0,2,.000,2,2,1.000,1,3,4,4,2,0,3,1,4,-7
Jordan Nwora,15:42,3,6,.500,1,3,.333,0,0,,0,2,2,1,0,1,2,2,7,-1
Garrett Temple,10:51,1,2,.500,1,2,.500,0,0,,0,5,5,2,0,1,0,3,3,0
Mouhamadou Gueye,7:23,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,1,2,-9
Chris Boucher,Not With Team
Jalen McDaniels,Did Not Play
Team Totals,240,40,94,.426,8,33,.242,21,26,.808,13,29,42,27,9,7,12,20,109,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,9:05,3,7,.429,0,2,.000,0,0,,1,2,3,0,0,0,0,1,6,-1
Gradey Dick,9:00,3,6,.500,2,4,.500,0,0,,0,0,0,0,0,0,0,0,8,+1
Kelly Olynyk,9:05,1,4,.250,0,0,,0,0,,1,2,3,3,1,0,1,0,2,-1
Ochai Agbaji,9:45,2,3,.667,0,1,.000,0,3,.000,1,1,2,0,0,1,0,0,4,-1
Jahmi'us Ramsey,5:10,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,6:50,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-3
Javon Freeman-Liberty,5:15,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,+4
Jordan Nwora,2:55,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,+3
Garrett Temple,2:55,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,+3
Mouhamadou Gueye, 
Chris Boucher,Not With Team
Jalen McDaniels,Did Not Play
Team Totals,60,11,26,.423,3,11,.273,0,3,.000,4,10,14,5,1,1,2,4,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,8:01,1,3,.333,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,4,-2
Gradey Dick,7:17,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,0,1,2,-2
Kelly Olynyk,6:40,1,2,.500,0,0,,0,0,,0,0,0,2,1,0,1,1,2,-9
Ochai Agbaji,6:40,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,4,-9
Jahmi'us Ramsey,2:55,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,9:53,1,3,.333,0,0,,0,0,,1,0,1,2,1,0,1,0,2,0
Javon Freeman-Liberty,5:47,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,1,1,0,-1
Jordan Nwora,7:27,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,1,0,2,-1
Garrett Temple,2:44,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,+2
Mouhamadou Gueye,2:36,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,+2
Chris Boucher,Not With Team
Jalen McDaniels,Did Not Play
Team Totals,60,10,21,.476,1,5,.200,2,2,1.000,1,5,6,8,3,1,5,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,17:06,4,10,.400,0,2,.000,2,2,1.000,1,3,4,0,0,0,0,2,10,-3
Gradey Dick,16:17,4,8,.500,2,5,.400,0,0,,0,0,0,2,0,0,0,1,10,-1
Kelly Olynyk,15:45,2,6,.333,0,0,,0,0,,1,2,3,5,2,0,2,1,4,-10
Ochai Agbaji,16:25,4,7,.571,0,2,.000,0,3,.000,1,1,2,0,0,1,1,0,8,-10
Jahmi'us Ramsey,8:05,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,16:43,1,4,.250,0,0,,0,0,,2,0,2,2,1,0,2,1,2,-3
Javon Freeman-Liberty,11:02,1,3,.333,0,2,.000,0,0,,0,2,2,2,1,0,1,1,2,+3
Jordan Nwora,10:22,2,4,.500,1,2,.500,0,0,,0,2,2,1,0,0,1,1,5,+2
Garrett Temple,5:39,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,2,3,+5
Mouhamadou Gueye,2:36,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,+2
Chris Boucher,Not With Team
Jalen McDaniels,Did Not Play
Team Totals,120,21,47,.447,4,16,.250,2,5,.400,5,15,20,13,4,2,7,9,48,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
