,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,29:58,5,12,.417,0,3,.000,2,3,.667,0,3,3,2,3,1,4,0,12,-17
Jalen Williams,29:04,8,15,.533,1,4,.250,1,2,.500,3,0,3,4,1,0,0,3,18,-17
Josh Giddey,28:42,7,12,.583,4,6,.667,1,1,1.000,0,9,9,8,0,0,1,2,19,-3
Chet Holmgren,25:28,1,10,.100,0,5,.000,4,4,1.000,1,3,4,0,0,0,1,1,6,-1
Luguentz Dort,22:19,2,8,.250,1,6,.167,2,2,1.000,0,3,3,0,0,0,0,2,7,-18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,24:22,2,9,.222,1,7,.143,0,0,,1,1,2,0,2,0,1,3,5,-9
Kenrich Williams,18:56,2,7,.286,0,3,.000,2,2,1.000,1,3,4,2,1,0,0,3,6,-16
Aaron Wiggins,18:02,2,3,.667,0,0,,4,5,.800,2,1,3,0,1,0,2,1,8,-8
Gordon Hayward,14:24,0,3,.000,0,1,.000,0,0,,1,1,2,3,0,0,1,0,0,-10
Jaylin Williams,8:09,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,1,0,-10
Isaiah Joe,8:08,2,5,.400,2,4,.500,0,0,,1,0,1,0,0,0,0,0,6,-13
Lindy Waters III,6:44,2,4,.500,1,3,.333,1,1,1.000,0,0,0,0,0,0,0,0,6,-2
Bismack Biyombo,5:24,0,0,,0,0,,0,2,.000,0,0,0,0,1,0,2,0,0,-1
Mike Muscala,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Olivier Sarr,Did Not Play
Team Totals,240,33,89,.371,10,43,.233,17,22,.773,10,27,37,20,9,1,12,16,93,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,2,4,.500,0,0,,1,1,1.000,0,0,0,1,1,1,2,0,5,-3
Jalen Williams,6:36,2,4,.500,0,2,.000,0,0,,0,0,0,2,0,0,0,1,4,+4
Josh Giddey,5:53,3,3,1.000,2,2,1.000,0,0,,0,2,2,2,0,0,0,1,8,+6
Chet Holmgren,5:53,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+6
Luguentz Dort,9:51,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,0,0,1,2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,1:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+2
Kenrich Williams,1:49,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Aaron Wiggins, 
Gordon Hayward,6:07,0,3,.000,0,1,.000,0,0,,1,1,2,1,0,0,1,0,0,-9
Jaylin Williams,3:58,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-11
Isaiah Joe,5:24,1,3,.333,1,2,.500,0,0,,1,0,1,0,0,0,0,0,3,-7
Lindy Waters III,0:20,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Bismack Biyombo, 
Mike Muscala,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Olivier Sarr,Did Not Play
Team Totals,60,9,25,.360,3,12,.250,1,1,1.000,2,9,11,6,1,1,3,4,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,5:58,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,1,0,2,+3
Jalen Williams,9:53,4,8,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,1,9,-1
Josh Giddey,9:08,3,5,.600,1,2,.500,0,0,,0,4,4,3,0,0,0,0,7,+7
Chet Holmgren,8:36,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,+4
Luguentz Dort,5:58,1,2,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,0,5,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,8:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
