,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,32:19,6,14,.429,2,6,.333,1,1,1.000,1,2,3,3,1,0,3,2,15,-23
Santi Aldama,31:04,2,4,.500,1,3,.333,0,0,,2,7,9,3,1,4,1,1,5,-17
GG Jackson II,30:26,6,15,.400,2,8,.250,1,1,1.000,1,2,3,2,1,0,1,0,15,-17
Jaren Jackson Jr.,26:20,4,18,.222,1,7,.143,2,4,.500,3,1,4,5,2,4,1,4,11,-22
Scotty Pippen Jr.,26:13,5,9,.556,3,6,.500,4,4,1.000,1,1,2,4,0,0,5,3,17,-17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lamar Stevens,22:56,6,10,.600,0,1,.000,7,7,1.000,1,2,3,2,1,0,0,1,19,-5
Jake LaRavia,22:54,1,9,.111,0,7,.000,1,4,.250,0,2,2,2,1,0,0,2,3,-18
Trey Jemison,21:40,3,5,.600,0,0,,2,2,1.000,3,2,5,1,1,1,2,1,8,-3
DeJon Jarreau,20:13,2,6,.333,1,4,.250,0,3,.000,2,2,4,3,0,0,1,1,5,-6
Mãozinha Pereira,5:55,2,4,.500,1,2,.500,0,1,.000,3,2,5,0,1,0,0,0,5,+3
Vince Williams Jr.,Did Not Play
Ziaire Williams,Did Not Play
Team Totals,240,37,94,.394,11,44,.250,18,27,.667,17,23,40,25,9,9,14,15,103,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,8:02,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,3,2,2,-13
Santi Aldama,8:02,1,1,1.000,1,1,1.000,0,0,,1,0,1,1,1,1,0,0,3,-13
GG Jackson II,12:00,1,6,.167,0,3,.000,0,0,,1,1,2,1,0,0,1,0,2,-15
Jaren Jackson Jr.,4:20,0,3,.000,0,1,.000,1,2,.500,0,1,1,0,0,1,0,2,1,-9
Scotty Pippen Jr.,6:28,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,2,2,5,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
