,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,34:30,10,16,.625,5,7,.714,4,6,.667,0,3,3,2,0,0,2,3,29,-15
Tobias Harris,25:42,5,15,.333,0,2,.000,2,2,1.000,0,8,8,0,0,0,2,2,12,-13
Kyle Lowry,25:23,1,4,.250,1,4,.250,0,0,,1,1,2,1,1,0,2,3,3,-22
Nicolas Batum,20:59,0,3,.000,0,2,.000,0,0,,2,1,3,0,0,0,1,0,0,-11
Mo Bamba,12:09,1,3,.333,0,1,.000,3,3,1.000,5,1,6,0,0,0,0,4,5,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Buddy Hield,32:05,3,9,.333,0,6,.000,1,1,1.000,1,4,5,3,0,0,0,0,7,-2
Cameron Payne,24:43,3,10,.300,2,5,.400,0,0,,1,2,3,6,0,0,2,4,8,-6
Paul Reed,22:33,3,5,.600,0,0,,2,2,1.000,1,7,8,2,1,1,4,2,8,-3
KJ Martin,18:59,2,6,.333,0,2,.000,0,0,,2,3,5,1,0,1,2,5,4,+6
D.J. Wilson,13:57,4,6,.667,2,2,1.000,0,0,,1,1,2,2,0,2,0,1,10,+4
Ricky Council IV,9:00,2,5,.400,1,3,.333,5,6,.833,1,1,2,1,0,0,0,1,10,+4
Kelly Oubre Jr.,Did Not Dress
Team Totals,240,34,82,.415,11,34,.324,17,20,.850,15,32,47,18,2,4,15,25,96,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,12:00,7,11,.636,4,6,.667,3,4,.750,0,0,0,0,0,0,0,1,21,-6
Tobias Harris,6:11,0,5,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,0,0,-13
Kyle Lowry,4:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-8
Nicolas Batum,8:01,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+1
Mo Bamba,2:20,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Buddy Hield,7:37,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,+2
Cameron Payne,3:59,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-7
Paul Reed,7:52,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,0,2,+3
KJ Martin,6:23,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,3,0,+8
D.J. Wilson, 
Ricky Council IV,1:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Kelly Oubre Jr.,Did Not Dress
Team Totals,60,9,23,.391,4,11,.364,3,4,.750,3,6,9,3,0,0,1,7,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,6:51,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,2,5,-10
Tobias Harris,7:21,2,4,.500,0,0,,2,2,1.000,0,3,3,0,0,0,2,2,6,-1
Kyle Lowry,9:48,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,1,0,-1
Nicolas Batum,8:18,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,0,0,-10
