,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,37:00,5,15,.333,3,12,.250,0,0,,1,2,3,4,0,0,7,0,13,+7
Dennis Schröder,36:37,7,15,.467,1,7,.143,4,4,1.000,2,3,5,7,0,0,3,2,19,+8
Nic Claxton,35:15,4,5,.800,0,0,,1,2,.500,5,11,16,2,0,1,3,4,9,+14
Jalen Wilson,30:22,4,10,.400,1,4,.250,3,3,1.000,1,4,5,2,0,0,0,0,12,+8
Dorian Finney-Smith,30:20,4,6,.667,1,3,.333,2,2,1.000,3,2,5,3,1,1,0,0,11,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trendon Watford,20:57,7,10,.700,2,4,.500,3,5,.600,2,5,7,0,0,0,4,5,19,+2
Noah Clowney,20:52,3,7,.429,1,3,.333,0,2,.000,1,5,6,0,1,1,1,0,7,+7
Jacob Gilyard,11:23,0,2,.000,0,2,.000,0,0,,0,0,0,1,1,0,0,2,0,0
Lonnie Walker IV,9:21,0,6,.000,0,4,.000,0,0,,0,0,0,0,0,0,0,1,0,-7
Day'Ron Sharpe,7:53,3,5,.600,0,0,,0,0,,1,2,3,1,0,1,0,2,6,-6
Keon Johnson,Did Not Play
Cam Thomas,Did Not Dress
Team Totals,240,37,81,.457,9,39,.231,13,18,.722,16,34,50,20,3,4,18,16,96,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,9:58,2,5,.400,1,4,.250,0,0,,0,0,0,2,0,0,2,0,5,+1
Dennis Schröder,7:51,1,3,.333,0,1,.000,0,0,,0,0,0,3,0,0,1,0,2,+1
Nic Claxton,7:51,0,0,,0,0,,1,2,.500,1,5,6,0,0,1,1,0,1,+1
Jalen Wilson,5:32,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+2
Dorian Finney-Smith,7:24,3,3,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,7,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trendon Watford,3:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Noah Clowney,3:03,0,0,,0,0,,0,0,,0,2,2,0,1,0,0,0,0,+1
Jacob Gilyard,4:09,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,2,0,+1
Lonnie Walker IV,6:28,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,0
Day'Ron Sharpe,4:09,2,4,.500,0,0,,0,0,,1,1,2,0,0,1,0,1,4,+1
Keon Johnson,Did Not Play
Cam Thomas,Did Not Dress
Team Totals,60,9,21,.429,3,10,.300,1,2,.500,2,10,12,6,2,2,4,5,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,7:35,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0,0,-3
Dennis Schröder,12:00,3,5,.600,1,3,.333,0,0,,1,2,3,3,0,0,1,1,7,+2
Nic Claxton,12:00,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,1,1,2,+2
Jalen Wilson,10:43,1,3,.333,0,1,.000,1,1,1.000,0,1,1,2,0,0,0,0,3,+4
Dorian Finney-Smith,5:05,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trendon Watford,5:42,4,6,.667,1,2,.500,2,3,.667,1,2,3,0,0,0,1,1,11,+3
Noah Clowney,6:55,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,1,0,4,+8
Jacob Gilyard, 
Lonnie Walker IV, 
Day'Ron Sharpe, 
Keon Johnson,Did Not Play
Cam Thomas,Did Not Dress
Team Totals,60,11,20,.550,2,8,.250,3,4,.750,3,10,13,7,0,0,6,3,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
