,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,41:11,10,24,.417,2,11,.182,7,8,.875,2,10,12,13,1,1,4,3,29,+10
Kyrie Irving,35:53,10,21,.476,4,9,.444,3,3,1.000,0,3,3,5,0,0,2,2,27,+9
P.J. Washington,35:07,6,12,.500,2,6,.333,2,2,1.000,3,1,4,1,1,0,0,2,16,+6
Daniel Gafford,27:17,6,7,.857,0,0,,1,2,.500,4,7,11,5,2,5,0,2,13,+15
Derrick Jones Jr.,17:55,2,3,.667,0,1,.000,2,3,.667,0,1,1,0,1,0,0,1,6,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,28:38,5,14,.357,3,9,.333,0,0,,0,2,2,4,3,0,0,2,13,+8
Dereck Lively II,18:20,3,3,1.000,0,0,,0,0,,0,9,9,0,1,0,0,1,6,-3
Dante Exum,15:30,1,2,.500,1,2,.500,0,0,,0,1,1,3,0,0,0,2,3,+10
Maxi Kleber,15:29,1,4,.250,0,3,.000,0,0,,1,2,3,0,0,1,0,1,2,-2
Jaden Hardy,3:04,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,+2
A.J. Lawson,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Dwight Powell,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Markieff Morris,Did Not Play
Team Totals,240,44,92,.478,12,42,.286,15,18,.833,10,37,47,31,9,7,6,17,115,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,8:48,2,7,.286,0,4,.000,2,2,1.000,0,3,3,3,0,0,2,1,6,-5
Kyrie Irving,9:00,3,5,.600,0,1,.000,1,1,1.000,0,1,1,3,0,0,1,1,7,-1
P.J. Washington,8:48,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-5
Daniel Gafford,6:37,3,3,1.000,0,0,,0,0,,0,1,1,2,1,1,0,1,6,-1
Derrick Jones Jr.,4:21,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,6:12,4,5,.800,3,3,1.000,0,0,,0,0,0,0,0,0,0,1,11,-2
Dereck Lively II,5:23,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-3
Dante Exum,5:23,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,0,0,1,3,-3
Maxi Kleber,3:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Jaden Hardy,2:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+2
A.J. Lawson, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,60,15,24,.625,4,10,.400,3,3,1.000,1,8,9,11,1,1,3,7,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,10:24,1,5,.200,0,1,.000,1,2,.500,0,3,3,7,1,0,1,1,3,-2
Kyrie Irving,8:02,2,6,.333,0,2,.000,0,0,,0,1,1,2,0,0,0,0,4,+2
P.J. Washington,9:28,2,5,.400,0,2,.000,2,2,1.000,1,1,2,0,0,0,0,0,6,-2
Daniel Gafford,4:53,2,2,1.000,0,0,,0,0,,1,1,2,0,0,2,0,1,4,-2
Derrick Jones Jr.,5:34,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,1,1,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,4:53,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-2
Dereck Lively II,7:07,2,2,1.000,0,0,,0,0,,0,4,4,0,0,0,0,0,4,+1
Dante Exum,2:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Maxi Kleber,7:07,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,1,0,0,0,+1
Jaden Hardy, 
A.J. Lawson, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,60,10,23,.435,0,6,.000,4,6,.667,3,11,14,9,2,3,1,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,19:12,3,12,.250,0,5,.000,3,4,.750,0,6,6,10,1,0,3,2,9,-7
Kyrie Irving,17:02,5,11,.455,0,3,.000,1,1,1.000,0,2,2,5,0,0,1,1,11,+1
P.J. Washington,18:16,3,6,.500,0,2,.000,2,2,1.000,2,1,3,0,0,0,0,1,8,-7
Daniel Gafford,11:30,5,5,1.000,0,0,,0,0,,1,2,3,2,1,3,0,2,10,-3
Derrick Jones Jr.,9:55,1,1,1.000,0,0,,1,2,.500,0,1,1,0,1,0,0,1,3,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,11:05,5,7,.714,3,3,1.000,0,0,,0,0,0,0,0,0,0,2,13,-4
Dereck Lively II,12:30,2,2,1.000,0,0,,0,0,,0,6,6,0,0,0,0,0,4,-2
Dante Exum,7:55,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,0,0,1,3,-2
Maxi Kleber,10:19,0,2,.000,0,2,.000,0,0,,1,1,2,0,0,1,0,0,0,+2
Jaden Hardy,2:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+2
A.J. Lawson, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,120,25,47,.532,4,16,.250,7,9,.778,4,19,23,20,3,4,4,11,61,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,10:47,3,5,.600,2,4,.500,2,2,1.000,1,1,2,1,0,1,1,1,10,+7
Kyrie Irving,9:38,3,5,.600,3,3,1.000,0,0,,0,0,0,0,0,0,1,0,9,+5
P.J. Washington,5:39,1,3,.333,0,2,.000,0,0,,1,0,1,1,1,0,0,1,2,+3
Daniel Gafford,6:10,0,0,,0,0,,1,2,.500,0,3,3,2,0,1,0,0,1,+6
Derrick Jones Jr.,7:12,1,2,.500,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,3,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,6:21,0,3,.000,0,3,.000,0,0,,0,2,2,2,0,0,0,0,0,+2
Dereck Lively II,5:50,1,1,1.000,0,0,,0,0,,0,3,3,0,1,0,0,1,2,-1
Dante Exum,4:48,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,+5
Maxi Kleber,3:35,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-2
Jaden Hardy, 
A.J. Lawson, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,60,9,21,.429,5,15,.333,4,5,.800,2,11,13,6,2,2,2,5,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
