,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,34:30,10,19,.526,4,9,.444,0,1,.000,0,3,3,8,2,0,1,4,24,+28
P.J. Washington,32:20,5,11,.455,4,6,.667,0,2,.000,1,12,13,2,0,0,0,2,14,+25
Luka Dončić,31:41,10,18,.556,4,8,.500,4,5,.800,1,10,11,6,2,0,4,4,28,+18
Daniel Gafford,21:51,5,7,.714,0,0,,0,0,,2,2,4,3,1,0,1,4,10,+21
Derrick Jones Jr.,21:14,2,5,.400,2,4,.500,2,2,1.000,0,4,4,3,1,1,0,0,8,+25
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,26:15,8,14,.571,4,6,.667,2,3,.667,1,2,3,6,1,1,0,2,22,+19
Dante Exum,21:58,2,4,.500,2,3,.667,0,0,,0,2,2,4,1,0,1,1,6,+14
Dereck Lively II,21:58,2,5,.400,0,0,,0,0,,0,7,7,1,1,2,0,1,4,+10
Maxi Kleber,10:58,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,+2
A.J. Lawson,5:29,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,6,+7
Jaden Hardy,4:11,3,4,.750,1,2,.500,0,0,,0,0,0,0,0,0,1,0,7,+5
Dwight Powell,4:11,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+5
Markieff Morris,3:24,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+1
Josh Green,Did Not Play
Team Totals,240,51,92,.554,22,39,.564,8,13,.615,5,45,50,34,10,4,9,18,132,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,8:24,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,1,4,-1
P.J. Washington,8:37,3,4,.750,3,3,1.000,0,0,,0,3,3,0,0,0,0,0,9,0
Luka Dončić,8:37,3,5,.600,1,1,1.000,0,0,,0,3,3,4,1,0,0,1,7,0
Daniel Gafford,3:50,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,2,2,-4
Derrick Jones Jr.,5:59,0,1,.000,0,0,,0,0,,0,0,0,2,0,1,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,6:49,2,3,.667,1,1,1.000,2,3,.667,0,0,0,0,0,0,0,0,7,+7
Dante Exum,5:24,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+4
Dereck Lively II,8:10,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,0,1,2,+7
Maxi Kleber,4:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
A.J. Lawson, 
Jaden Hardy, 
Dwight Powell, 
Markieff Morris, 
Josh Green,Did Not Play
Team Totals,60,12,22,.545,5,7,.714,2,3,.667,1,10,11,8,1,1,2,5,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,8:41,1,3,.333,0,1,.000,0,0,,0,1,1,1,1,0,0,1,2,+4
P.J. Washington,9:19,0,2,.000,0,0,,0,2,.000,1,3,4,0,0,0,0,1,0,-1
