,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rayan Rupert,38:47,2,6,.333,1,3,.333,2,2,1.000,0,6,6,5,0,1,1,4,7,-2
Scoot Henderson,32:10,6,16,.375,2,5,.400,1,1,1.000,0,2,2,6,2,0,6,4,15,-12
Toumani Camara,30:17,7,9,.778,3,4,.750,0,0,,1,3,4,2,1,0,2,2,17,0
Duop Reath,30:13,6,12,.500,1,5,.200,0,0,,1,4,5,5,1,0,1,3,13,-16
Kris Murray,21:48,0,3,.000,0,1,.000,0,0,,1,2,3,4,1,0,1,0,0,-18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,36:46,13,23,.565,5,11,.455,0,0,,1,4,5,9,2,0,4,0,31,-15
Jabari Walker,18:44,2,5,.400,0,0,,0,0,,1,3,4,1,0,0,0,3,4,-8
Ashton Hagans,15:50,3,5,.600,2,2,1.000,2,2,1.000,0,2,2,3,0,0,3,1,10,-2
Moses Brown,12:19,3,5,.600,0,0,,1,5,.200,1,0,1,0,1,1,0,1,7,-5
Justin Minaya,1:33,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+4
Ibou Badji,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
Matisse Thybulle,Did Not Dress
Team Totals,240,43,85,.506,14,31,.452,6,10,.600,6,27,33,35,8,2,18,18,106,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rayan Rupert,9:48,1,1,1.000,1,1,1.000,2,2,1.000,0,3,3,3,0,0,0,0,5,+7
Scoot Henderson,8:54,0,3,.000,0,1,.000,0,0,,0,1,1,1,1,0,4,2,0,0
Toumani Camara,9:26,5,5,1.000,2,2,1.000,0,0,,1,2,3,0,0,0,0,0,12,0
Duop Reath,8:54,2,5,.400,0,1,.000,0,0,,1,1,2,2,0,0,0,1,4,0
Kris Murray,8:54,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,1,0,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,4:46,1,3,.333,1,3,.333,0,0,,0,1,1,2,1,0,0,0,3,-1
Jabari Walker,3:06,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+3
Ashton Hagans,3:06,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+3
Moses Brown,3:06,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+3
Justin Minaya, 
Ibou Badji, 
Matisse Thybulle,Did Not Dress
Team Totals,60,11,23,.478,5,9,.556,2,2,1.000,2,10,12,10,2,1,5,3,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rayan Rupert,4:59,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-2
Scoot Henderson,5:56,2,4,.500,1,1,1.000,1,1,1.000,0,0,0,3,1,0,1,1,6,-4
Toumani Camara,10:05,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3
Duop Reath,6:43,2,3,.667,0,1,.000,0,0,,0,2,2,0,0,0,1,1,4,-8
Kris Murray,7:01,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dalano Banton,12:00,5,7,.714,2,3,.667,0,0,,0,0,0,2,1,0,2,0,12,-10
Jabari Walker,1:55,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-7
Ashton Hagans,6:04,0,2,.000,0,0,,0,0,,0,0,0,2,0,0,2,1,0,-6
Moses Brown,5:17,2,2,1.000,0,0,,1,3,.333,1,0,1,0,1,0,0,1,5,-2
Justin Minaya, 
