,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,33:49,7,12,.583,3,5,.600,1,2,.500,1,4,5,2,2,0,1,3,18,-15
Tyrese Haliburton,31:04,4,15,.267,3,11,.273,2,3,.667,2,2,4,5,0,0,2,2,13,-7
Pascal Siakam,30:16,2,7,.286,1,1,1.000,9,11,.818,2,6,8,5,0,0,1,3,14,-5
Aaron Nesmith,27:29,2,11,.182,2,9,.222,0,0,,0,5,5,3,0,0,1,4,6,-7
Myles Turner,24:42,4,10,.400,2,5,.400,2,2,1.000,1,3,4,0,0,1,1,0,12,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. McConnell,17:56,5,9,.556,0,1,.000,2,2,1.000,0,1,1,4,0,0,1,1,12,-18
Jalen Smith,12:11,2,5,.400,1,3,.333,0,0,,2,2,4,0,0,0,1,4,5,-20
Ben Sheppard,11:12,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-13
Obi Toppin,11:06,2,2,1.000,0,0,,1,1,1.000,0,1,1,2,1,1,1,1,5,-15
Jarace Walker,10:46,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,2,0,0,-10
Doug McDermott,10:25,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,1,3,-10
Isaiah Jackson,8:10,3,3,1.000,0,0,,0,0,,3,3,6,0,0,2,1,2,6,-5
Kendall Brown,5:27,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,1,3,-3
James Johnson,5:27,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,-3
Team Totals,240,34,85,.400,13,42,.310,18,23,.783,12,28,40,25,3,4,13,23,99,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,6:41,2,3,.667,1,1,1.000,0,0,,0,2,2,0,0,0,1,1,5,+2
Tyrese Haliburton,9:39,2,5,.400,2,4,.500,0,1,.000,0,0,0,1,0,0,0,1,6,-2
Pascal Siakam,7:59,0,3,.000,0,0,,4,4,1.000,2,2,4,2,0,0,0,0,4,+2
Aaron Nesmith,7:49,0,3,.000,0,3,.000,0,0,,0,2,2,2,0,0,0,1,0,+2
Myles Turner,9:20,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,1,1,0,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. McConnell,5:19,3,4,.750,0,0,,0,0,,0,0,0,0,0,0,0,0,6,-6
Jalen Smith,2:40,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,0
Ben Sheppard,4:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
Obi Toppin,4:01,0,0,,0,0,,0,0,,0,1,1,1,1,1,0,0,0,-6
Jarace Walker,2:21,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
Doug McDermott, 
Isaiah Jackson, 
Kendall Brown, 
James Johnson, 
Team Totals,60,8,23,.348,3,10,.300,4,5,.800,3,9,12,7,1,2,2,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,10:37,2,5,.400,1,3,.333,1,2,.500,0,0,0,0,0,0,0,1,6,-17
Tyrese Haliburton,7:46,0,2,.000,0,1,.000,1,1,1.000,1,0,1,1,0,0,1,0,1,-14
Pascal Siakam,9:21,1,1,1.000,1,1,1.000,1,2,.500,0,0,0,1,0,0,0,0,4,-17
Aaron Nesmith,6:30,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-14
Myles Turner,5:59,1,2,.500,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,0,5,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. McConnell,4:14,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,1,2,-3
Jalen Smith,4:29,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,-11
Ben Sheppard,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Obi Toppin,2:39,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0
Jarace Walker,2:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-3
Doug McDermott,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Isaiah Jackson,1:32,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,+1
Kendall Brown, 
James Johnson, 
Team Totals,60,6,17,.353,3,9,.333,5,7,.714,2,4,6,4,0,0,4,5,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,17:18,4,8,.500,2,4,.500,1,2,.500,0,2,2,0,0,0,1,2,11,-15
Tyrese Haliburton,17:25,2,7,.286,2,5,.400,1,2,.500,1,0,1,2,0,0,1,1,7,-16
Pascal Siakam,17:20,1,4,.250,1,1,1.000,5,6,.833,2,2,4,3,0,0,0,0,8,-15
Aaron Nesmith,14:19,0,6,.000,0,5,.000,0,0,,0,3,3,2,0,0,0,2,0,-12
Myles Turner,15:19,2,5,.400,1,2,.500,2,2,1.000,0,1,1,0,0,1,1,0,7,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. McConnell,9:33,4,6,.667,0,0,,0,0,,0,0,0,2,0,0,0,1,8,-9
Jalen Smith,7:09,0,2,.000,0,1,.000,0,0,,2,2,4,0,0,0,0,1,0,-11
Ben Sheppard,5:42,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
Obi Toppin,6:40,1,1,1.000,0,0,,0,0,,0,1,1,1,1,1,0,1,2,-6
Jarace Walker,5:04,0,0,,0,0,,0,0,,0,1,1,1,0,0,2,0,0,-5
Doug McDermott,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Isaiah Jackson,1:32,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,+1
Kendall Brown, 
James Johnson, 
Team Totals,120,14,40,.350,6,19,.316,9,12,.750,5,13,18,11,1,2,6,10,43,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,9:58,3,4,.750,1,1,1.000,0,0,,1,2,3,2,1,0,0,0,7,+10
Tyrese Haliburton,10:44,2,4,.500,1,3,.333,1,1,1.000,0,2,2,2,0,0,0,1,6,+12
Pascal Siakam,8:22,0,2,.000,0,0,,4,4,1.000,0,3,3,1,0,0,0,2,4,+14
Aaron Nesmith,9:02,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,1,0,+10
Myles Turner,7:46,1,4,.250,0,2,.000,0,0,,1,2,3,0,0,0,0,0,2,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. McConnell,5:00,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,-4
Jalen Smith,4:14,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,3,5,-6
Ben Sheppard,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Obi Toppin,3:38,1,1,1.000,0,0,,1,1,1.000,0,0,0,1,0,0,1,0,3,-6
Jarace Walker, 
Doug McDermott,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Isaiah Jackson, 
Kendall Brown, 
James Johnson, 
Team Totals,60,10,21,.476,3,8,.375,8,8,1.000,2,12,14,7,1,0,3,8,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,6:33,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-10
Tyrese Haliburton,2:55,0,4,.000,0,3,.000,0,0,,1,0,1,1,0,0,1,0,0,-3
Pascal Siakam,4:34,1,1,1.000,0,0,,0,1,.000,0,1,1,1,0,0,1,1,2,-4
Aaron Nesmith,4:08,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,1,6,-5
Myles Turner,1:37,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. McConnell,3:23,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,0,0,-5
Jalen Smith,0:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Ben Sheppard,5:22,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-7
Obi Toppin,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Jarace Walker,5:42,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-5
Doug McDermott,6:38,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,0,3,-6
Isaiah Jackson,6:38,3,3,1.000,0,0,,0,0,,3,2,5,0,0,2,0,1,6,-6
Kendall Brown,5:27,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,1,3,-3
James Johnson,5:27,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,-3
Team Totals,60,10,24,.417,4,15,.267,1,3,.333,5,3,8,7,1,2,4,5,25,
,Basic Box Score Stats
