,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rui Hachimura,35:37,11,14,.786,7,8,.875,3,4,.750,0,10,10,1,0,2,0,1,32,+35
Austin Reaves,35:03,4,12,.333,0,4,.000,5,5,1.000,1,1,2,11,0,0,2,1,13,+31
LeBron James,34:45,8,14,.571,0,1,.000,7,11,.636,0,14,14,12,1,0,4,1,23,+33
Jaxson Hayes,30:30,6,7,.857,0,0,,2,2,1.000,1,6,7,1,1,1,1,5,14,+6
D'Angelo Russell,29:09,7,16,.438,5,9,.556,4,4,1.000,1,1,2,4,1,0,4,5,23,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,25:22,4,7,.571,3,4,.750,3,3,1.000,1,6,7,1,1,1,2,2,14,-11
Taurean Prince,23:26,4,5,.800,3,4,.750,4,6,.667,0,1,1,1,0,0,2,4,15,-3
Cam Reddish,10:11,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-17
Max Christie,6:52,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+3
Harry Giles,5:08,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-12
Colin Castleton,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Maxwell Lewis,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Skylar Mays,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,45,81,.556,18,33,.545,28,35,.800,4,39,43,31,5,4,15,19,136,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rui Hachimura,6:38,2,3,.667,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,6,+6
Austin Reaves,9:26,1,1,1.000,0,0,,1,1,1.000,0,0,0,5,0,0,1,1,3,+9
LeBron James,7:48,3,3,1.000,0,0,,0,1,.000,0,3,3,1,0,0,3,0,6,+7
Jaxson Hayes,10:45,3,3,1.000,0,0,,2,2,1.000,0,2,2,0,1,0,0,1,8,+7
D'Angelo Russell,9:12,2,5,.400,1,3,.333,0,0,,1,0,1,2,0,0,1,0,5,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,5:22,2,3,.667,1,1,1.000,3,3,1.000,0,3,3,0,0,1,0,0,8,-5
Taurean Prince,5:22,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,1,1,-5
Cam Reddish,4:12,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Max Christie, 
Harry Giles,1:15,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-6
Colin Castleton, 
Maxwell Lewis, 
Skylar Mays, 
Team Totals,60,13,20,.650,2,6,.333,9,11,.818,1,10,11,8,2,1,6,3,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rui Hachimura,9:26,4,5,.800,2,2,1.000,0,0,,0,2,2,0,0,0,0,0,10,+11
Austin Reaves,6:27,1,4,.250,0,2,.000,2,2,1.000,0,1,1,1,0,0,1,0,4,+2
LeBron James,9:32,3,3,1.000,0,0,,1,2,.500,0,4,4,4,0,0,0,0,7,+4
Jaxson Hayes,6:27,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,1,2,+2
D'Angelo Russell,5:33,2,4,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,6:27,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+2
Taurean Prince,5:33,1,1,1.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,4,+5
Cam Reddish,2:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+3
