,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,32:59,2,11,.182,1,6,.167,2,2,1.000,0,4,4,5,1,0,1,4,7,-5
Chimezie Metu,32:22,3,8,.375,1,3,.333,1,1,1.000,2,5,7,2,2,1,2,4,8,-13
Tosan Evbuomwan,29:11,1,3,.333,1,3,.333,0,2,.000,1,3,4,0,0,0,0,1,3,-9
Cade Cunningham,28:41,11,23,.478,3,8,.375,7,8,.875,0,1,1,2,1,0,1,0,32,-6
Jalen Duren,25:17,4,6,.667,0,0,,3,4,.750,3,8,11,4,0,0,3,1,11,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,30:21,2,8,.250,1,4,.250,0,0,,1,2,3,2,2,0,1,0,5,-10
James Wiseman,22:43,2,4,.500,0,0,,7,8,.875,0,4,4,0,0,0,1,1,11,-15
Malachi Flynn,19:19,6,9,.667,2,3,.667,0,0,,2,3,5,0,0,0,2,2,14,-9
Evan Fournier,15:01,0,6,.000,0,4,.000,0,0,,0,0,0,0,3,0,1,1,0,-10
Buddy Boeheim,2:10,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+2
Jared Rhoden,1:56,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
Jaden Ivey,Did Not Play
Stanley Umude,Did Not Play
Team Totals,240,31,81,.383,9,32,.281,20,25,.800,10,31,41,15,9,1,12,14,91,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,8:41,0,2,.000,0,0,,0,0,,0,1,1,1,1,0,0,2,0,-7
Chimezie Metu,8:41,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-7
Tosan Evbuomwan,12:00,1,1,1.000,1,1,1.000,0,2,.000,1,0,1,0,0,0,0,1,3,-5
Cade Cunningham,8:41,5,8,.625,2,3,.667,0,0,,0,0,0,1,0,0,1,0,12,-7
Jalen Duren,6:48,2,2,1.000,0,0,,1,2,.500,0,1,1,3,0,0,1,0,5,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,3:19,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,+2
James Wiseman,5:12,1,2,.500,0,0,,1,2,.500,0,2,2,0,0,0,0,0,3,-2
Malachi Flynn,3:19,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+2
Evan Fournier,3:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2
Buddy Boeheim, 
Jared Rhoden, 
Jaden Ivey,Did Not Play
Stanley Umude,Did Not Play
Team Totals,60,10,19,.526,3,5,.600,2,6,.333,1,7,8,7,1,0,3,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,6:04,1,3,.333,1,3,.333,0,0,,0,1,1,2,0,0,0,0,3,+4
Chimezie Metu,6:49,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,1,0,-3
Tosan Evbuomwan,5:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+6
Cade Cunningham,6:04,1,5,.200,0,2,.000,1,2,.500,0,1,1,0,0,0,0,0,3,+4
Jalen Duren,6:04,1,2,.500,0,0,,2,2,1.000,1,3,4,0,0,0,0,0,4,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,12:00,1,4,.250,1,3,.333,0,0,,0,0,0,1,1,0,1,0,3,+3
James Wiseman,5:56,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,-1
Malachi Flynn,5:56,2,3,.667,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,5,-1
Evan Fournier,5:56,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-1
Buddy Boeheim, 
Jared Rhoden, 
Jaden Ivey,Did Not Play
Stanley Umude,Did Not Play
Team Totals,60,7,22,.318,3,11,.273,3,4,.750,1,12,13,3,2,1,1,1,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,14:45,1,5,.200,1,3,.333,0,0,,0,2,2,3,1,0,0,2,3,-3
Chimezie Metu,15:30,0,3,.000,0,1,.000,0,0,,0,3,3,1,0,1,1,1,0,-10
Tosan Evbuomwan,17:11,1,1,1.000,1,1,1.000,0,2,.000,1,1,2,0,0,0,0,1,3,+1
Cade Cunningham,14:45,6,13,.462,2,5,.400,1,2,.500,0,1,1,1,0,0,1,0,15,-3
Jalen Duren,12:52,3,4,.750,0,0,,3,4,.750,1,4,5,3,0,0,1,0,9,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,15:19,1,5,.200,1,3,.333,0,0,,0,2,2,2,1,0,1,0,3,+5
James Wiseman,11:08,2,4,.500,0,0,,1,2,.500,0,4,4,0,0,0,0,0,5,-3
Malachi Flynn,9:15,3,4,.750,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,7,+1
Evan Fournier,9:15,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,+1
Buddy Boeheim, 
Jared Rhoden, 
Jaden Ivey,Did Not Play
Stanley Umude,Did Not Play
Team Totals,120,17,41,.415,6,16,.375,5,10,.500,2,19,21,10,3,1,4,4,45,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,8:09,1,2,.500,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,0,4,+2
Chimezie Metu,7:02,2,3,.667,0,0,,1,1,1.000,1,1,2,0,1,0,0,1,5,+2
Tosan Evbuomwan,12:00,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,0,0,-10
Cade Cunningham,8:33,3,7,.429,0,2,.000,4,4,1.000,0,0,0,0,1,0,0,0,10,0
Jalen Duren,7:02,0,1,.000,0,0,,0,0,,1,4,5,1,0,0,2,1,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Troy Brown Jr.,4:58,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-12
James Wiseman,4:58,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,-12
