,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Wiggins,35:09,8,17,.471,3,6,.500,4,5,.800,0,6,6,1,0,2,3,2,23,+12
Stephen Curry,35:01,6,18,.333,3,8,.375,2,2,1.000,0,4,4,10,0,0,2,2,17,+18
Trayce Jackson-Davis,33:14,4,8,.500,0,1,.000,0,0,,5,9,14,3,1,1,0,1,8,+5
Klay Thompson,32:16,6,13,.462,3,8,.375,0,0,,0,0,0,2,0,0,3,2,15,+5
Draymond Green,3:36,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,1,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moses Moody,23:35,4,9,.444,0,4,.000,4,4,1.000,2,3,5,3,0,0,1,4,12,+7
Brandin Podziemski,21:29,3,10,.300,0,2,.000,0,0,,4,5,9,1,1,0,0,2,6,+10
Gary Payton II,18:40,5,5,1.000,0,0,,0,0,,0,1,1,1,3,1,1,1,10,+4
Chris Paul,16:40,1,5,.200,0,2,.000,1,2,.500,0,3,3,4,0,0,1,0,3,-6
Kevon Looney,14:46,2,2,1.000,0,0,,0,0,,1,6,7,0,0,1,0,2,4,+3
Gui Santos,5:33,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,-16
Lester Quinones,Did Not Play
Jerome Robinson,Did Not Play
Dario Šarić,Did Not Play
Team Totals,240,40,90,.444,10,34,.294,11,13,.846,12,40,52,26,5,5,12,18,101,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Wiggins,6:54,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,5,+7
Stephen Curry,8:19,0,3,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,2,0,+12
Trayce Jackson-Davis,6:38,2,3,.667,0,0,,0,0,,1,4,5,0,0,0,0,0,4,+7
Klay Thompson,10:00,3,5,.600,1,3,.333,0,0,,0,0,0,1,0,0,1,1,7,+10
Draymond Green,3:36,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,1,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moses Moody,8:24,1,3,.333,0,1,.000,3,3,1.000,0,1,1,2,0,0,0,2,5,+18
Brandin Podziemski,7:06,3,4,.750,0,0,,0,0,,2,4,6,0,1,0,0,0,6,+15
Gary Payton II, 
Chris Paul,3:41,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+4
Kevon Looney,5:22,0,0,,0,0,,0,0,,0,5,5,0,0,1,0,1,0,+9
Gui Santos, 
Lester Quinones,Did Not Play
Jerome Robinson,Did Not Play
Dario Šarić,Did Not Play
Team Totals,60,11,23,.478,2,8,.250,3,3,1.000,3,19,22,7,1,1,4,8,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Wiggins,10:06,1,5,.200,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-4
Stephen Curry,9:10,2,6,.333,0,2,.000,2,2,1.000,0,1,1,3,0,0,1,0,6,+2
Trayce Jackson-Davis,7:57,0,2,.000,0,1,.000,0,0,,1,2,3,1,0,0,0,0,0,-10
Klay Thompson,6:59,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-6
Draymond Green, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moses Moody,3:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-4
Brandin Podziemski,3:30,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,0,0,-2
Gary Payton II,6:41,3,3,1.000,0,0,,0,0,,0,0,0,0,2,0,0,0,6,0
Chris Paul,5:19,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-8
Kevon Looney,4:03,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+2
Gui Santos,2:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-10
Lester Quinones,Did Not Play
Jerome Robinson,Did Not Play
Dario Šarić,Did Not Play
Team Totals,60,8,24,.333,0,8,.000,2,2,1.000,2,6,8,7,2,0,1,1,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Wiggins,17:00,3,8,.375,1,2,.500,0,0,,0,2,2,0,0,0,1,1,7,+3
Stephen Curry,17:29,2,9,.222,0,3,.000,2,2,1.000,0,1,1,5,0,0,2,2,6,+14
Trayce Jackson-Davis,14:35,2,5,.400,0,1,.000,0,0,,2,6,8,1,0,0,0,0,4,-3
Klay Thompson,16:59,3,7,.429,1,4,.250,0,0,,0,0,0,2,0,0,1,1,7,+4
Draymond Green,3:36,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,1,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moses Moody,11:49,1,4,.250,0,2,.000,3,3,1.000,0,1,1,2,0,0,0,3,5,+14
Brandin Podziemski,10:36,3,5,.600,0,1,.000,0,0,,3,5,8,1,1,0,0,0,6,+13
Gary Payton II,6:41,3,3,1.000,0,0,,0,0,,0,0,0,0,2,0,0,0,6,0
Chris Paul,9:00,1,3,.333,0,1,.000,0,0,,0,1,1,2,0,0,0,0,2,-4
Kevon Looney,9:25,1,1,1.000,0,0,,0,0,,0,6,6,0,0,1,0,1,2,+11
Gui Santos,2:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-10
Lester Quinones,Did Not Play
Jerome Robinson,Did Not Play
Dario Šarić,Did Not Play
Team Totals,120,19,47,.404,2,16,.125,5,5,1.000,5,25,30,14,3,1,5,9,45,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Wiggins,6:09,0,1,.000,0,1,.000,3,4,.750,0,1,1,1,0,1,1,0,3,+7
Stephen Curry,8:04,2,5,.400,2,3,.667,0,0,,0,2,2,3,0,0,0,0,6,0
Trayce Jackson-Davis,9:20,2,3,.667,0,0,,0,0,,3,2,5,1,1,1,0,0,4,+5
Klay Thompson,7:01,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,2,0,5,-1
Draymond Green, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moses Moody,6:59,2,4,.500,0,2,.000,1,1,1.000,1,2,3,1,0,0,0,0,5,-7
Brandin Podziemski,8:47,0,4,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,2,0,-3
Gary Payton II,4:20,0,0,,0,0,,0,0,,0,1,1,0,1,1,0,1,0,+4
Chris Paul,3:56,0,2,.000,0,1,.000,1,2,.500,0,2,2,1,0,0,1,0,1,-2
Kevon Looney,2:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Gui Santos,2:43,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-6
Lester Quinones,Did Not Play
Jerome Robinson,Did Not Play
Dario Šarić,Did Not Play
Team Totals,60,9,23,.391,4,11,.364,5,7,.714,5,10,15,7,2,3,4,4,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Wiggins,12:00,5,8,.625,2,3,.667,1,1,1.000,0,3,3,0,0,1,1,1,13,+2
Stephen Curry,9:28,2,4,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,0,5,+4
Trayce Jackson-Davis,9:19,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+3
Klay Thompson,8:16,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+2
Draymond Green, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moses Moody,4:47,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,2,0
Brandin Podziemski,2:06,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Gary Payton II,7:39,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,4,0
Chris Paul,3:44,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
Kevon Looney,2:41,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-1
Gui Santos, 
Lester Quinones,Did Not Play
Jerome Robinson,Did Not Play
Dario Šarić,Did Not Play
Team Totals,60,12,20,.600,4,7,.571,1,1,1.000,2,5,7,5,0,1,3,5,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Wiggins,18:09,5,9,.556,2,4,.500,4,5,.800,0,4,4,1,0,2,2,1,16,+9
Stephen Curry,17:32,4,9,.444,3,5,.600,0,0,,0,3,3,5,0,0,0,0,11,+4
Trayce Jackson-Davis,18:39,2,3,.667,0,0,,0,0,,3,3,6,2,1,1,0,1,4,+8
Klay Thompson,15:17,3,6,.500,2,4,.500,0,0,,0,0,0,0,0,0,2,1,8,+1
Draymond Green, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moses Moody,11:46,3,5,.600,0,2,.000,1,1,1.000,2,2,4,1,0,0,1,1,7,-7
Brandin Podziemski,10:53,0,5,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,2,0,-3
Gary Payton II,11:59,2,2,1.000,0,0,,0,0,,0,1,1,1,1,1,1,1,4,+4
Chris Paul,7:40,0,2,.000,0,1,.000,1,2,.500,0,2,2,2,0,0,1,0,1,-2
Kevon Looney,5:21,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-8
Gui Santos,2:43,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-6
Lester Quinones,Did Not Play
Jerome Robinson,Did Not Play
Dario Šarić,Did Not Play
Team Totals,120,21,43,.488,8,18,.444,6,8,.750,7,15,22,12,2,4,7,9,56,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Andrew Wiggins,35:09,.599,.559,.353,.294,0.0,16.4,9.0,4.7,0.0,5.2,13.5,28.1,106,101,2.9
Stephen Curry,35:01,.450,.417,.444,.111,0.0,11.0,6.0,43.1,0.0,0.0,9.6,26.6,108,106,3.0
Trayce Jackson-Davis,33:14,.500,.500,.125,.000,17.6,26.0,22.2,12.7,1.6,2.7,0.0,10.7,137,96,5.0
Klay Thompson,32:16,.577,.577,.615,.000,0.0,0.0,0.0,9.6,0.0,0.0,18.8,22.1,95,109,-3.6
Draymond Green,3:36,.000,.000,1.000,.000,0.0,80.0,44.0,33.3,0.0,0.0,50.0,24.8,27,83,-18.7
