,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,37:30,9,17,.529,0,1,.000,6,7,.857,4,11,15,3,0,0,3,0,24,-12
Austin Reaves,36:11,7,16,.438,1,7,.143,1,1,1.000,1,12,13,6,1,0,5,2,16,-15
D'Angelo Russell,35:03,3,14,.214,0,6,.000,0,0,,0,3,3,5,1,1,0,3,6,-17
LeBron James,34:41,6,12,.500,0,3,.000,4,4,1.000,1,9,10,8,0,0,5,1,16,-13
Rui Hachimura,31:17,5,10,.500,2,4,.500,2,2,1.000,0,0,0,0,0,0,0,2,14,-15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,20:30,1,6,.167,1,5,.200,2,4,.500,0,1,1,0,1,0,2,4,5,-6
Taurean Prince,14:35,2,5,.400,1,3,.333,0,0,,0,0,0,0,0,0,1,0,5,-4
Cam Reddish,13:19,0,2,.000,0,0,,0,0,,3,1,4,0,0,2,0,1,0,-6
Jaxson Hayes,10:30,1,1,1.000,0,0,,0,0,,1,1,2,2,0,0,0,1,2,-7
Max Christie,2:08,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
Colin Castleton,2:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Maxwell Lewis,2:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,35,86,.407,5,30,.167,15,18,.833,10,38,48,24,3,3,16,14,90,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,8:46,2,2,1.000,0,0,,0,0,,1,2,3,1,0,0,2,0,4,+1
Austin Reaves,10:36,3,6,.500,0,2,.000,0,0,,1,1,2,2,0,0,3,0,6,-3
D'Angelo Russell,10:10,2,4,.500,0,1,.000,0,0,,0,0,0,1,1,0,0,1,4,+1
LeBron James,8:46,2,3,.667,0,1,.000,0,0,,1,4,5,3,0,0,0,0,4,+1
Rui Hachimura,8:46,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,+1
