,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,30:53,10,17,.588,4,7,.571,2,3,.667,0,6,6,1,1,1,3,2,26,-15
Bradley Beal,30:30,6,13,.462,3,5,.600,0,0,,2,1,3,2,1,1,1,1,15,-18
Grayson Allen,28:24,6,16,.375,1,9,.111,0,0,,4,5,9,5,1,0,2,0,13,-14
Devin Booker,27:13,4,9,.444,0,2,.000,6,7,.857,0,3,3,5,0,0,3,5,14,-17
Jusuf Nurkić,23:00,2,4,.500,0,0,,1,2,.500,2,1,3,3,0,1,2,2,5,-22
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,21:44,2,5,.400,1,3,.333,0,0,,1,1,2,3,1,0,0,0,5,-16
Eric Gordon,21:35,2,10,.200,1,8,.125,1,1,1.000,0,2,2,2,2,0,1,1,6,-12
Josh Okogie,13:32,1,2,.500,1,2,.500,2,2,1.000,1,1,2,1,0,1,1,2,5,-1
Bol Bol,13:19,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-6
Nassir Little,7:34,3,4,.750,1,2,.500,0,0,,0,1,1,1,0,0,0,0,7,+1
Isaiah Thomas,7:34,2,4,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,5,+1
David Roddy,7:34,1,3,.333,0,1,.000,0,0,,1,2,3,1,0,0,0,0,2,+1
Drew Eubanks,7:08,0,0,,0,0,,0,0,,2,2,4,0,0,2,1,1,0,-7
Udoka Azubuike,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,240,39,87,.448,13,41,.317,12,15,.800,13,26,39,26,6,6,14,15,103,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,8:12,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,1,1,1,5,+2
Bradley Beal,9:19,2,4,.500,2,4,.500,0,0,,1,0,1,1,0,0,0,0,6,+1
Grayson Allen,9:34,4,5,.800,1,2,.500,0,0,,0,4,4,2,0,0,2,0,9,+1
Devin Booker,11:52,1,4,.250,0,1,.000,2,2,1.000,0,2,2,4,0,0,0,2,4,-2
Jusuf Nurkić,8:12,1,3,.333,0,0,,0,0,,1,0,1,1,0,1,0,1,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,3:48,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-4
Eric Gordon,5:07,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-6
Josh Okogie,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Bol Bol, 
Nassir Little, 
Isaiah Thomas, 
David Roddy, 
Drew Eubanks,3:48,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-4
Udoka Azubuike,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,60,12,22,.545,6,12,.500,2,2,1.000,2,8,10,8,0,3,3,4,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,8:37,4,6,.667,0,0,,1,1,1.000,0,1,1,0,0,0,1,0,9,-6
Bradley Beal,7:42,2,4,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,-2
Grayson Allen,8:12,2,6,.333,0,3,.000,0,0,,2,0,2,2,0,0,0,0,4,-4
Devin Booker,6:13,3,3,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,8,-4
Jusuf Nurkić,6:45,0,0,,0,0,,1,2,.500,1,0,1,1,0,0,1,0,1,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,7:11,0,0,,0,0,,0,0,,0,0,0,3,0,0,0,0,0,-8
Eric Gordon,5:43,0,2,.000,0,2,.000,0,0,,0,0,0,1,1,0,0,0,0,-2
Josh Okogie,2:54,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-4
Bol Bol,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
Nassir Little, 
Isaiah Thomas, 
David Roddy, 
Drew Eubanks,3:20,0,0,,0,0,,0,0,,2,2,4,0,0,1,1,1,0,-3
Udoka Azubuike,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,60,11,21,.524,1,6,.167,4,5,.800,6,4,10,8,1,1,4,3,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,16:49,6,9,.667,1,2,.500,1,1,1.000,0,2,2,0,0,1,2,1,14,-4
Bradley Beal,17:01,4,8,.500,3,5,.600,0,0,,1,1,2,1,0,0,0,1,11,-1
Grayson Allen,17:46,6,11,.545,1,5,.200,0,0,,2,4,6,4,0,0,2,0,13,-3
Devin Booker,18:05,4,7,.571,0,1,.000,4,4,1.000,0,2,2,4,0,0,1,2,12,-6
Jusuf Nurkić,14:57,1,3,.333,0,0,,1,2,.500,2,0,2,2,0,1,1,1,3,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,10:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,0,0,0,3,-12
Eric Gordon,10:50,1,4,.250,1,4,.250,0,0,,0,1,1,1,1,0,0,0,3,-8
