,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,40:35,6,10,.600,4,6,.667,1,1,1.000,0,5,5,3,0,0,2,2,17,+4
DeMar DeRozan,39:21,11,23,.478,1,2,.500,4,7,.571,0,2,2,8,1,1,4,0,27,+7
Ayo Dosunmu,35:35,5,9,.556,1,2,.500,2,2,1.000,0,3,3,6,2,0,1,3,13,+18
Alex Caruso,34:38,7,8,.875,7,8,.875,0,0,,1,4,5,5,5,0,4,3,21,+6
Nikola Vučević,33:05,8,16,.500,2,6,.333,1,2,.500,1,7,8,6,2,0,2,1,19,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Drummond,16:55,3,6,.500,0,0,,0,0,,2,7,9,0,1,0,0,4,6,-1
Javonte Green,15:47,1,4,.250,1,2,.500,0,0,,3,3,6,1,0,1,1,0,3,-6
Torrey Craig,12:57,1,2,.500,1,1,1.000,0,0,,1,3,4,0,0,0,1,2,3,+3
Dalen Terry,11:07,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,1,1,3,0,+3
Onuralp Bitim,Did Not Play
Jevon Carter,Did Not Play
Terry Taylor,Did Not Play
Team Totals,240,42,80,.525,17,29,.586,8,12,.667,8,35,43,30,11,3,16,18,109,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,9:32,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,+6
DeMar DeRozan,9:32,2,5,.400,0,0,,0,0,,0,1,1,2,0,0,1,0,4,+6
Ayo Dosunmu,9:56,2,2,1.000,1,1,1.000,0,0,,0,1,1,3,0,0,0,1,5,+7
Alex Caruso,9:07,4,4,1.000,4,4,1.000,0,0,,1,2,3,1,2,0,2,1,12,+13
Nikola Vučević,8:25,2,5,.400,0,1,.000,1,2,.500,0,1,1,2,0,0,0,0,5,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Drummond,3:35,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,4,+5
Javonte Green, 
Torrey Craig,5:21,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,1,0,3,+3
Dalen Terry,4:32,0,0,,0,0,,0,0,,0,1,1,1,0,1,1,2,0,+9
Onuralp Bitim,Did Not Play
Jevon Carter,Did Not Play
Terry Taylor,Did Not Play
Team Totals,60,13,20,.650,6,8,.750,1,2,.500,1,13,14,10,2,1,5,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,9:32,2,3,.667,1,1,1.000,1,1,1.000,0,1,1,2,0,0,1,0,6,-3
DeMar DeRozan,9:02,4,4,1.000,0,0,,3,5,.600,0,0,0,2,0,0,2,0,11,-1
Ayo Dosunmu,7:04,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,+7
Alex Caruso,7:24,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,1,3,-6
Nikola Vučević,7:47,3,4,.750,1,2,.500,0,0,,0,1,1,1,2,0,1,0,7,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Drummond,4:13,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,0
Javonte Green,7:11,0,0,,0,0,,0,0,,0,2,2,1,0,1,0,0,0,0
Torrey Craig,3:41,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+2
Dalen Terry,4:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-3
Onuralp Bitim,Did Not Play
Jevon Carter,Did Not Play
Terry Taylor,Did Not Play
Team Totals,60,12,18,.667,3,6,.500,4,6,.667,1,7,8,8,3,1,4,2,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,19:04,2,4,.500,1,2,.500,1,1,1.000,0,3,3,3,0,0,1,0,6,+3
DeMar DeRozan,18:34,6,9,.667,0,0,,3,5,.600,0,1,1,4,0,0,3,0,15,+5
Ayo Dosunmu,17:00,3,4,.750,1,2,.500,0,0,,0,2,2,4,0,0,0,1,7,+14
Alex Caruso,16:31,5,5,1.000,5,5,1.000,0,0,,1,2,3,2,3,0,2,2,15,+7
Nikola Vučević,16:12,5,9,.556,1,3,.333,1,2,.500,0,2,2,3,2,0,1,0,12,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Drummond,7:48,3,4,.750,0,0,,0,0,,0,4,4,0,0,0,0,1,6,+5
Javonte Green,7:11,0,0,,0,0,,0,0,,0,2,2,1,0,1,0,0,0,0
Torrey Craig,9:02,1,2,.500,1,1,1.000,0,0,,1,3,4,0,0,0,1,0,3,+5
Dalen Terry,8:38,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,1,1,3,0,+6
Onuralp Bitim,Did Not Play
Jevon Carter,Did Not Play
Terry Taylor,Did Not Play
Team Totals,120,25,38,.658,9,14,.643,5,8,.625,2,20,22,18,5,2,9,7,64,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,9:31,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,3,-2
DeMar DeRozan,10:47,1,4,.250,0,1,.000,1,2,.500,0,0,0,2,0,1,1,0,3,-4
Ayo Dosunmu,8:26,2,3,.667,0,0,,0,0,,0,0,0,1,1,0,1,0,4,-1
Alex Caruso,9:21,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,2,1,3,-6
Nikola Vučević,7:58,2,4,.500,0,1,.000,0,0,,0,3,3,2,0,0,0,0,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Drummond,4:02,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,1,0,-2
Javonte Green,7:26,1,4,.250,1,2,.500,0,0,,3,1,4,0,0,0,1,0,3,-4
Torrey Craig, 
Dalen Terry,2:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Onuralp Bitim,Did Not Play
Jevon Carter,Did Not Play
Terry Taylor,Did Not Play
Team Totals,60,8,20,.400,3,8,.375,1,2,.500,4,7,11,6,2,1,6,3,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,12:00,3,5,.600,2,3,.667,0,0,,0,1,1,0,0,0,0,1,8,+3
DeMar DeRozan,10:00,4,10,.400,1,1,1.000,0,0,,0,1,1,2,1,0,0,0,9,+6
Ayo Dosunmu,10:09,0,2,.000,0,0,,2,2,1.000,0,1,1,1,1,0,0,2,2,+5
Alex Caruso,8:46,1,1,1.000,1,1,1.000,0,0,,0,2,2,2,1,0,0,0,3,+5
Nikola Vučević,8:55,1,3,.333,1,2,.500,0,0,,1,2,3,1,0,0,1,1,3,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Drummond,5:05,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,0,2,0,-4
Javonte Green,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Torrey Craig,3:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2
Dalen Terry, 
Onuralp Bitim,Did Not Play
Jevon Carter,Did Not Play
Terry Taylor,Did Not Play
