,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Derrick White,35:38,7,15,.467,4,10,.400,1,1,1.000,2,7,9,5,0,1,2,3,19,+13
Jayson Tatum,34:23,9,19,.474,4,10,.400,3,3,1.000,0,10,10,4,2,1,4,2,25,+14
Jrue Holiday,30:21,1,11,.091,0,8,.000,0,0,,1,4,5,2,0,0,1,2,2,+6
Kristaps Porziņģis,30:16,6,10,.600,1,3,.333,7,8,.875,2,5,7,5,0,1,1,1,20,+11
Al Horford,24:50,6,11,.545,3,6,.500,0,0,,3,2,5,3,0,0,0,0,15,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,27:55,3,7,.429,0,4,.000,1,2,.500,1,2,3,5,0,0,1,4,7,+6
Sam Hauser,24:14,9,13,.692,7,11,.636,0,0,,1,4,5,0,0,0,1,2,25,+7
Luke Kornet,13:12,2,2,1.000,0,0,,0,0,,1,3,4,1,1,0,0,0,4,+1
Oshae Brissett,13:12,0,1,.000,0,1,.000,1,2,.500,0,2,2,2,0,0,0,0,1,+8
Xavier Tillman Sr.,4:35,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-2
Svi Mykhailiuk,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Jaden Springer,Did Not Play
Team Totals,240,43,89,.483,19,53,.358,13,16,.813,11,40,51,28,3,3,10,15,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Derrick White,7:07,2,5,.400,1,3,.333,0,0,,1,1,2,0,0,0,0,0,5,-3
Jayson Tatum,12:00,3,6,.500,2,5,.400,1,1,1.000,0,2,2,1,1,0,1,1,9,-2
Jrue Holiday,7:00,1,3,.333,0,2,.000,0,0,,1,1,2,0,0,0,0,1,2,-3
