,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,36:00,7,14,.500,5,11,.455,0,0,,0,3,3,8,1,0,3,0,19,0
Jaren Jackson Jr.,34:23,13,23,.565,2,3,.667,12,14,.857,2,5,7,3,3,2,3,2,40,-13
GG Jackson II,30:28,4,9,.444,1,4,.250,2,2,1.000,0,4,4,4,0,1,0,2,11,-13
Santi Aldama,23:08,1,3,.333,0,2,.000,0,0,,0,3,3,2,0,3,0,2,2,+3
Scotty Pippen Jr.,20:50,0,3,.000,0,3,.000,0,0,,0,0,0,3,3,0,1,2,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,24:43,3,11,.273,2,4,.500,4,4,1.000,2,2,4,2,0,0,3,4,12,+7
Jordan Goodwin,24:05,2,8,.250,0,3,.000,0,0,,5,8,13,5,0,0,1,2,4,+10
Brandon Clarke,23:22,7,12,.583,1,1,1.000,0,0,,5,2,7,0,1,2,1,2,15,+10
Lamar Stevens,23:01,3,8,.375,0,2,.000,1,3,.333,1,2,3,1,3,1,0,2,7,+10
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Ziaire Williams,Did Not Dress
Team Totals,240,40,91,.440,11,33,.333,19,23,.826,15,29,44,28,11,9,12,18,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,7:58,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,2,0,6,-7
Jaren Jackson Jr.,9:24,3,4,.750,1,2,.500,2,2,1.000,1,2,3,2,2,1,1,0,9,-7
GG Jackson II,12:00,1,4,.250,1,3,.333,2,2,1.000,0,1,1,2,0,0,0,1,5,-7
Santi Aldama,7:58,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,1,0,0,0,-7
Scotty Pippen Jr.,7:58,0,2,.000,0,2,.000,0,0,,0,0,0,1,1,0,1,0,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,4:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0
Jordan Goodwin,4:02,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,1,2,0
Brandon Clarke,2:36,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Lamar Stevens,4:02,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Ziaire Williams,Did Not Dress
Team Totals,60,7,21,.333,4,14,.286,4,4,1.000,1,7,8,6,3,2,5,2,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,8:11,1,3,.333,1,3,.333,0,0,,0,0,0,2,1,0,1,0,3,-9
Jaren Jackson Jr.,6:54,2,5,.400,0,0,,0,0,,0,0,0,0,1,0,0,0,4,-11
GG Jackson II,6:04,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-11
Santi Aldama,8:55,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,1,0,-2
Scotty Pippen Jr.,5:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,9:01,2,6,.333,1,3,.333,2,2,1.000,1,1,2,1,0,0,1,1,7,+1
Jordan Goodwin,3:49,1,3,.333,0,1,.000,0,0,,1,1,2,2,0,0,0,0,2,+3
Brandon Clarke,8:11,3,5,.600,0,0,,0,0,,2,2,4,0,0,0,0,1,6,+1
Lamar Stevens,3:49,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+3
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Ziaire Williams,Did Not Dress
Team Totals,60,9,24,.375,2,8,.250,2,2,1.000,4,6,10,7,4,0,2,3,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,16:09,3,6,.500,3,6,.500,0,0,,0,0,0,2,1,0,3,0,9,-16
Jaren Jackson Jr.,16:18,5,9,.556,1,2,.500,2,2,1.000,1,2,3,2,3,1,1,0,13,-18
GG Jackson II,18:04,1,5,.200,1,3,.333,2,2,1.000,0,2,2,2,0,0,0,1,5,-18
Santi Aldama,16:53,0,2,.000,0,2,.000,0,0,,0,3,3,2,0,1,0,1,0,-9
Scotty Pippen Jr.,13:04,0,3,.000,0,3,.000,0,0,,0,0,0,1,2,0,1,0,0,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,13:03,2,6,.333,1,3,.333,2,2,1.000,1,1,2,1,0,0,2,1,7,+1
Jordan Goodwin,7:51,2,5,.400,0,2,.000,0,0,,1,3,4,3,0,0,0,1,4,+3
Brandon Clarke,10:47,3,6,.500,0,0,,0,0,,2,2,4,0,0,0,0,1,6,+1
Lamar Stevens,7:51,0,3,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,+3
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Ziaire Williams,Did Not Dress
Team Totals,120,16,45,.356,6,22,.273,6,6,1.000,5,13,18,13,7,2,7,5,44,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,7:51,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,+9
Jaren Jackson Jr.,12:00,6,7,.857,1,1,1.000,8,10,.800,0,2,2,1,0,0,2,2,21,+8
GG Jackson II,9:31,3,3,1.000,0,0,,0,0,,0,2,2,2,0,1,0,1,6,+13
Santi Aldama,6:15,1,1,1.000,0,0,,0,0,,0,0,0,0,0,2,0,1,2,+12
Scotty Pippen Jr.,7:46,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,2,0,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,5:45,1,4,.250,1,1,1.000,2,2,1.000,1,1,2,0,0,0,1,1,5,-4
Jordan Goodwin,4:14,0,1,.000,0,0,,0,0,,2,1,3,1,0,0,1,0,0,0
Brandon Clarke,2:24,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,0,2,-6
Lamar Stevens,4:14,1,2,.500,0,0,,0,1,.000,1,0,1,0,1,1,0,1,2,0
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Ziaire Williams,Did Not Dress
Team Totals,60,14,22,.636,3,4,.750,10,13,.769,6,7,13,8,2,4,4,8,41,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,12:00,3,6,.500,1,3,.333,0,0,,0,2,2,4,0,0,0,0,7,+7
Jaren Jackson Jr.,6:05,2,7,.286,0,0,,2,2,1.000,1,1,2,0,0,1,0,0,6,-3
GG Jackson II,2:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-8
Santi Aldama, 
Scotty Pippen Jr., 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,5:55,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,+10
Jordan Goodwin,12:00,0,2,.000,0,1,.000,0,0,,2,4,6,1,0,0,0,1,0,+7
Brandon Clarke,10:11,3,4,.750,1,1,1.000,0,0,,1,0,1,0,1,2,1,1,7,+15
Lamar Stevens,10:56,2,3,.667,0,1,.000,1,2,.500,0,2,2,1,1,0,0,1,5,+7
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Ziaire Williams,Did Not Dress
Team Totals,60,10,24,.417,2,7,.286,3,4,.750,4,9,13,7,2,3,1,5,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,19:51,4,8,.500,2,5,.400,0,0,,0,3,3,6,0,0,0,0,10,+16
Jaren Jackson Jr.,18:05,8,14,.571,1,1,1.000,10,12,.833,1,3,4,1,0,1,2,2,27,+5
GG Jackson II,12:24,3,4,.750,0,1,.000,0,0,,0,2,2,2,0,1,0,1,6,+5
Santi Aldama,6:15,1,1,1.000,0,0,,0,0,,0,0,0,0,0,2,0,1,2,+12
Scotty Pippen Jr.,7:46,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,2,0,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,11:40,1,5,.200,1,1,1.000,2,2,1.000,1,1,2,1,0,0,1,3,5,+6
Jordan Goodwin,16:14,0,3,.000,0,1,.000,0,0,,4,5,9,2,0,0,1,1,0,+7
Brandon Clarke,12:35,4,6,.667,1,1,1.000,0,0,,3,0,3,0,1,2,1,1,9,+9
Lamar Stevens,15:10,3,5,.600,0,1,.000,1,3,.333,1,2,3,1,2,1,0,2,7,+7
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Ziaire Williams,Did Not Dress
Team Totals,120,24,46,.522,5,11,.455,13,17,.765,10,16,26,15,4,7,5,13,66,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luke Kennard,36:00,.679,.679,.786,.000,0.0,10.5,4.7,34.8,1.4,0.0,17.6,20.0,123,122,2.9
Jaren Jackson Jr.,34:23,.686,.609,.130,.609,5.9,18.4,11.5,19.2,4.5,5.5,9.3,39.7,133,109,15.8
GG Jackson II,30:28,.557,.500,.444,.222,0.0,16.6,7.4,18.7,0.0,3.1,0.0,13.8,135,121,-2.3
Santi Aldama,23:08,.333,.333,.667,.000,0.0,16.4,7.3,10.9,0.0,12.2,0.0,5.5,103,115,-5.0
Scotty Pippen Jr.,20:50,.000,.000,1.000,.000,0.0,0.0,0.0,17.3,7.4,0.0,25.0,8.1,44,110,-10.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jake LaRavia,24:43,.470,.364,.364,.364,8.3,10.2,9.1,11.4,0.0,0.0,19.0,27.1,94,125,-13.8
Jordan Goodwin,24:05,.250,.250,.375,.000,21.2,42.0,30.5,27.7,0.0,0.0,11.1,15.9,100,118,-7.1
Brandon Clarke,23:22,.625,.625,.083,.000,21.9,10.8,16.9,0.0,2.2,8.1,7.7,23.6,126,114,2.2
Lamar Stevens,23:01,.376,.375,.250,.375,4.4,11.0,7.4,6.2,6.7,4.1,0.0,17.2,93,107,-4.4
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Ziaire Williams,Did Not Dress
Team Totals,240,.544,.500,.363,.253,31.9,76.3,51.8,70.0,11.8,17.6,10.6,100.0,117.8,115.7,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tosan Evbuomwan,35:21,4,5,.800,2,3,.667,0,0,,2,3,5,2,1,1,1,0,10,+6
Jaden Ivey,34:51,7,17,.412,2,8,.250,4,5,.800,0,3,3,6,0,0,2,1,20,0
Cade Cunningham,34:02,13,22,.591,3,4,.750,7,8,.875,1,3,4,8,2,1,4,1,36,+6
Troy Brown Jr.,18:17,0,2,.000,0,0,,0,0,,0,4,4,0,2,0,0,0,0,+2
Jalen Duren,5:05,0,0,,0,0,,0,0,,0,1,1,1,1,0,2,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier,29:10,2,8,.250,1,5,.200,0,0,,0,3,3,4,1,1,0,2,5,-4
James Wiseman,28:23,5,8,.625,0,0,,0,1,.000,2,8,10,0,0,1,2,5,10,-2
Chimezie Metu,27:44,6,10,.600,1,3,.333,4,4,1.000,4,4,8,0,0,2,1,3,17,-8
Malachi Flynn,13:58,3,7,.429,2,5,.400,1,2,.500,0,2,2,0,0,1,2,1,9,-8
Jared Rhoden,13:09,0,0,,0,0,,1,2,.500,0,1,1,1,0,2,0,2,1,-2
Buddy Boeheim,Did Not Play
Marcus Sasser,Did Not Play
Stanley Umude,Did Not Play
Team Totals,240,40,79,.506,11,28,.393,17,22,.773,9,32,41,22,7,9,14,16,108,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tosan Evbuomwan,7:58,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,+7
Jaden Ivey,9:36,4,6,.667,2,3,.667,1,1,1.000,0,1,1,1,0,0,1,1,11,+7
Cade Cunningham,9:24,5,6,.833,1,1,1.000,1,1,1.000,1,1,2,4,1,0,1,0,12,+7
Troy Brown Jr.,7:58,0,1,.000,0,0,,0,0,,0,3,3,0,1,0,0,0,0,+7
Jalen Duren,5:05,0,0,,0,0,,0,0,,0,1,1,1,1,0,2,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier,4:02,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
James Wiseman,6:55,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,0,2,+7
Chimezie Metu,4:02,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,0,0,2,0
Malachi Flynn,2:36,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Jared Rhoden,2:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0
Buddy Boeheim,Did Not Play
Marcus Sasser,Did Not Play
Stanley Umude,Did Not Play
Team Totals,60,12,20,.600,3,6,.500,2,2,1.000,1,11,12,8,3,1,6,3,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tosan Evbuomwan,7:38,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,1,0,0,5,+9
Jaden Ivey,8:11,1,3,.333,0,1,.000,1,2,.500,0,1,1,2,0,0,0,0,3,+9
Cade Cunningham,6:37,4,4,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,2,0,9,+11
Troy Brown Jr.,3:05,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,+4
Jalen Duren, 
