,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,31:05,1,7,.143,1,5,.200,3,4,.750,1,4,5,8,1,0,5,0,6,-13
Paul George,29:25,5,12,.417,2,5,.400,6,6,1.000,1,3,4,1,2,0,1,1,18,-7
Ivica Zubac,28:33,5,14,.357,0,0,,0,2,.000,4,7,11,3,1,1,0,3,10,-6
Norman Powell,28:21,4,7,.571,3,4,.750,6,6,1.000,0,2,2,1,1,0,2,1,17,-3
Terance Mann,26:37,3,5,.600,0,1,.000,1,2,.500,1,0,1,1,0,0,2,2,7,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,24:01,7,14,.500,2,3,.667,4,4,1.000,0,2,2,2,0,0,4,5,20,-14
Amir Coffey,23:32,1,6,.167,1,4,.250,0,0,,1,1,2,1,1,0,1,1,3,-18
Brandon Boston Jr.,21:23,3,6,.500,1,3,.333,2,3,.667,0,4,4,0,0,0,0,5,9,-11
Daniel Theis,17:46,1,3,.333,1,1,1.000,0,0,,1,4,5,0,0,0,0,3,3,-4
Bones Hyland,7:38,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,+7
Kobe Brown,1:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,240,31,76,.408,11,27,.407,22,27,.815,9,29,38,18,6,1,15,21,95,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,8:14,0,3,.000,0,1,.000,1,2,.500,1,2,3,2,1,0,2,0,1,+3
Paul George,10:38,2,4,.500,2,2,1.000,3,3,1.000,1,2,3,1,1,0,1,0,9,+2
Ivica Zubac,10:38,0,4,.000,0,0,,0,2,.000,1,4,5,1,0,0,0,1,0,+2
Norman Powell,7:43,0,0,,0,0,,3,3,1.000,0,0,0,0,0,0,0,1,3,+6
Terance Mann,7:43,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,1,0,4,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,5:08,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,1,1,4,-5
Amir Coffey,4:17,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Brandon Boston Jr.,4:17,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,-6
Daniel Theis,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Bones Hyland, 
Kobe Brown, 
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,7,19,.368,3,5,.600,7,10,.700,4,10,14,4,2,0,5,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,12:00,1,2,.500,1,2,.500,2,2,1.000,0,1,1,5,0,0,1,0,5,-5
Paul George,6:47,2,4,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,+7
Ivica Zubac,7:36,3,6,.500,0,0,,0,0,,0,2,2,1,0,0,0,1,6,+4
Norman Powell,10:44,3,5,.600,2,2,1.000,3,3,1.000,0,1,1,0,1,0,0,0,11,-1
Terance Mann,9:41,0,0,,0,0,,1,2,.500,0,0,0,2,0,0,0,0,1,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,1:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Amir Coffey,5:13,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-12
Brandon Boston Jr.,2:19,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-9
Daniel Theis,4:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-9
Bones Hyland, 
Kobe Brown, 
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,9,21,.429,3,6,.500,6,7,.857,1,5,6,8,1,0,1,5,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,20:14,1,5,.200,1,3,.333,3,4,.750,1,3,4,7,1,0,3,0,6,-2
Paul George,17:25,4,8,.500,2,3,.667,3,3,1.000,1,3,4,1,1,0,1,0,13,+9
Ivica Zubac,18:14,3,10,.300,0,0,,0,2,.000,1,6,7,2,0,0,0,2,6,+6
Norman Powell,18:27,3,5,.600,2,2,1.000,6,6,1.000,0,1,1,0,1,0,0,1,14,+5
Terance Mann,17:24,2,2,1.000,0,0,,1,2,.500,1,0,1,2,0,0,1,0,5,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,6:24,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,1,2,4,-9
Amir Coffey,9:30,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-18
Brandon Boston Jr.,6:36,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,2,3,-15
Daniel Theis,5:46,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-11
Bones Hyland, 
Kobe Brown, 
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,120,16,40,.400,6,11,.545,13,17,.765,5,15,20,12,3,0,6,9,51,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,8:04,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,0,0,-8
Paul George,12:00,1,4,.250,0,2,.000,3,3,1.000,0,0,0,0,1,0,0,1,5,-16
Ivica Zubac,10:19,2,4,.500,0,0,,0,0,,3,1,4,1,1,1,0,1,4,-12
Norman Powell,8:19,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,2,0,3,-11
Terance Mann,9:13,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,2,2,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,5:37,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,2,2,5,-12
Amir Coffey,3:41,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-5
Brandon Boston Jr.,2:47,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-3
Daniel Theis, 
Bones Hyland, 
Kobe Brown, 
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,7,19,.368,2,9,.222,3,3,1.000,3,4,7,3,2,1,6,7,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,2:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3
Paul George, 
Ivica Zubac, 
Norman Powell,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Terance Mann, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,12:00,3,7,.429,1,2,.500,4,4,1.000,0,0,0,2,0,0,1,1,11,+7
Amir Coffey,10:21,1,4,.250,1,3,.333,0,0,,0,1,1,0,1,0,1,0,3,+5
Brandon Boston Jr.,12:00,2,2,1.000,0,0,,2,3,.667,0,2,2,0,0,0,0,3,6,+7
Daniel Theis,12:00,1,2,.500,1,1,1.000,0,0,,1,4,5,0,0,0,0,1,3,+7
Bones Hyland,7:38,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,+7
Kobe Brown,1:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,8,17,.471,3,7,.429,6,7,.857,1,10,11,3,1,0,3,5,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,10:51,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,2,0,0,-11
Paul George,12:00,1,4,.250,0,2,.000,3,3,1.000,0,0,0,0,1,0,0,1,5,-16
Ivica Zubac,10:19,2,4,.500,0,0,,0,0,,3,1,4,1,1,1,0,1,4,-12
Norman Powell,9:54,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,2,0,3,-8
Terance Mann,9:13,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,2,2,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,17:37,5,10,.500,2,3,.667,4,4,1.000,0,1,1,2,0,0,3,3,16,-5
Amir Coffey,14:02,1,4,.250,1,3,.333,0,0,,0,1,1,1,1,0,1,1,3,0
Brandon Boston Jr.,14:47,2,3,.667,0,1,.000,2,3,.667,0,3,3,0,0,0,0,3,6,+4
Daniel Theis,12:00,1,2,.500,1,1,1.000,0,0,,1,4,5,0,0,0,0,1,3,+7
Bones Hyland,7:38,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,+7
Kobe Brown,1:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,120,15,36,.417,5,16,.312,9,10,.900,4,14,18,6,3,1,9,12,44,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
