,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,28:41,4,11,.364,1,1,1.000,1,1,1.000,0,1,1,5,1,1,4,3,10,-30
Luguentz Dort,28:21,3,10,.300,0,5,.000,9,9,1.000,1,4,5,0,0,1,1,3,15,-16
Cason Wallace,28:15,4,9,.444,0,3,.000,4,4,1.000,0,1,1,5,4,1,4,1,12,-16
Josh Giddey,28:14,7,11,.636,1,2,.500,2,2,1.000,2,4,6,2,0,0,2,0,17,-2
Chet Holmgren,27:28,5,14,.357,0,3,.000,1,2,.500,1,6,7,2,0,0,1,1,11,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,25:27,3,9,.333,1,3,.333,0,0,,0,1,1,0,1,0,1,2,7,-22
Isaiah Joe,20:25,4,5,.800,2,3,.667,3,4,.750,0,3,3,0,1,1,0,0,13,-4
Gordon Hayward,18:19,0,4,.000,0,1,.000,0,0,,0,2,2,2,1,0,0,0,0,-28
Jaylin Williams,14:52,1,3,.333,0,2,.000,5,6,.833,1,2,3,4,0,0,0,0,7,-17
Lindy Waters III,10:13,2,3,.667,0,1,.000,0,0,,0,1,1,1,0,0,0,1,4,-14
Mike Muscala,6:06,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,2,-7
Bismack Biyombo,3:35,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-8
Team Totals,240,35,81,.432,5,24,.208,25,28,.893,5,26,31,21,8,5,13,11,100,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,5:53,2,2,1.000,0,0,,0,0,,0,1,1,0,1,0,2,0,4,-2
Luguentz Dort,8:48,0,3,.000,0,3,.000,2,2,1.000,0,1,1,0,0,1,0,1,2,-11
Cason Wallace,9:07,1,2,.500,0,1,.000,2,2,1.000,0,0,0,1,1,0,0,0,4,0
Josh Giddey,8:48,4,5,.800,1,1,1.000,0,0,,1,1,2,1,0,0,0,0,9,+2
Chet Holmgren,5:36,1,4,.250,0,2,.000,0,0,,1,2,3,0,0,0,0,0,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,6:24,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-5
Isaiah Joe,6:06,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-5
Gordon Hayward,2:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Jaylin Williams,6:24,0,1,.000,0,1,.000,2,2,1.000,1,1,2,2,0,0,0,0,2,-5
Lindy Waters III, 
Mike Muscala, 
Bismack Biyombo, 
Team Totals,60,8,22,.364,1,10,.100,6,6,1.000,3,7,10,4,3,1,2,2,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,4:10,0,3,.000,0,0,,0,0,,0,0,0,0,0,1,1,1,0,-7
Luguentz Dort,8:06,1,4,.250,0,1,.000,2,2,1.000,1,3,4,0,0,0,1,0,4,-7
Cason Wallace,5:10,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,0
Josh Giddey,7:49,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,1,0,4,0
Chet Holmgren,8:31,1,6,.167,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,6:36,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Isaiah Joe,7:25,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,0,7,0
Gordon Hayward,4:07,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,0,0,0,-7
Jaylin Williams,3:55,1,2,.500,0,1,.000,3,4,.750,0,0,0,1,0,0,0,0,5,0
Lindy Waters III,4:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Mike Muscala, 
Bismack Biyombo, 
Team Totals,60,9,24,.375,1,5,.200,5,6,.833,2,9,11,5,1,2,3,1,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,10:03,2,5,.400,0,0,,0,0,,0,1,1,0,1,1,3,1,4,-9
Luguentz Dort,16:54,1,7,.143,0,4,.000,4,4,1.000,1,4,5,0,0,1,1,1,6,-18
Cason Wallace,14:17,2,4,.500,0,2,.000,2,2,1.000,0,0,0,2,1,0,0,0,6,0
Josh Giddey,16:37,6,8,.750,1,1,1.000,0,0,,2,3,5,2,0,0,1,0,13,+2
Chet Holmgren,14:07,2,10,.200,0,3,.000,0,0,,1,2,3,1,0,0,0,0,4,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,13:00,0,4,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-5
Isaiah Joe,13:31,3,4,.750,1,2,.500,0,0,,0,2,2,0,1,1,0,0,7,-5
Gordon Hayward,7:00,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,0,0,0,-14
Jaylin Williams,10:19,1,3,.333,0,2,.000,5,6,.833,1,1,2,3,0,0,0,0,7,-5
Lindy Waters III,4:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Mike Muscala, 
Bismack Biyombo, 
Team Totals,120,17,46,.370,2,15,.133,11,12,.917,5,16,21,9,4,3,5,3,47,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,7:29,1,2,.500,1,1,1.000,0,0,,0,0,0,3,0,0,0,2,3,+3
Luguentz Dort,11:27,2,3,.667,0,1,.000,5,5,1.000,0,0,0,0,0,0,0,2,9,+2
Cason Wallace,8:04,0,2,.000,0,1,.000,2,2,1.000,0,1,1,3,2,1,1,1,2,+2
Josh Giddey,8:31,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,+6
Chet Holmgren,10:33,3,4,.750,0,0,,1,2,.500,0,4,4,1,0,0,1,0,7,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,4:01,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,5,0
Isaiah Joe,6:02,1,1,1.000,1,1,1.000,3,4,.750,0,1,1,0,0,0,0,0,6,+2
Gordon Hayward,2:25,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Jaylin Williams,1:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Lindy Waters III, 
Mike Muscala, 
Bismack Biyombo, 
Team Totals,60,10,17,.588,3,5,.600,13,15,.867,0,7,7,8,2,1,3,5,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,11:09,1,4,.250,0,0,,1,1,1.000,0,0,0,2,0,0,1,0,3,-24
Luguentz Dort, 
Cason Wallace,5:54,2,3,.667,0,0,,0,0,,0,0,0,0,1,0,3,0,4,-18
Josh Giddey,3:06,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-10
Chet Holmgren,2:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,8:25,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,0,1,2,-17
Isaiah Joe,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Gordon Hayward,8:54,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-15
Jaylin Williams,3:06,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-10
Lindy Waters III,6:06,2,3,.667,0,1,.000,0,0,,0,1,1,1,0,0,0,1,4,-7
Mike Muscala,6:06,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,2,-7
Bismack Biyombo,3:35,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-8
Team Totals,60,8,18,.444,0,4,.000,1,1,1.000,0,3,3,4,2,1,5,3,17,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,18:38,2,6,.333,1,1,1.000,1,1,1.000,0,0,0,5,0,0,1,2,6,-21
Luguentz Dort,11:27,2,3,.667,0,1,.000,5,5,1.000,0,0,0,0,0,0,0,2,9,+2
Cason Wallace,13:58,2,5,.400,0,1,.000,2,2,1.000,0,1,1,3,3,1,4,1,6,-16
Josh Giddey,11:37,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,0,4,-4
Chet Holmgren,13:21,3,4,.750,0,0,,1,2,.500,0,4,4,1,0,0,1,1,7,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,12:26,3,5,.600,1,2,.500,0,0,,0,0,0,0,1,0,1,1,7,-17
Isaiah Joe,6:53,1,1,1.000,1,1,1.000,3,4,.750,0,1,1,0,0,0,0,0,6,+1
Gordon Hayward,11:19,0,3,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-14
Jaylin Williams,4:33,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-12
Lindy Waters III,6:06,2,3,.667,0,1,.000,0,0,,0,1,1,1,0,0,0,1,4,-7
Mike Muscala,6:06,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,2,-7
Bismack Biyombo,3:35,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-8
Team Totals,120,18,35,.514,3,9,.333,14,16,.875,0,10,10,12,4,2,8,8,53,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Aaron Wiggins,28:41,.437,.409,.091,.091,0.0,4.5,2.2,29.6,1.7,3.2,25.9,24.3,74,140,-8.2
Luguentz Dort,28:21,.537,.300,.500,.900,4.2,18.3,11.0,0.0,0.0,3.3,6.7,23.8,108,141,-6.9
Cason Wallace,28:15,.558,.444,.333,.444,0.0,4.6,2.2,30.1,7.0,3.3,27.1,23.6,91,128,2.7
Josh Giddey,28:14,.715,.682,.182,.182,8.5,18.4,13.2,14.7,0.0,0.0,14.4,22.2,123,143,1.3
Chet Holmgren,27:28,.370,.357,.214,.143,4.4,28.3,15.9,13.3,0.0,0.0,6.3,26.1,77,141,-10.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kenrich Williams,25:27,.389,.389,.333,.000,0.0,5.1,2.4,0.0,1.9,0.0,10.0,17.7,67,142,-12.1
Isaiah Joe,20:25,.962,1.000,.600,.800,0.0,19.1,9.2,0.0,2.4,4.5,0.0,14.9,184,134,12.0
Gordon Hayward,18:19,.000,.000,.250,.000,0.0,14.2,6.8,15.0,2.7,0.0,0.0,9.9,25,138,-10.6
Jaylin Williams,14:52,.621,.333,.667,2.000,8.1,17.5,12.6,40.6,0.0,0.0,0.0,17.1,150,143,9.4
Lindy Waters III,10:13,.667,.667,.333,.000,0.0,12.7,6.1,18.3,0.0,0.0,0.0,13.3,135,144,-2.5
Mike Muscala,6:06,1.000,1.000,.000,.000,0.0,21.3,10.2,0.0,0.0,15.1,0.0,7.4,200,133,6.0
Bismack Biyombo,3:35,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,200,147,2.9
Team Totals,240,.536,.463,.296,.346,12.5,70.3,40.3,60.0,8.2,9.6,12.2,100.0,102.4,138.3,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,32:49,9,20,.450,3,9,.333,2,3,.667,1,6,7,4,1,2,5,4,23,+8
Jrue Holiday,31:34,5,9,.556,2,6,.333,0,0,,1,6,7,4,0,1,3,1,12,+31
Derrick White,31:11,2,5,.400,2,4,.500,2,2,1.000,0,1,1,6,1,1,0,4,8,+13
Kristaps Porziņģis,30:53,11,14,.786,3,3,1.000,2,2,1.000,3,9,12,4,1,5,0,3,27,+19
Jayson Tatum,28:54,7,15,.467,2,5,.400,8,8,1.000,3,4,7,3,1,0,0,2,24,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,27:47,4,10,.400,1,4,.250,2,2,1.000,1,3,4,8,2,0,0,0,11,+23
Al Horford,24:41,7,10,.700,2,4,.500,0,0,,2,2,4,2,0,1,2,1,16,+32
Sam Hauser,21:31,4,8,.500,2,5,.400,0,0,,0,2,2,0,0,0,0,3,10,+11
Luke Kornet,3:35,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,+8
Svi Mykhailiuk,3:35,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,+8
Oshae Brissett,3:29,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,+8
Xavier Tillman Sr.,Did Not Play
Team Totals,240,50,92,.543,17,40,.425,18,19,.947,11,35,46,33,7,10,10,18,135,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,8:48,1,5,.200,0,2,.000,0,0,,0,2,2,1,0,1,3,0,2,-2
Jrue Holiday,8:29,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,+9
Derrick White,9:07,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,1,0,0,0,0
Kristaps Porziņģis,6:51,3,4,.750,2,2,1.000,0,0,,1,1,2,0,0,0,0,1,8,+1
Jayson Tatum,8:48,3,7,.429,1,3,.333,0,0,,1,4,5,1,0,0,0,0,7,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,5:09,0,1,.000,0,0,,2,2,1.000,1,0,1,3,0,0,0,0,2,+6
Al Horford,6:24,3,3,1.000,0,0,,0,0,,2,1,3,1,0,0,1,0,6,+5
Sam Hauser,6:24,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+5
Luke Kornet, 
Svi Mykhailiuk, 
Oshae Brissett, 
Xavier Tillman Sr.,Did Not Play
Team Totals,60,12,26,.462,4,12,.333,2,2,1.000,5,10,15,9,0,2,4,3,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,7:53,3,6,.500,0,2,.000,0,0,,1,0,1,1,0,1,0,1,6,0
Jrue Holiday,6:42,2,3,.667,1,2,.500,0,0,,0,3,3,1,0,0,1,0,5,+9
Derrick White,7:53,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,2,0,0
Kristaps Porziņģis,8:31,4,6,.667,1,1,1.000,0,0,,2,5,7,3,1,3,0,0,9,+7
Jayson Tatum,8:06,1,3,.333,0,1,.000,2,2,1.000,0,0,0,1,1,0,0,0,4,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,8:01,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,5,+7
Al Horford,7:35,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,1,0,0,2,+7
Sam Hauser,5:18,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-2
Luke Kornet, 
Svi Mykhailiuk, 
Oshae Brissett, 
Xavier Tillman Sr.,Did Not Play
Team Totals,60,13,26,.500,3,10,.300,2,2,1.000,3,10,13,9,2,5,1,3,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,16:41,4,11,.364,0,4,.000,0,0,,1,2,3,2,0,2,3,1,8,-2
Jrue Holiday,15:11,3,5,.600,1,3,.333,0,0,,0,4,4,2,0,0,1,1,7,+18
Derrick White,17:00,0,2,.000,0,2,.000,0,0,,0,1,1,4,0,1,0,2,0,0
Kristaps Porziņģis,15:22,7,10,.700,3,3,1.000,0,0,,3,6,9,3,1,3,0,1,17,+8
Jayson Tatum,16:54,4,10,.400,1,4,.250,2,2,1.000,1,4,5,2,1,0,0,0,11,+18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,13:10,2,5,.400,1,2,.500,2,2,1.000,1,1,2,4,0,0,0,0,7,+13
Al Horford,13:59,4,6,.667,0,1,.000,0,0,,2,1,3,1,0,1,1,0,8,+12
Sam Hauser,11:42,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,+3
Luke Kornet, 
Svi Mykhailiuk, 
Oshae Brissett, 
Xavier Tillman Sr.,Did Not Play
Team Totals,120,25,52,.481,7,22,.318,4,4,1.000,8,20,28,18,2,7,5,6,61,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,7:37,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,1,0,-7
Jrue Holiday,7:58,0,2,.000,0,2,.000,0,0,,1,2,3,0,0,1,1,0,0,-4
Derrick White,5:46,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,-4
Kristaps Porziņģis,7:05,2,2,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,2,6,-6
Jayson Tatum,12:00,3,5,.600,1,1,1.000,6,6,1.000,2,0,2,1,0,0,0,2,13,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,8:31,0,1,.000,0,1,.000,0,0,,0,0,0,3,2,0,0,0,0,+3
Al Horford,4:48,3,3,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,1,8,+2
Sam Hauser,6:14,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,2,3,0
Luke Kornet, 
Svi Mykhailiuk, 
Oshae Brissett, 
Xavier Tillman Sr.,Did Not Play
Team Totals,60,9,19,.474,4,9,.444,10,10,1.000,3,5,8,4,2,1,3,9,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,8:31,5,6,.833,3,4,.750,2,3,.667,0,3,3,2,1,0,0,2,15,+17
Jrue Holiday,8:25,2,2,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,1,0,5,+17
Derrick White,8:25,2,3,.667,2,2,1.000,0,0,,0,0,0,2,1,0,0,1,6,+17
Kristaps Porziņģis,8:25,2,2,1.000,0,0,,0,0,,0,2,2,1,0,2,0,0,4,+17
Jayson Tatum, 
