,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,36:58,9,22,.409,5,14,.357,1,1,1.000,1,2,3,8,2,2,0,0,24,+3
Pascal Siakam,34:41,12,27,.444,0,3,.000,2,4,.500,3,6,9,3,1,0,2,3,26,-20
Andrew Nembhard,28:32,3,6,.500,0,1,.000,2,2,1.000,1,1,2,3,1,0,2,2,8,-11
Aaron Nesmith,27:55,4,7,.571,0,3,.000,1,1,1.000,2,3,5,2,0,0,0,5,9,-4
Jalen Smith,22:15,4,11,.364,0,3,.000,0,0,,3,6,9,2,1,2,0,1,8,-19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Sheppard,22:25,2,8,.250,2,7,.286,2,2,1.000,1,0,1,2,2,0,1,0,8,-5
Isaiah Jackson,22:09,3,6,.500,0,0,,0,0,,4,1,5,1,0,2,1,3,6,+17
Obi Toppin,20:00,5,9,.556,3,6,.500,1,1,1.000,3,5,8,1,1,3,2,2,14,+17
T.J. McConnell,19:06,4,6,.667,0,0,,0,0,,1,2,3,5,0,0,1,5,8,+6
Doug McDermott,5:57,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Kendall Brown,Did Not Play
James Johnson,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,240,46,103,.447,10,38,.263,9,11,.818,19,26,45,27,8,9,9,21,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,10:20,2,3,.667,2,3,.667,0,0,,0,1,1,2,1,1,0,0,6,+11
Pascal Siakam,7:46,1,5,.200,0,2,.000,1,2,.500,0,2,2,0,0,0,0,0,3,+4
Andrew Nembhard,7:46,2,3,.667,0,0,,0,0,,0,0,0,1,1,0,0,0,4,+4
Aaron Nesmith,9:12,3,3,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,2,7,+12
Jalen Smith,5:36,2,3,.667,0,0,,0,0,,2,2,4,0,1,1,0,1,4,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Sheppard,3:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Isaiah Jackson,6:24,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,1,2,+13
Obi Toppin,4:14,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,0,0,3,+8
T.J. McConnell,3:50,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,2,2,+8
Doug McDermott,1:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Kendall Brown,Did Not Play
James Johnson,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,13,24,.542,3,7,.429,2,3,.667,3,7,10,6,4,2,1,6,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,7:28,1,5,.200,0,2,.000,0,0,,0,0,0,3,0,1,0,0,2,-8
Pascal Siakam,8:27,3,7,.429,0,0,,0,0,,2,0,2,0,0,0,0,0,6,-9
Andrew Nembhard,7:28,1,1,1.000,0,0,,2,2,1.000,1,1,2,2,0,0,0,1,4,-8
Aaron Nesmith,7:28,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,-8
Jalen Smith,8:38,2,4,.500,0,0,,0,0,,0,2,2,2,0,1,0,0,4,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Sheppard,4:32,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,-3
Isaiah Jackson,1:29,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
Obi Toppin,5:26,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,1,0,0,8,-2
T.J. McConnell,4:32,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,0,2,-3
Doug McDermott,4:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Kendall Brown,Did Not Play
James Johnson,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,13,28,.464,3,8,.375,2,2,1.000,3,4,7,10,0,3,0,2,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,17:48,3,8,.375,2,5,.400,0,0,,0,1,1,5,1,2,0,0,8,+3
Pascal Siakam,16:13,4,12,.333,0,2,.000,1,2,.500,2,2,4,0,0,0,0,0,9,-5
Andrew Nembhard,15:14,3,4,.750,0,0,,2,2,1.000,1,1,2,3,1,0,0,1,8,-4
Aaron Nesmith,16:40,4,5,.800,0,1,.000,1,1,1.000,0,1,1,1,0,0,0,2,9,+4
Jalen Smith,14:14,4,7,.571,0,0,,0,0,,2,4,6,2,1,2,0,1,8,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Sheppard,7:58,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,-1
Isaiah Jackson,7:53,1,4,.250,0,0,,0,0,,1,0,1,0,0,0,1,2,2,+7
Obi Toppin,9:40,4,4,1.000,3,3,1.000,0,0,,0,2,2,1,1,1,0,0,11,+6
T.J. McConnell,8:22,2,3,.667,0,0,,0,0,,0,0,0,4,0,0,0,2,4,+5
Doug McDermott,5:57,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Kendall Brown,Did Not Play
James Johnson,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,120,26,52,.500,6,15,.400,4,5,.800,6,11,17,16,4,5,1,8,62,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,12:00,4,9,.444,1,4,.250,1,1,1.000,1,0,1,1,1,0,0,0,10,-2
Pascal Siakam,6:28,1,4,.250,0,0,,0,1,.000,0,2,2,2,0,0,1,1,2,-12
Andrew Nembhard,6:08,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0,0,-9
Aaron Nesmith,2:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-3
Jalen Smith,3:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Sheppard,9:37,1,2,.500,1,2,.500,2,2,1.000,1,0,1,2,2,0,0,0,5,+1
Isaiah Jackson,8:29,2,2,1.000,0,0,,0,0,,3,0,3,1,0,2,0,1,4,+9
Obi Toppin,5:52,0,1,.000,0,0,,0,0,,1,2,3,0,0,2,1,0,0,+7
T.J. McConnell,5:52,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,0,4,+7
Doug McDermott, 
Kendall Brown,Did Not Play
James Johnson,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,10,24,.417,2,9,.222,3,4,.750,6,6,12,6,3,4,5,4,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,7:10,2,5,.400,2,5,.400,0,0,,0,1,1,2,0,0,0,0,6,+2
Pascal Siakam,12:00,7,11,.636,0,1,.000,1,1,1.000,1,2,3,1,1,0,1,2,15,-3
Andrew Nembhard,7:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+2
Aaron Nesmith,8:52,0,1,.000,0,1,.000,0,0,,2,2,4,1,0,0,0,1,0,-5
Jalen Smith,4:50,0,3,.000,0,2,.000,0,0,,1,2,3,0,0,0,0,0,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Sheppard,4:50,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-5
