,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
GG Jackson II,37:27,6,12,.500,2,6,.333,1,1,1.000,0,12,12,1,0,0,2,2,15,+19
Jaren Jackson Jr.,37:08,14,26,.538,2,7,.286,5,6,.833,0,3,3,4,3,1,0,2,35,+19
Luke Kennard,26:57,1,4,.250,1,2,.500,0,0,,0,3,3,4,0,0,2,0,3,-13
Scotty Pippen Jr.,19:23,3,7,.429,0,1,.000,0,0,,0,2,2,3,0,1,2,1,6,-6
Trey Jemison,18:58,3,7,.429,0,0,,1,2,.500,2,2,4,0,0,2,0,0,7,-19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Goodwin,28:37,6,10,.600,0,2,.000,1,2,.500,4,8,12,7,0,0,1,1,13,+16
Jake LaRavia,27:39,2,5,.400,1,3,.333,4,4,1.000,0,2,2,2,2,1,1,3,9,+19
Lamar Stevens,23:53,4,10,.400,1,1,1.000,0,0,,5,4,9,1,0,1,0,2,9,+9
Brandon Clarke,19:57,7,10,.700,0,1,.000,0,2,.000,2,5,7,3,0,2,0,1,14,+6
Santi Aldama,Did Not Play
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Team Totals,240,46,91,.505,7,23,.304,12,17,.706,13,41,54,25,5,8,8,12,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
GG Jackson II,12:00,1,3,.333,0,2,.000,0,0,,0,4,4,0,0,0,0,1,2,+4
Jaren Jackson Jr.,11:04,2,6,.333,0,2,.000,4,4,1.000,0,0,0,0,0,0,0,1,8,+2
Luke Kennard,6:59,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,2,0,3,+1
Scotty Pippen Jr.,6:13,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-1
Trey Jemison,6:13,2,4,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,4,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Goodwin,5:47,2,4,.500,0,2,.000,0,1,.000,0,2,2,1,0,0,0,0,4,+5
Jake LaRavia,5:01,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,+3
Lamar Stevens,5:47,1,1,1.000,1,1,1.000,0,0,,1,2,3,0,0,1,0,0,3,+5
Brandon Clarke,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Santi Aldama,Did Not Play
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Team Totals,60,10,20,.500,2,8,.250,4,5,.800,1,12,13,5,0,1,3,2,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
GG Jackson II,6:08,3,4,.750,2,2,1.000,0,0,,0,0,0,0,0,0,1,0,8,+8
Jaren Jackson Jr.,6:08,1,3,.333,0,1,.000,0,0,,0,2,2,1,1,1,0,1,2,+8
Luke Kennard,8:09,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,-2
Scotty Pippen Jr.,6:17,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,1,0,0,0,+5
Trey Jemison,5:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Goodwin,5:43,1,1,1.000,0,0,,0,0,,1,1,2,2,0,0,1,1,2,-5
Jake LaRavia,7:59,1,2,.500,1,2,.500,2,2,1.000,0,2,2,0,1,1,1,0,5,-3
Lamar Stevens,5:45,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,0
Brandon Clarke,7:59,4,6,.667,0,1,.000,0,0,,1,2,3,1,0,1,0,1,8,-3
Santi Aldama,Did Not Play
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Team Totals,60,11,24,.458,3,8,.375,2,2,1.000,3,9,12,8,2,4,3,3,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
GG Jackson II,18:08,4,7,.571,2,4,.500,0,0,,0,4,4,0,0,0,1,1,10,+12
Jaren Jackson Jr.,17:12,3,9,.333,0,3,.000,4,4,1.000,0,2,2,1,1,1,0,2,10,+10
Luke Kennard,15:08,1,2,.500,1,2,.500,0,0,,0,2,2,3,0,0,2,0,3,-1
Scotty Pippen Jr.,12:30,1,4,.250,0,1,.000,0,0,,0,2,2,3,0,1,1,0,2,+4
Trey Jemison,12:05,2,5,.400,0,0,,0,0,,0,2,2,0,0,0,0,0,4,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Goodwin,11:30,3,5,.600,0,2,.000,0,1,.000,1,3,4,3,0,0,1,1,6,0
Jake LaRavia,13:00,1,2,.500,1,2,.500,2,2,1.000,0,2,2,2,1,1,1,0,5,0
Lamar Stevens,11:32,2,4,.500,1,1,1.000,0,0,,2,2,4,0,0,1,0,0,5,+5
Brandon Clarke,8:54,4,6,.667,0,1,.000,0,0,,1,2,3,1,0,1,0,1,8,-1
Santi Aldama,Did Not Play
Mãozinha Pereira,Did Not Play
Zavier Simpson,Did Not Play
Team Totals,120,21,44,.477,5,16,.312,6,7,.857,4,21,25,13,2,5,6,5,53,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
