,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,38:08,10,17,.588,0,1,.000,15,15,1.000,3,15,18,1,2,3,2,1,35,+29
D'Angelo Russell,37:32,7,16,.438,4,10,.400,0,0,,0,3,3,2,2,0,2,0,18,+8
LeBron James,36:11,9,18,.500,0,1,.000,7,9,.778,2,5,7,9,3,0,4,2,25,+9
Austin Reaves,35:02,7,15,.467,2,6,.333,0,0,,2,2,4,4,2,0,1,1,16,+7
Rui Hachimura,27:28,9,12,.750,1,2,.500,0,1,.000,2,5,7,1,0,1,2,2,19,+21
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,19:09,1,4,.250,0,3,.000,2,2,1.000,0,2,2,1,0,0,1,1,4,+8
Taurean Prince,15:54,2,4,.500,1,3,.333,0,0,,1,6,7,1,1,0,1,1,5,-8
Gabe Vincent,14:21,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,1,0,-6
Jaxson Hayes,9:51,1,1,1.000,0,0,,1,2,.500,0,0,0,2,0,0,1,1,3,-24
Max Christie,4:14,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Colin Castleton,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
Maxwell Lewis,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-8
Cam Reddish,Did Not Play
Team Totals,240,46,91,.505,8,28,.286,25,29,.862,11,38,49,21,10,4,16,10,125,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,12:00,4,7,.571,0,0,,11,11,1.000,3,3,6,0,1,0,1,0,19,+10
D'Angelo Russell,9:12,3,4,.750,2,3,.667,0,0,,0,1,1,0,0,0,0,0,8,+4
LeBron James,7:40,1,2,.500,0,0,,0,0,,0,0,0,2,1,0,0,0,2,+5
Austin Reaves,6:53,2,5,.400,0,2,.000,0,0,,1,0,1,1,1,0,0,0,4,-1
Rui Hachimura,6:53,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,1,1,4,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,5:07,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,0,2,+11
Taurean Prince,5:07,0,1,.000,0,1,.000,0,0,,0,5,5,0,1,0,0,0,0,+11
Gabe Vincent,4:20,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,+5
Jaxson Hayes, 
Max Christie,2:48,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Colin Castleton, 
Maxwell Lewis, 
Cam Reddish,Did Not Play
Team Totals,60,12,24,.500,2,7,.286,13,13,1.000,6,9,15,3,4,0,3,2,39,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,5:59,1,3,.333,0,0,,0,0,,0,3,3,0,0,1,1,1,2,+3
D'Angelo Russell,7:41,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,+3
LeBron James,9:44,5,10,.500,0,0,,1,1,1.000,0,2,2,3,0,0,2,1,11,-3
Austin Reaves,10:50,2,4,.500,0,1,.000,0,0,,1,1,2,0,1,0,1,0,4,-6
Rui Hachimura,6:44,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,4:22,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+3
Taurean Prince,4:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-6
Gabe Vincent,4:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Jaxson Hayes,6:01,1,1,1.000,0,0,,1,2,.500,0,0,0,1,0,0,1,1,3,-6
Max Christie, 
Colin Castleton, 
Maxwell Lewis, 
Cam Reddish,Did Not Play
Team Totals,60,12,24,.500,2,5,.400,2,3,.667,1,9,10,5,2,1,5,5,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,17:59,5,10,.500,0,0,,11,11,1.000,3,6,9,0,1,1,2,1,21,+13
D'Angelo Russell,16:53,4,6,.667,3,5,.600,0,0,,0,1,1,0,1,0,0,0,11,+7
LeBron James,17:24,6,12,.500,0,0,,1,1,1.000,0,2,2,5,1,0,2,1,13,+2
Austin Reaves,17:43,4,9,.444,0,3,.000,0,0,,2,1,3,1,2,0,1,0,8,-7
Rui Hachimura,13:37,4,6,.667,1,1,1.000,0,0,,1,1,2,0,0,0,1,2,9,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,9:29,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,1,0,2,+14
Taurean Prince,9:26,0,1,.000,0,1,.000,0,0,,0,6,6,0,1,0,0,1,0,+5
Gabe Vincent,8:39,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1
Jaxson Hayes,6:01,1,1,1.000,0,0,,1,2,.500,0,0,0,1,0,0,1,1,3,-6
Max Christie,2:48,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Colin Castleton, 
Maxwell Lewis, 
Cam Reddish,Did Not Play
Team Totals,120,24,48,.500,4,12,.333,15,16,.938,7,18,25,8,6,1,8,7,67,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,12:00,2,4,.500,0,1,.000,2,2,1.000,0,5,5,1,0,0,0,0,6,+8
D'Angelo Russell,10:00,3,7,.429,1,4,.250,0,0,,0,2,2,1,1,0,2,0,7,+3
LeBron James,8:14,2,4,.500,0,1,.000,1,2,.500,2,2,4,1,2,0,1,1,5,+8
Austin Reaves,8:42,2,3,.667,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,5,+10
Rui Hachimura,8:42,3,3,1.000,0,0,,0,1,.000,0,2,2,0,0,1,0,0,6,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
