,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,30:39,9,14,.643,2,6,.333,9,9,1.000,0,6,6,6,0,0,3,2,29,+29
Klay Thompson,29:14,11,15,.733,7,11,.636,0,0,,0,3,3,4,0,0,3,3,29,+20
Draymond Green,28:59,2,3,.667,0,1,.000,1,2,.500,2,6,8,5,1,1,2,5,5,+26
Trayce Jackson-Davis,27:48,8,10,.800,0,0,,4,4,1.000,2,3,5,4,1,1,1,3,20,+20
Andrew Wiggins,22:34,3,8,.375,1,5,.200,3,4,.750,0,5,5,2,0,0,1,1,10,+22
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandin Podziemski,24:24,2,5,.400,0,0,,0,0,,2,2,4,2,1,0,2,1,4,-4
Moses Moody,23:49,3,4,.750,1,2,.500,2,2,1.000,1,2,3,1,0,0,0,3,9,+1
Chris Paul,21:42,3,9,.333,2,4,.500,0,0,,0,2,2,3,1,0,3,1,8,-7
Gary Payton II,14:07,3,3,1.000,1,1,1.000,1,2,.500,2,0,2,0,1,0,2,1,8,+3
Kevon Looney,8:51,0,3,.000,0,0,,2,2,1.000,3,1,4,2,1,0,1,3,2,-1
Lester Quinones,3:55,3,4,.750,3,3,1.000,0,0,,0,0,0,0,0,0,0,0,9,+3
Jerome Robinson,3:55,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,+3
Team Totals,240,47,80,.588,17,35,.486,22,25,.880,12,31,43,29,6,2,18,23,133,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,8:07,2,3,.667,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,5,+14
Klay Thompson,8:57,4,7,.571,3,6,.500,0,0,,0,1,1,0,0,0,3,1,11,+12
Draymond Green,7:03,0,1,.000,0,1,.000,0,0,,1,4,5,1,1,0,1,0,0,+13
Trayce Jackson-Davis,6:19,0,0,,0,0,,0,0,,0,0,0,1,1,1,0,1,0,+12
Andrew Wiggins,8:07,2,2,1.000,1,1,1.000,1,2,.500,0,1,1,1,0,0,0,0,6,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandin Podziemski,5:57,0,0,,0,0,,0,0,,0,1,1,1,1,0,1,1,0,-4
Moses Moody,3:53,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,-5
Chris Paul,3:53,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,1,0,6,-5
Gary Payton II,2:47,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,-2
Kevon Looney,4:56,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,2,0,-4
Lester Quinones, 
Jerome Robinson, 
Team Totals,60,11,17,.647,8,12,.667,3,4,.750,2,8,10,7,3,1,8,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,8:17,3,5,.600,1,3,.333,0,0,,0,4,4,1,0,0,3,1,7,+6
Klay Thompson,8:19,4,4,1.000,2,2,1.000,0,0,,0,1,1,1,0,0,0,1,10,+6
Draymond Green,8:17,0,0,,0,0,,0,0,,1,0,1,2,0,0,0,1,0,+6
