,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,35:25,9,23,.391,5,14,.357,5,6,.833,1,5,6,5,1,0,2,2,28,-5
Draymond Green,34:28,3,9,.333,0,2,.000,0,0,,2,5,7,3,2,1,4,3,6,-9
Klay Thompson,33:04,7,17,.412,2,8,.250,0,0,,1,2,3,2,3,0,2,0,16,+5
Moses Moody,26:31,3,8,.375,1,3,.333,2,3,.667,1,1,2,2,0,0,0,1,9,-23
Trayce Jackson-Davis,19:43,3,8,.375,0,0,,2,4,.500,5,3,8,1,1,1,1,0,8,-26
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Paul,30:59,3,7,.429,1,4,.250,2,2,1.000,0,5,5,8,4,1,3,4,9,+22
Brandin Podziemski,25:00,6,11,.545,2,2,1.000,0,0,,1,3,4,5,0,0,2,4,14,-1
Gary Payton II,24:25,6,7,.857,1,2,.500,1,1,1.000,0,2,2,1,1,2,1,4,14,+14
Kevon Looney,10:22,1,3,.333,0,0,,0,2,.000,0,7,7,0,0,0,0,1,2,+13
Jonathan Kuminga,Did Not Dress
Lester Quinones,Did Not Play
Jerome Robinson,Did Not Play
Team Totals,240,41,93,.441,12,35,.343,12,18,.667,11,33,44,27,12,5,15,19,106,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,9:05,1,4,.250,1,2,.500,2,2,1.000,0,2,2,2,0,0,1,0,5,-11
Draymond Green,7:47,0,3,.000,0,0,,0,0,,1,2,3,0,1,0,0,0,0,-16
Klay Thompson,8:33,2,7,.286,0,2,.000,0,0,,0,0,0,2,0,0,0,0,4,+1
Moses Moody,7:47,0,2,.000,0,1,.000,2,3,.667,0,0,0,0,0,0,0,0,2,-15
Trayce Jackson-Davis,6:15,2,4,.500,0,0,,1,2,.500,4,1,5,0,0,0,1,0,5,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Paul,4:13,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,5,+17
Brandin Podziemski,6:22,2,2,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,1,5,+12
Gary Payton II,5:45,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,4,+10
Kevon Looney,4:13,1,1,1.000,0,0,,0,0,,0,4,4,0,0,0,0,1,2,+17
