,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Giddey,35:28,6,17,.353,0,2,.000,2,2,1.000,2,7,9,12,1,0,5,2,14,-1
Luguentz Dort,31:55,8,15,.533,2,7,.286,4,5,.800,0,2,2,1,0,0,2,3,22,+3
Isaiah Joe,31:52,3,8,.375,2,5,.400,2,2,1.000,2,2,4,3,1,0,0,0,10,+3
Chet Holmgren,28:07,4,12,.333,1,6,.167,6,8,.750,0,8,8,0,0,3,2,4,15,+5
Gordon Hayward,13:18,2,3,.667,0,0,,3,3,1.000,0,0,0,0,1,0,0,0,7,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,25:37,7,7,1.000,2,2,1.000,2,2,1.000,3,5,8,3,0,1,2,3,18,-10
Cason Wallace,20:46,1,5,.200,0,1,.000,0,0,,0,1,1,1,3,1,2,3,2,-29
Lindy Waters III,17:32,5,9,.556,1,5,.200,1,1,1.000,1,3,4,3,2,0,0,0,12,-12
Aaron Wiggins,16:20,2,5,.400,0,1,.000,0,0,,0,1,1,1,0,0,0,2,4,-15
Jaylin Williams,12:13,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,1,2,0,4,-21
Mike Muscala,6:52,2,2,1.000,0,0,,0,1,.000,1,0,1,0,0,0,0,0,4,+3
Bismack Biyombo,Did Not Play
Team Totals,240,42,86,.488,8,30,.267,20,24,.833,9,30,39,24,8,6,15,17,112,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Giddey,6:53,3,4,.750,0,0,,0,0,,0,2,2,2,0,0,0,0,6,+6
Luguentz Dort,9:44,3,4,.750,1,2,.500,0,0,,0,0,0,0,0,0,1,1,7,+8
Isaiah Joe,9:11,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,0,0,2,+6
Chet Holmgren,8:58,2,4,.500,0,1,.000,2,2,1.000,0,3,3,0,0,1,2,3,6,+7
Gordon Hayward,7:37,1,1,1.000,0,0,,3,3,1.000,0,0,0,0,0,0,0,0,5,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,4:23,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,-6
Cason Wallace,2:16,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-7
Lindy Waters III, 
Aaron Wiggins,5:29,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-8
Jaylin Williams,5:29,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,1,0,0,4,-8
Mike Muscala, 
Bismack Biyombo,Did Not Play
Team Totals,60,13,20,.650,1,5,.200,5,5,1.000,0,6,6,7,0,2,3,5,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Giddey,9:51,1,4,.250,0,1,.000,1,1,1.000,0,1,1,5,0,0,2,2,3,-6
Luguentz Dort,7:05,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,1,1,2,-6
Isaiah Joe,5:41,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,-3
Chet Holmgren,4:34,1,2,.500,0,1,.000,2,4,.500,0,2,2,0,0,0,0,0,4,-5
Gordon Hayward,5:41,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,6:19,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,4,-8
Cason Wallace,6:19,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,0,0,-8
Lindy Waters III,7:04,3,6,.500,0,3,.000,1,1,1.000,1,1,2,0,2,0,0,0,7,-10
Aaron Wiggins, 
Jaylin Williams,4:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-7
Mike Muscala,3:14,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+1
Bismack Biyombo,Did Not Play
Team Totals,60,11,23,.478,1,8,.125,4,6,.667,2,7,9,6,5,0,5,4,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Giddey,16:44,4,8,.500,0,1,.000,1,1,1.000,0,3,3,7,0,0,2,2,9,0
Luguentz Dort,16:49,4,8,.500,1,4,.250,0,0,,0,0,0,0,0,0,2,2,9,+2
Isaiah Joe,14:52,2,4,.500,1,2,.500,0,0,,0,0,0,2,1,0,0,0,5,+3
Chet Holmgren,13:32,3,6,.500,0,2,.000,4,6,.667,0,5,5,0,0,1,2,3,10,+2
Gordon Hayward,13:18,2,3,.667,0,0,,3,3,1.000,0,0,0,0,1,0,0,0,7,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,10:42,2,2,1.000,0,0,,0,0,,0,2,2,2,0,0,1,1,4,-14
Cason Wallace,8:35,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,0,0,2,-15
Lindy Waters III,7:04,3,6,.500,0,3,.000,1,1,1.000,1,1,2,0,2,0,0,0,7,-10
Aaron Wiggins,5:29,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-8
Jaylin Williams,9:41,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,1,1,0,4,-15
Mike Muscala,3:14,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+1
Bismack Biyombo,Did Not Play
Team Totals,120,24,43,.558,2,13,.154,9,11,.818,2,13,15,13,5,2,8,9,59,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Giddey,10:39,2,8,.250,0,1,.000,1,1,1.000,1,1,2,2,1,0,1,0,5,+2
Luguentz Dort,10:34,1,3,.333,0,2,.000,3,4,.750,0,2,2,1,0,0,0,0,5,-1
Isaiah Joe,8:38,1,2,.500,1,2,.500,2,2,1.000,2,1,3,0,0,0,0,0,5,+5
Chet Holmgren,9:28,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,1,0,1,3,+5
Gordon Hayward, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,8:02,2,2,1.000,1,1,1.000,2,2,1.000,2,1,3,1,0,1,0,0,7,+5
Cason Wallace,4:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-9
Lindy Waters III,1:26,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,0
Aaron Wiggins,3:58,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-6
Jaylin Williams,2:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-6
Mike Muscala, 
Bismack Biyombo,Did Not Play
Team Totals,60,9,21,.429,4,9,.444,8,9,.889,5,7,12,4,1,2,3,3,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Giddey,8:05,0,1,.000,0,0,,0,0,,1,3,4,3,0,0,2,0,0,-3
Luguentz Dort,4:32,3,4,.750,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,1,8,+2
Isaiah Joe,8:22,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-5
Chet Holmgren,5:07,0,3,.000,0,2,.000,2,2,1.000,0,1,1,0,0,1,0,0,2,-2
Gordon Hayward, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,6:53,3,3,1.000,1,1,1.000,0,0,,1,2,3,0,0,0,1,2,7,-1
Cason Wallace,7:28,0,3,.000,0,1,.000,0,0,,0,0,0,0,2,1,1,2,0,-5
Lindy Waters III,9:02,1,2,.500,0,1,.000,0,0,,0,2,2,3,0,0,0,0,2,-2
Aaron Wiggins,6:53,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-1
Jaylin Williams, 
Mike Muscala,3:38,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,+2
Bismack Biyombo,Did Not Play
Team Totals,60,9,22,.409,2,8,.250,3,4,.750,2,10,12,7,2,2,4,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Giddey,18:44,2,9,.222,0,1,.000,1,1,1.000,2,4,6,5,1,0,3,0,5,-1
Luguentz Dort,15:06,4,7,.571,1,3,.333,4,5,.800,0,2,2,1,0,0,0,1,13,+1
Isaiah Joe,17:00,1,4,.250,1,3,.333,2,2,1.000,2,2,4,1,0,0,0,0,5,0
Chet Holmgren,14:35,1,6,.167,1,4,.250,2,2,1.000,0,3,3,0,0,2,0,1,5,+3
Gordon Hayward, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kenrich Williams,14:55,5,5,1.000,2,2,1.000,2,2,1.000,3,3,6,1,0,1,1,2,14,+4
Cason Wallace,12:11,0,3,.000,0,1,.000,0,0,,0,0,0,0,2,1,2,3,0,-14
Lindy Waters III,10:28,2,3,.667,1,2,.500,0,0,,0,2,2,3,0,0,0,0,5,-2
Aaron Wiggins,10:51,2,5,.400,0,1,.000,0,0,,0,1,1,0,0,0,0,1,4,-7
Jaylin Williams,2:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-6
Mike Muscala,3:38,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,+2
Bismack Biyombo,Did Not Play
Team Totals,120,18,43,.419,6,17,.353,11,13,.846,7,17,24,11,3,4,7,8,53,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Giddey,35:28,.391,.353,.118,.118,6.8,24.9,15.6,47.9,1.4,0.0,21.9,27.8,91,127,-3.0
Luguentz Dort,31:55,.640,.600,.467,.333,0.0,7.9,3.9,5.0,0.0,0.0,10.4,25.9,115,133,-4.2
Isaiah Joe,31:52,.563,.500,.625,.250,7.5,7.9,7.7,12.1,1.5,0.0,0.0,12.0,136,130,0.5
Chet Holmgren,28:07,.483,.375,.500,.667,0.0,35.9,17.5,0.0,0.0,9.7,11.4,26.8,91,121,-8.4
Gordon Hayward,13:18,.810,.667,.000,1.000,0.0,0.0,0.0,0.0,3.6,0.0,0.0,14.0,171,126,3.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kenrich Williams,25:37,1.142,1.143,.286,.286,14.1,24.7,19.2,19.5,0.0,3.5,20.2,16.6,176,127,13.5
Cason Wallace,20:46,.200,.200,.200,.000,0.0,6.1,3.0,5.8,6.9,4.4,28.6,14.5,38,114,-8.7
Lindy Waters III,17:32,.636,.611,.556,.111,6.8,21.6,14.0,29.0,5.5,0.0,0.0,23.2,142,118,13.9
Aaron Wiggins,16:20,.400,.400,.200,.000,0.0,7.7,3.8,8.1,0.0,0.0,0.0,13.2,92,133,-11.2
Jaylin Williams,12:13,.667,.667,.333,.000,0.0,10.3,5.0,0.0,0.0,7.4,40.0,17.6,69,127,-9.1
Mike Muscala,6:52,.820,1.000,.000,.500,17.5,0.0,9.0,0.0,0.0,0.0,0.0,15.3,160,134,2.8
Bismack Biyombo,Did Not Play
Team Totals,240,.580,.535,.349,.279,22.5,78.9,50.0,57.1,8.0,11.3,13.4,100.0,112.0,126.0,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,35:42,3,8,.375,2,6,.333,0,0,,0,2,2,11,1,0,2,1,8,0
Pascal Siakam,29:37,8,10,.800,1,1,1.000,4,5,.800,1,4,5,2,0,0,1,5,21,-5
Andrew Nembhard,27:14,1,5,.200,1,4,.250,0,0,,0,3,3,2,1,0,2,2,3,-8
Aaron Nesmith,25:15,6,10,.600,4,7,.571,1,1,1.000,0,4,4,1,1,0,2,4,17,+2
Myles Turner,17:34,6,11,.545,2,3,.667,2,2,1.000,0,3,3,0,1,1,1,4,16,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Obi Toppin,25:09,6,10,.600,1,3,.333,2,2,1.000,2,6,8,1,2,1,1,1,15,+18
Ben Sheppard,22:45,3,10,.300,2,6,.333,0,0,,1,1,2,0,2,0,1,1,8,+12
T.J. McConnell,20:46,7,12,.583,0,0,,2,2,1.000,2,3,5,10,0,1,2,1,16,+22
Jalen Smith,12:38,3,6,.500,0,2,.000,6,7,.857,2,4,6,2,0,0,1,0,12,+11
Doug McDermott,12:18,2,4,.500,2,3,.667,0,0,,0,1,1,1,0,0,0,1,6,+14
Isaiah Jackson,11:02,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,2,0,3,4,+6
Kendall Brown,Did Not Play
Quenton Jackson,Did Not Play
James Johnson,Did Not Play
Jarace Walker,Did Not Play
Team Totals,240,46,88,.523,15,35,.429,19,21,.905,8,31,39,30,8,5,13,23,126,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,9:44,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-8
Pascal Siakam,7:37,3,4,.750,0,0,,0,0,,1,0,1,2,0,0,0,0,6,-7
Andrew Nembhard,6:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-9
Aaron Nesmith,3:48,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,1,2,3,0
Myles Turner,7:37,2,5,.400,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,6,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Obi Toppin,4:23,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+6
Ben Sheppard,8:12,2,6,.333,1,4,.250,0,0,,0,1,1,0,0,0,1,1,5,-1
T.J. McConnell,5:29,1,2,.500,0,0,,0,0,,1,1,2,3,0,0,1,1,2,+8
