,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Omer Yurtseven,21:03,6,10,.600,0,0,,0,0,,5,2,7,1,1,0,1,0,12,-20
Keyonte George,18:47,2,9,.222,0,4,.000,2,2,1.000,0,2,2,5,0,0,5,2,6,-13
Collin Sexton,17:52,3,14,.214,2,6,.333,4,4,1.000,3,0,3,2,0,0,2,1,12,-25
Brice Sensabaugh,13:27,1,4,.250,0,1,.000,2,2,1.000,0,4,4,1,0,1,1,4,4,-20
Taylor Hendricks,12:21,2,3,.667,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,5,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Bazley,33:28,4,8,.500,1,3,.333,3,5,.600,1,5,6,0,3,1,3,0,12,-12
Johnny Juzang,31:45,3,8,.375,2,5,.400,1,2,.500,2,5,7,3,1,1,0,1,9,-13
Talen Horton-Tucker,26:24,5,14,.357,2,5,.400,5,7,.714,0,3,3,1,2,0,1,2,17,-16
Kris Dunn,23:36,3,5,.600,0,1,.000,4,5,.800,1,0,1,1,1,0,1,3,10,+5
Jason Preston,16:56,3,6,.500,0,1,.000,0,0,,1,3,4,6,1,0,0,1,6,-10
Kenneth Lofton Jr.,12:00,3,7,.429,1,2,.500,0,0,,1,0,1,0,0,0,0,0,7,-4
Micah Potter,8:58,0,2,.000,0,1,.000,2,2,1.000,0,2,2,0,2,1,1,2,2,+3
Luka Šamanić,3:22,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Kira Lewis Jr.,Did Not Play
Team Totals,240,35,91,.385,9,30,.300,23,29,.793,14,29,43,20,11,4,15,16,102,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Omer Yurtseven,7:46,1,1,1.000,0,0,,0,0,,1,0,1,0,1,0,0,0,2,-20
Keyonte George,5:35,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,1,0,-19
Collin Sexton,5:35,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-19
Brice Sensabaugh,5:35,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,3,0,-19
Taylor Hendricks,5:35,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Bazley,4:14,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,1,0,1,0,1,-5
Johnny Juzang,6:25,1,5,.200,1,4,.250,0,0,,1,0,1,1,1,0,0,0,3,-6
Talen Horton-Tucker,0:51,0,1,.000,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,1,-1
Kris Dunn,6:25,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
Jason Preston,6:25,2,3,.667,0,0,,0,0,,0,2,2,1,1,0,0,0,4,-6
Kenneth Lofton Jr., 
Micah Potter,2:11,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Luka Šamanić,3:22,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Kira Lewis Jr.,Did Not Play
Team Totals,60,6,24,.250,2,10,.200,2,3,.667,2,5,7,4,4,0,4,5,16,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Omer Yurtseven,8:04,3,6,.500,0,0,,0,0,,3,1,4,0,0,0,0,0,6,-4
Keyonte George, 
Collin Sexton,8:38,1,8,.125,1,4,.250,4,4,1.000,2,0,2,0,0,0,1,1,7,-6
Brice Sensabaugh, 
Taylor Hendricks, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Bazley,12:00,1,3,.333,0,1,.000,0,0,,0,2,2,0,2,1,0,0,2,-8
Johnny Juzang,9:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-12
Talen Horton-Tucker,12:00,3,8,.375,2,3,.667,2,2,1.000,0,1,1,1,2,0,0,2,10,-8
Kris Dunn,6:44,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,0
Jason Preston,3:22,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,1,0,-2
Kenneth Lofton Jr., 
Micah Potter, 
Luka Šamanić, 
Kira Lewis Jr.,Did Not Play
Team Totals,60,8,26,.308,3,8,.375,7,8,.875,5,6,11,3,4,1,2,5,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Omer Yurtseven,15:50,4,7,.571,0,0,,0,0,,4,1,5,0,1,0,0,0,8,-24
Keyonte George,5:35,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,1,0,-19
Collin Sexton,14:13,2,11,.182,1,4,.250,4,4,1.000,2,0,2,1,0,0,2,1,9,-25
Brice Sensabaugh,5:35,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,3,0,-19
Taylor Hendricks,5:35,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Bazley,16:14,1,4,.250,0,2,.000,1,2,.500,0,2,2,0,3,1,1,0,3,-13
Johnny Juzang,15:37,1,5,.200,1,4,.250,0,0,,1,1,2,1,1,0,0,1,3,-18
Talen Horton-Tucker,12:51,3,9,.333,2,4,.500,3,3,1.000,0,1,1,1,2,0,0,2,11,-9
Kris Dunn,13:09,0,2,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,1,1,1,-6
Jason Preston,9:47,2,4,.500,0,0,,0,0,,0,3,3,3,1,0,0,1,4,-8
Kenneth Lofton Jr., 
Micah Potter,2:11,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Luka Šamanić,3:22,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Kira Lewis Jr.,Did Not Play
Team Totals,120,14,50,.280,5,18,.278,9,11,.818,7,11,18,7,8,1,6,10,42,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Omer Yurtseven,5:13,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,1,0,4,+4
Keyonte George,8:21,1,5,.200,0,2,.000,2,2,1.000,0,1,1,3,0,0,1,0,4,+8
Collin Sexton,3:39,1,3,.333,1,2,.500,0,0,,1,0,1,1,0,0,0,0,3,0
Brice Sensabaugh,3:01,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+1
Taylor Hendricks,3:01,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Bazley,8:59,2,3,.667,1,1,1.000,2,3,.667,1,0,1,0,0,0,0,0,7,+7
Johnny Juzang,8:59,2,2,1.000,1,1,1.000,1,2,.500,1,1,2,2,0,0,0,0,6,+7
Talen Horton-Tucker,1:33,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,1,0,0,-3
Kris Dunn,10:27,3,3,1.000,0,0,,3,3,1.000,1,0,1,1,1,0,0,2,9,+11
Jason Preston, 
Kenneth Lofton Jr., 
Micah Potter,6:47,0,0,,0,0,,2,2,1.000,0,2,2,0,2,1,1,2,2,+4
Luka Šamanić, 
Kira Lewis Jr.,Did Not Play
Team Totals,60,12,21,.571,3,6,.500,10,14,.714,5,6,11,8,3,2,4,4,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Omer Yurtseven, 
Keyonte George,4:51,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,2,1,2,-2
Collin Sexton, 
Brice Sensabaugh,4:51,1,1,1.000,0,0,,2,2,1.000,0,3,3,1,0,0,1,1,4,-2
Taylor Hendricks,3:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Bazley,8:15,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,2,0,2,-6
Johnny Juzang,7:09,0,1,.000,0,0,,0,0,,0,3,3,0,0,1,0,0,0,-2
Talen Horton-Tucker,12:00,2,5,.400,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,6,-4
Kris Dunn, 
