,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julian Champagnie,37:49,6,11,.545,2,7,.286,1,1,1.000,0,4,4,4,1,4,1,0,15,-7
Malaki Branham,34:17,5,10,.500,4,7,.571,0,0,,0,1,1,2,1,0,4,3,14,+12
Victor Wembanyama,33:58,5,12,.417,3,6,.500,4,4,1.000,2,10,12,9,1,3,2,1,17,+4
Tre Jones,33:06,6,9,.667,2,4,.500,0,0,,0,2,2,4,2,0,3,2,14,0
Sandro Mamukelashvili,26:58,7,11,.636,1,3,.333,0,1,.000,1,4,5,2,1,1,0,3,15,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zach Collins,27:24,7,11,.636,1,3,.333,0,1,.000,2,5,7,3,0,0,1,2,15,+3
Devonte' Graham,24:34,6,15,.400,4,12,.333,4,4,1.000,1,1,2,5,3,0,0,1,20,+5
Blake Wesley,15:55,0,3,.000,0,3,.000,1,2,.500,0,1,1,5,0,0,4,0,1,-5
Sidy Cissoko,5:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-8
Jamaree Bouyea,Did Not Play
David Duke Jr.,Did Not Play
RaiQuan Gray,Did Not Play
Team Totals,240,42,83,.506,17,46,.370,10,13,.769,6,28,34,34,9,8,16,13,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julian Champagnie,10:44,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-7
Malaki Branham,7:03,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,1,3,-5
Victor Wembanyama,5:53,0,2,.000,0,1,.000,2,2,1.000,1,1,2,1,0,0,1,0,2,-3
Tre Jones,7:09,1,3,.333,0,2,.000,0,0,,0,0,0,1,1,0,1,0,2,-5
Sandro Mamukelashvili,7:32,2,4,.500,0,1,.000,0,1,.000,0,2,2,0,0,0,0,0,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zach Collins,6:07,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,0,0,0,3,-6
Devonte' Graham,4:57,1,2,.500,0,1,.000,2,2,1.000,0,0,0,1,3,0,0,0,4,-4
Blake Wesley,6:07,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,-6
Sidy Cissoko,4:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-6
Jamaree Bouyea,Did Not Play
David Duke Jr.,Did Not Play
RaiQuan Gray,Did Not Play
Team Totals,60,6,20,.300,2,13,.154,4,5,.800,1,6,7,6,4,0,4,2,18,
,Basic Box Score Stats
