,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,26:32,5,10,.500,2,5,.400,5,7,.714,1,4,5,5,2,1,1,3,17,+9
Tyrese Maxey,25:13,2,6,.333,1,4,.250,2,2,1.000,0,1,1,5,0,0,0,2,7,+8
Joel Embiid,22:39,9,13,.692,2,2,1.000,10,13,.769,3,9,12,1,0,2,8,2,30,+15
Nicolas Batum,20:58,3,5,.600,3,5,.600,0,0,,1,2,3,0,0,0,0,0,9,+7
Kyle Lowry,20:48,3,4,.750,2,3,.667,0,0,,0,1,1,1,0,1,0,4,8,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Buddy Hield,25:33,3,12,.250,1,7,.143,0,0,,0,1,1,1,2,1,1,3,7,+11
Paul Reed,23:00,3,4,.750,0,0,,0,0,,0,5,5,5,4,0,3,1,6,+19
KJ Martin,22:19,5,7,.714,0,0,,0,0,,3,3,6,1,0,2,3,3,10,+2
Cameron Payne,20:28,1,7,.143,1,6,.167,0,0,,0,1,1,4,2,2,2,2,3,+19
Jeff Dowtin,14:20,4,5,.800,2,3,.667,1,1,1.000,1,4,5,2,0,0,0,0,11,+2
Ricky Council IV,12:00,1,3,.333,1,2,.500,0,0,,0,0,0,1,1,0,0,0,3,+4
Terquavion Smith,6:09,2,3,.667,1,2,.500,0,0,,0,1,1,1,1,0,1,2,5,-3
Mo Bamba,Did Not Dress
Team Totals,240,41,79,.519,16,39,.410,18,23,.783,9,32,41,27,12,9,19,22,116,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,8:34,2,4,.500,1,3,.333,2,2,1.000,0,0,0,0,2,1,0,1,7,+3
Tyrese Maxey,10:42,1,3,.333,1,3,.333,2,2,1.000,0,1,1,4,0,0,0,0,5,+5
