,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,34:14,8,16,.500,4,11,.364,5,5,1.000,0,2,2,1,0,0,1,1,25,-1
Collin Sexton,27:10,5,15,.333,0,2,.000,5,6,.833,0,2,2,7,1,1,3,0,15,-12
Brice Sensabaugh,27:05,4,7,.571,1,2,.500,0,0,,0,3,3,3,0,1,1,2,9,+1
Taylor Hendricks,26:16,3,7,.429,3,6,.500,1,2,.500,0,3,3,2,0,1,3,0,10,+2
Omer Yurtseven,19:13,4,7,.571,0,0,,0,0,,1,6,7,0,0,0,0,0,8,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Johnny Juzang,33:11,9,12,.750,7,8,.875,2,3,.667,0,2,2,1,1,0,2,4,27,+1
Darius Bazley,30:12,2,3,.667,0,0,,2,2,1.000,2,2,4,2,0,2,1,1,6,-6
Micah Potter,20:55,2,8,.250,0,3,.000,1,1,1.000,3,2,5,3,1,1,0,1,5,-9
Kira Lewis Jr.,16:22,2,4,.500,0,1,.000,1,2,.500,0,1,1,2,1,0,0,0,5,-6
Luka Šamanić,5:22,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Talen Horton-Tucker,Did Not Play
Kenneth Lofton Jr.,Did Not Play
Jason Preston,Did Not Play
Team Totals,240,39,83,.470,15,35,.429,17,21,.810,6,23,29,21,4,6,11,9,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,9:18,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,0,0,0,5,-11
Collin Sexton,8:28,2,5,.400,0,1,.000,0,0,,0,1,1,2,0,1,0,0,4,-7
Brice Sensabaugh,7:11,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-9
Taylor Hendricks,5:46,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-5
Omer Yurtseven,7:11,2,4,.500,0,0,,0,0,,0,3,3,0,0,0,0,0,4,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Johnny Juzang,4:49,4,5,.800,4,4,1.000,0,0,,0,0,0,0,1,0,0,1,12,-4
Darius Bazley,6:14,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,1,0,0,-8
Micah Potter,4:49,0,1,.000,0,0,,0,0,,0,1,1,1,0,1,0,0,0,-4
Kira Lewis Jr.,6:14,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-8
Luka Šamanić, 
Talen Horton-Tucker,Did Not Play
Kenneth Lofton Jr.,Did Not Play
Jason Preston,Did Not Play
Team Totals,60,11,24,.458,6,10,.600,0,0,,0,6,6,8,1,2,2,2,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,6:38,0,2,.000,0,1,.000,4,4,1.000,0,1,1,0,0,0,0,1,4,+3
Collin Sexton,5:22,1,2,.500,0,1,.000,2,3,.667,0,0,0,1,1,0,0,0,4,-4
Brice Sensabaugh,6:02,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,1,0,0,5,+6
Taylor Hendricks,6:38,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,0,0,1,+3
Omer Yurtseven,6:02,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Johnny Juzang,12:00,4,6,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,0,10,-1
Darius Bazley,5:58,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-7
Micah Potter,5:58,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,0,0,0,-7
Kira Lewis Jr., 
Luka Šamanić,5:22,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Talen Horton-Tucker,Did Not Play
Kenneth Lofton Jr.,Did Not Play
Jason Preston,Did Not Play
Team Totals,60,7,20,.350,3,12,.250,9,11,.818,1,7,8,4,1,1,0,1,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,15:56,2,6,.333,1,4,.250,4,4,1.000,0,1,1,0,0,0,0,1,9,-8
Collin Sexton,13:50,3,7,.429,0,2,.000,2,3,.667,0,1,1,3,1,1,0,0,8,-11
Brice Sensabaugh,13:13,2,4,.500,1,2,.500,0,0,,0,2,2,2,0,1,1,1,5,-3
Taylor Hendricks,12:24,1,4,.250,1,3,.333,1,2,.500,0,0,0,1,0,0,0,0,4,-2
Omer Yurtseven,13:13,2,4,.500,0,0,,0,0,,0,5,5,0,0,0,0,0,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Johnny Juzang,16:49,8,11,.727,6,7,.857,0,0,,0,1,1,0,1,0,0,1,22,-5
Darius Bazley,12:12,0,1,.000,0,0,,2,2,1.000,0,2,2,2,0,0,1,0,2,-15
Micah Potter,10:47,0,3,.000,0,2,.000,0,0,,1,1,2,2,0,1,0,0,0,-11
Kira Lewis Jr.,6:14,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-8
Luka Šamanić,5:22,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Talen Horton-Tucker,Did Not Play
Kenneth Lofton Jr.,Did Not Play
Jason Preston,Did Not Play
Team Totals,120,18,44,.409,9,22,.409,9,11,.818,1,13,14,12,2,3,2,3,54,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,9:37,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,1,0,2,-3
Collin Sexton,10:01,2,6,.333,0,0,,3,3,1.000,0,0,0,3,0,0,3,0,7,-3
Brice Sensabaugh,7:38,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Taylor Hendricks,7:38,2,2,1.000,2,2,1.000,0,0,,0,1,1,1,0,1,2,0,6,0
Omer Yurtseven,6:00,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,0,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Johnny Juzang,4:22,0,0,,0,0,,2,3,.667,0,0,0,0,0,0,0,2,2,-6
Darius Bazley,6:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-3
Micah Potter,4:22,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-6
Kira Lewis Jr.,4:22,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Luka Šamanić, 
Talen Horton-Tucker,Did Not Play
Kenneth Lofton Jr.,Did Not Play
Jason Preston,Did Not Play
Team Totals,60,8,19,.421,2,6,.333,5,6,.833,2,3,5,5,0,1,6,4,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,8:41,5,7,.714,3,5,.600,1,1,1.000,0,1,1,1,0,0,0,0,14,+10
Collin Sexton,3:19,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+2
Brice Sensabaugh,6:14,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,4,+4
Taylor Hendricks,6:14,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,0,0,+4
Omer Yurtseven, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Johnny Juzang,12:00,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,2,1,3,+12
Darius Bazley,12:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,2,0,1,2,+12
Micah Potter,5:46,2,4,.500,0,0,,1,1,1.000,2,0,2,0,1,0,0,0,5,+8
Kira Lewis Jr.,5:46,2,2,1.000,0,0,,1,2,.500,0,1,1,0,1,0,0,0,5,+8
Luka Šamanić, 
Talen Horton-Tucker,Did Not Play
Kenneth Lofton Jr.,Did Not Play
Jason Preston,Did Not Play
Team Totals,60,13,20,.650,4,7,.571,3,4,.750,3,7,10,4,2,2,3,2,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,18:18,6,10,.600,3,7,.429,1,1,1.000,0,1,1,1,0,0,1,0,16,+7
Collin Sexton,13:20,2,8,.250,0,0,,3,3,1.000,0,1,1,4,0,0,3,0,7,-1
Brice Sensabaugh,13:52,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,0,1,4,+4
Taylor Hendricks,13:52,2,3,.667,2,3,.667,0,0,,0,3,3,1,0,1,3,0,6,+4
Omer Yurtseven,6:00,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,0,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Johnny Juzang,16:22,1,1,1.000,1,1,1.000,2,3,.667,0,1,1,1,0,0,2,3,5,+6
Darius Bazley,18:00,2,2,1.000,0,0,,0,0,,2,0,2,0,0,2,0,1,4,+9
Micah Potter,10:08,2,5,.400,0,1,.000,1,1,1.000,2,1,3,1,1,0,0,1,5,+2
Kira Lewis Jr.,10:08,2,4,.500,0,1,.000,1,2,.500,0,1,1,0,1,0,0,0,5,+2
Luka Šamanić, 
Talen Horton-Tucker,Did Not Play
Kenneth Lofton Jr.,Did Not Play
Jason Preston,Did Not Play
