,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,40:02,13,22,.591,0,0,,4,7,.571,0,3,3,5,0,0,7,1,30,-12
Coby White,37:36,4,11,.364,1,5,.200,2,2,1.000,0,2,2,6,0,0,3,3,11,-18
Ayo Dosunmu,35:32,4,7,.571,3,3,1.000,3,4,.750,1,4,5,4,2,2,5,3,14,-7
Nikola Vučević,31:11,1,9,.111,0,4,.000,6,7,.857,1,4,5,2,0,0,2,2,8,-14
Javonte Green,21:53,6,7,.857,2,3,.667,1,2,.500,1,7,8,1,1,3,1,3,15,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Drummond,24:31,7,9,.778,0,0,,0,0,,4,6,10,0,2,0,0,2,14,+4
Torrey Craig,18:44,0,2,.000,0,2,.000,0,0,,1,0,1,1,1,0,1,0,0,-7
Dalen Terry,15:12,1,4,.250,0,2,.000,0,0,,0,2,2,0,1,0,1,2,2,-2
Onuralp Bitim,10:52,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,4,-5
Henri Drell,1:29,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1
Andrew Funk,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Adama Sanogo,1:29,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Jevon Carter,Did Not Play
Team Totals,240,38,75,.507,6,20,.300,16,22,.727,8,29,37,20,7,5,21,17,98,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,9:33,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,3,1,2,-12
Coby White,10:50,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,0,2,1,0,-15
Ayo Dosunmu,9:39,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-17
Nikola Vučević,8:29,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-15
