,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,41:14,11,19,.579,2,6,.333,8,12,.667,1,9,10,5,2,3,4,3,32,+1
Jordan Poole,39:59,10,23,.435,4,10,.400,5,5,1.000,1,3,4,12,2,0,3,2,29,0
Corey Kispert,39:33,7,13,.538,5,7,.714,2,4,.500,0,3,3,3,0,0,3,4,21,-7
Tristan Vukcevic,23:24,4,10,.400,1,5,.200,2,2,1.000,3,6,9,4,0,3,2,4,11,+5
Johnny Davis,6:19,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Patrick Baldwin Jr.,33:26,5,10,.500,3,7,.429,3,4,.750,1,10,11,1,2,2,0,5,16,+10
Eugene Omoruyi,21:00,1,6,.167,0,2,.000,2,3,.667,1,0,1,2,2,0,0,1,4,-14
Jared Butler,16:50,3,4,.750,1,1,1.000,0,0,,0,3,3,2,0,1,2,3,7,-10
Justin Champagnie,13:55,1,3,.333,0,2,.000,0,0,,1,0,1,0,1,1,1,0,2,-8
Jules Bernard,4:20,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1
Anthony Gill,Did Not Dress
Richaun Holmes,Did Not Dress
Team Totals,240,42,89,.472,16,40,.400,22,30,.733,8,35,43,29,9,11,15,25,122,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,9:34,1,6,.167,1,3,.333,1,2,.500,0,0,0,1,1,0,2,0,4,-17
Jordan Poole,10:15,0,2,.000,0,1,.000,2,2,1.000,0,1,1,3,1,0,1,1,2,-16
Corey Kispert,7:41,2,3,.667,2,2,1.000,0,0,,0,1,1,0,0,0,1,1,6,-23
Tristan Vukcevic,5:19,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,0,0,-11
Johnny Davis,6:19,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Patrick Baldwin Jr.,5:41,1,1,1.000,0,0,,1,2,.500,0,3,3,0,0,0,0,1,3,-9
Eugene Omoruyi,6:35,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-14
Jared Butler,6:10,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,0,2,-11
Justin Champagnie,2:26,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-8
Jules Bernard, 
Anthony Gill,Did Not Dress
Richaun Holmes,Did Not Dress
Team Totals,60,5,17,.294,3,9,.333,4,6,.667,0,9,9,4,2,1,8,5,17,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,12:00,5,5,1.000,0,0,,3,5,.600,0,3,3,1,1,2,1,0,13,+12
Jordan Poole,12:00,3,6,.500,2,4,.500,0,0,,0,2,2,5,0,0,1,0,8,+12
Corey Kispert,12:00,4,5,.800,2,3,.667,0,0,,0,1,1,2,0,0,0,0,10,+12
Tristan Vukcevic,5:19,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,2,0,1,2,+12
Johnny Davis, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Patrick Baldwin Jr.,12:00,0,2,.000,0,2,.000,0,0,,0,3,3,1,2,2,0,1,0,+12
Eugene Omoruyi,6:41,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,1,0,0
Jared Butler, 
Justin Champagnie, 
Jules Bernard, 
Anthony Gill,Did Not Dress
Richaun Holmes,Did Not Dress
Team Totals,60,13,22,.591,4,10,.400,3,5,.600,0,10,10,11,4,6,2,3,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,21:34,6,11,.545,1,3,.333,4,7,.571,0,3,3,2,2,2,3,0,17,-5
Jordan Poole,22:15,3,8,.375,2,5,.400,2,2,1.000,0,3,3,8,1,0,2,1,10,-4
Corey Kispert,19:41,6,8,.750,4,5,.800,0,0,,0,2,2,2,0,0,1,1,16,-11
Tristan Vukcevic,10:38,1,4,.250,0,2,.000,0,0,,0,3,3,1,0,2,2,1,2,+1
Johnny Davis,6:19,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Patrick Baldwin Jr.,17:41,1,3,.333,0,2,.000,1,2,.500,0,6,6,1,2,2,0,2,3,+3
Eugene Omoruyi,13:16,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,1,0,-14
Jared Butler,6:10,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,0,2,-11
Justin Champagnie,2:26,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-8
Jules Bernard, 
Anthony Gill,Did Not Dress
Richaun Holmes,Did Not Dress
Team Totals,120,18,39,.462,7,19,.368,7,11,.636,0,19,19,15,6,7,10,8,50,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
