,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,37:18,6,15,.400,2,8,.250,4,5,.800,2,6,8,9,2,3,2,3,18,+24
Luka Dončić,34:45,13,25,.520,8,17,.471,5,7,.714,2,10,12,10,0,1,4,2,39,+22
P.J. Washington,28:09,0,7,.000,0,6,.000,1,2,.500,2,5,7,3,1,0,3,3,1,+10
Daniel Gafford,24:45,12,12,1.000,0,0,,2,4,.500,2,5,7,1,1,2,0,1,26,+11
Derrick Jones Jr.,24:27,4,8,.500,1,5,.200,0,0,,2,1,3,3,0,1,0,2,9,+22
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,22:37,6,10,.600,3,7,.429,0,0,,0,4,4,1,1,0,1,0,15,+1
Dante Exum,20:07,1,5,.200,0,3,.000,0,0,,1,3,4,3,0,0,0,3,2,+15
Maxi Kleber,19:23,4,5,.800,2,3,.667,0,0,,4,2,6,1,0,0,1,2,10,+13
Jaden Hardy,13:15,1,1,1.000,0,0,,1,2,.500,1,1,2,2,1,0,2,1,3,+4
Olivier-Maxence Prosper,3:52,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+2
A.J. Lawson,3:52,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,+2
Markieff Morris,3:52,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+2
Brandon Williams,3:38,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+2
Alex Fudge,Did Not Play
Dwight Powell,Did Not Play
Team Totals,240,50,93,.538,17,50,.340,13,20,.650,16,39,55,35,6,7,14,19,130,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,7:50,0,1,.000,0,1,.000,0,0,,1,2,3,2,0,1,0,0,0,+13
Luka Dončić,12:00,7,12,.583,5,9,.556,2,4,.500,1,6,7,2,0,1,0,1,21,+18
P.J. Washington,7:50,0,4,.000,0,3,.000,0,0,,1,1,2,1,0,0,2,1,0,+13
Daniel Gafford,5:21,2,2,1.000,0,0,,0,0,,0,3,3,0,0,1,0,0,4,+5
Derrick Jones Jr.,9:31,1,2,.500,1,2,.500,0,0,,1,0,1,3,0,0,0,0,3,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,4:10,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,1,0,0,0,3,+5
Dante Exum,6:39,1,2,.500,0,1,.000,0,0,,1,2,3,1,0,0,0,1,2,+13
Maxi Kleber,6:39,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,3,+13
Jaden Hardy, 
Olivier-Maxence Prosper, 
A.J. Lawson, 
Markieff Morris, 
Brandon Williams, 
Alex Fudge,Did Not Play
Dwight Powell,Did Not Play
Team Totals,60,13,25,.520,8,18,.444,2,4,.500,5,16,21,10,1,3,3,4,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,12:00,4,7,.571,1,3,.333,0,0,,1,1,2,2,0,2,2,1,9,+4
Luka Dončić,7:08,2,4,.500,1,3,.333,1,1,1.000,0,0,0,3,0,0,1,0,6,+2
P.J. Washington,9:09,0,1,.000,0,1,.000,1,2,.500,0,2,2,1,0,0,0,1,1,-2
Daniel Gafford,5:44,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,4,-3
Derrick Jones Jr.,2:51,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,8:35,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,1,0,6,+3
Dante Exum,3:25,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,+1
Maxi Kleber,6:16,3,4,.750,1,2,.500,0,0,,4,2,6,1,0,0,0,0,7,+7
Jaden Hardy,4:52,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,+2
Olivier-Maxence Prosper, 
A.J. Lawson, 
Markieff Morris, 
Brandon Williams, 
Alex Fudge,Did Not Play
Dwight Powell,Did Not Play
Team Totals,60,13,24,.542,5,14,.357,2,3,.667,5,8,13,11,0,2,4,6,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,19:50,4,8,.500,1,4,.250,0,0,,2,3,5,4,0,3,2,1,9,+17
Luka Dončić,19:08,9,16,.563,6,12,.500,3,5,.600,1,6,7,5,0,1,1,1,27,+20
P.J. Washington,16:59,0,5,.000,0,4,.000,1,2,.500,1,3,4,2,0,0,2,2,1,+11
Daniel Gafford,11:05,4,4,1.000,0,0,,0,0,,0,4,4,1,0,1,0,0,8,+2
Derrick Jones Jr.,12:22,1,3,.333,1,3,.333,0,0,,1,1,2,3,0,0,0,2,3,+16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,12:45,3,4,.750,3,4,.750,0,0,,0,3,3,1,1,0,1,0,9,+8
Dante Exum,10:04,1,4,.250,0,2,.000,0,0,,1,2,3,2,0,0,0,2,2,+14
Maxi Kleber,12:55,4,5,.800,2,3,.667,0,0,,4,2,6,1,0,0,1,1,10,+20
Jaden Hardy,4:52,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,+2
Olivier-Maxence Prosper, 
A.J. Lawson, 
Markieff Morris, 
Brandon Williams, 
Alex Fudge,Did Not Play
Dwight Powell,Did Not Play
Team Totals,120,26,49,.531,13,32,.406,4,7,.571,10,24,34,21,1,5,7,10,69,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,9:20,0,2,.000,0,1,.000,2,2,1.000,0,1,1,4,1,0,0,1,2,-3
Luka Dončić,12:00,3,6,.500,2,4,.500,2,2,1.000,1,3,4,2,0,0,3,1,10,-8
P.J. Washington,6:39,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,1,0,-1
Daniel Gafford,5:32,4,4,1.000,0,0,,2,3,.667,1,1,2,0,0,0,0,0,10,-1
Derrick Jones Jr.,8:28,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,1,0,0,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,5:21,2,4,.500,0,2,.000,0,0,,0,1,1,0,0,0,0,0,4,-7
Dante Exum,6:12,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-9
Maxi Kleber,6:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Jaden Hardy, 
Olivier-Maxence Prosper, 
A.J. Lawson, 
Markieff Morris, 
Brandon Williams, 
Alex Fudge,Did Not Play
Dwight Powell,Did Not Play
Team Totals,60,10,21,.476,2,11,.182,6,7,.857,2,9,11,7,1,1,4,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,8:08,2,5,.400,1,3,.333,2,3,.667,0,2,2,1,1,0,0,1,7,+10
Luka Dončić,3:37,1,3,.333,0,1,.000,0,0,,0,1,1,3,0,0,0,0,2,+10
P.J. Washington,4:31,0,1,.000,0,1,.000,0,0,,1,0,1,0,1,0,0,0,0,0
Daniel Gafford,8:08,4,4,1.000,0,0,,0,1,.000,1,0,1,0,1,1,0,1,8,+10
Derrick Jones Jr.,3:37,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,4:31,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,0
Dante Exum,3:51,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+10
Maxi Kleber, 
Jaden Hardy,8:23,1,1,1.000,0,0,,1,2,.500,1,1,2,0,1,0,2,0,3,+2
Olivier-Maxence Prosper,3:52,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+2
A.J. Lawson,3:52,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,+2
Markieff Morris,3:52,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+2
Brandon Williams,3:38,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+2
Alex Fudge,Did Not Play
Dwight Powell,Did Not Play
Team Totals,60,14,23,.609,2,7,.286,3,6,.500,4,6,10,7,4,1,3,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,17:28,2,7,.286,1,4,.250,4,5,.800,0,3,3,5,2,0,0,2,9,+7
Luka Dončić,15:37,4,9,.444,2,5,.400,2,2,1.000,1,4,5,5,0,0,3,1,12,+2
P.J. Washington,11:10,0,2,.000,0,2,.000,0,0,,1,2,3,1,1,0,1,1,0,-1
Daniel Gafford,13:40,8,8,1.000,0,0,,2,4,.500,2,1,3,0,1,1,0,1,18,+9
Derrick Jones Jr.,12:05,3,5,.600,0,2,.000,0,0,,1,0,1,0,0,1,0,0,6,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,9:52,3,6,.500,0,3,.000,0,0,,0,1,1,0,0,0,0,0,6,-7
Dante Exum,10:03,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,+1
Maxi Kleber,6:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Jaden Hardy,8:23,1,1,1.000,0,0,,1,2,.500,1,1,2,0,1,0,2,0,3,+2
Olivier-Maxence Prosper,3:52,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+2
A.J. Lawson,3:52,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,+2
Markieff Morris,3:52,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+2
Brandon Williams,3:38,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+2
Alex Fudge,Did Not Play
Dwight Powell,Did Not Play
Team Totals,120,24,44,.545,4,18,.222,9,13,.692,6,15,21,14,5,2,7,9,61,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyrie Irving,37:18,.523,.467,.533,.333,5.5,16.4,11.0,27.4,2.6,6.8,10.4,21.3,127,98,5.4
Luka Dončić,34:45,.694,.680,.680,.280,5.9,29.4,17.6,43.1,0.0,2.4,12.5,38.3,136,105,16.3
P.J. Washington,28:09,.063,.000,.857,.286,7.3,18.1,12.7,10.2,1.7,0.0,27.6,16.0,47,105,-17.0
Daniel Gafford,24:45,.945,1.000,.000,.333,8.3,20.6,14.4,7.3,2.0,6.8,0.0,23.0,190,99,18.7
Derrick Jones Jr.,24:27,.563,.563,.625,.000,8.4,4.2,6.3,14.0,0.0,3.4,0.0,13.6,144,109,0.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tim Hardaway Jr.,22:37,.750,.750,.700,.000,0.0,18.1,9.0,5.7,2.1,0.0,9.1,20.2,132,105,4.8
Dante Exum,20:07,.200,.200,.600,.000,5.1,15.2,10.2,15.0,0.0,0.0,0.0,10.3,98,110,-12.1
Maxi Kleber,19:23,1.000,1.000,.600,.000,21.1,10.5,15.8,6.2,0.0,0.0,16.7,12.8,168,111,5.8
Jaden Hardy,13:15,.798,1.000,.000,2.000,7.7,7.7,7.7,15.6,3.6,0.0,51.5,12.1,99,103,-2.2
A.J. Lawson,3:52,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,32.2,60,113,-27.2
Markieff Morris,3:52,.000,.000,.000,.000,0.0,26.4,13.2,24.8,0.0,0.0,0.0,10.7,73,107,-11.9
Olivier-Maxence Prosper,3:52,1.500,1.500,1.000,.000,0.0,26.4,13.2,0.0,0.0,0.0,0.0,10.7,300,108,19.5
Brandon Williams,3:38,1.000,1.000,.000,.000,0.0,0.0,0.0,35.9,0.0,0.0,0.0,11.4,211,113,9.3
Alex Fudge,Did Not Play
Dwight Powell,Did Not Play
Team Totals,240,.639,.629,.538,.215,34.0,83.0,58.5,70.0,6.0,12.3,12.1,100.0,130.9,104.7,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles Bridges,36:00,8,15,.533,2,4,.500,4,4,1.000,1,4,5,3,1,1,2,3,22,-20
Brandon Miller,34:54,6,15,.400,4,8,.500,5,5,1.000,1,5,6,4,3,0,3,3,21,-20
Tre Mann,34:54,5,13,.385,0,2,.000,1,2,.500,1,4,5,6,1,0,0,0,11,-11
Grant Williams,32:09,5,12,.417,1,5,.200,1,2,.500,1,2,3,4,0,0,1,3,12,-16
Vasilije Micić,26:11,3,10,.300,0,3,.000,0,0,,0,2,2,4,1,1,2,3,6,-26
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dāvis Bertāns,23:29,5,11,.455,3,7,.429,0,0,,0,4,4,0,0,0,0,2,13,-11
Nick Richards,20:07,4,4,1.000,0,0,,0,0,,2,5,7,1,0,0,2,2,8,-12
Aleksej Pokusevski,12:56,1,2,.500,0,0,,2,4,.500,0,4,4,1,0,1,0,0,4,-4
JT Thor,3:52,2,2,1.000,0,0,,1,2,.500,2,1,3,0,0,0,0,0,5,-2
Bryce McGowens,3:52,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,1,0,0,0,2,-2
Leaky Black,3:52,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Marques Bolden,3:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Nick Smith Jr.,3:52,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,1,0,0,-2
Team Totals,240,39,89,.438,10,32,.313,16,21,.762,8,31,39,24,8,3,11,16,104,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
