,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,36:12,7,19,.368,0,5,.000,7,7,1.000,0,7,7,6,0,0,4,1,21,-20
Markelle Fultz,34:20,8,18,.444,0,2,.000,2,2,1.000,2,2,4,2,0,1,3,3,18,-10
Gary Harris,30:37,2,3,.667,2,2,1.000,0,0,,1,4,5,2,1,0,0,2,6,-9
Jalen Suggs,28:47,7,13,.538,2,5,.400,5,5,1.000,0,2,2,4,2,2,1,3,21,-11
Wendell Carter Jr.,20:36,3,7,.429,1,3,.333,0,0,,3,3,6,2,1,0,2,2,7,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moritz Wagner,21:57,4,8,.500,0,0,,4,4,1.000,2,3,5,1,1,0,1,1,12,+6
Jonathan Isaac,21:31,4,6,.667,1,2,.500,1,2,.500,2,6,8,1,2,1,1,1,10,-5
Joe Ingles,17:48,2,6,.333,1,4,.250,2,3,.667,0,3,3,2,0,1,1,0,7,+3
Cole Anthony,12:22,1,4,.250,0,0,,0,0,,0,0,0,2,1,0,0,2,2,-1
Caleb Houstan,7:43,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-2
Chuma Okeke,1:37,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0
Goga Bitadze,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Anthony Black,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jett Howard,1:37,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,1,1,0,0,0
Trevelin Queen,1:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Team Totals,240,39,86,.453,7,24,.292,21,23,.913,10,32,42,23,9,6,14,15,106,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,11:33,0,5,.000,0,2,.000,2,2,1.000,0,2,2,4,0,0,2,0,2,-12
Markelle Fultz,8:19,2,5,.400,0,1,.000,0,0,,1,1,2,1,0,0,1,0,4,-8
Gary Harris,8:19,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,3,-8
Jalen Suggs,9:42,2,4,.500,1,2,.500,2,2,1.000,0,1,1,1,0,1,1,0,7,-7
Wendell Carter Jr.,7:44,2,3,.667,1,1,1.000,0,0,,1,2,3,0,0,0,1,0,5,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moritz Wagner,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Jonathan Isaac,4:16,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-6
Joe Ingles,2:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Cole Anthony,3:41,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-3
Caleb Houstan,3:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Chuma Okeke, 
Goga Bitadze, 
Anthony Black, 
Jett Howard, 
Trevelin Queen, 
Team Totals,60,9,21,.429,3,8,.375,4,4,1.000,2,8,10,6,1,1,5,2,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,7:58,4,7,.571,0,2,.000,0,0,,0,3,3,1,0,0,2,0,8,-2
Markelle Fultz,7:58,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-2
Gary Harris,6:32,1,1,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,3,-2
Jalen Suggs,7:58,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,0,0,0,2,-2
Wendell Carter Jr.,6:32,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moritz Wagner,5:28,2,2,1.000,0,0,,2,2,1.000,1,0,1,1,0,0,0,0,6,+1
Jonathan Isaac,4:02,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,1,1,1,5,+1
Joe Ingles,5:28,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,0,0,+1
Cole Anthony,4:02,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,0,0,0,+1
Caleb Houstan,4:02,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+1
Chuma Okeke, 
Goga Bitadze, 
Anthony Black, 
Jett Howard, 
Trevelin Queen, 
Team Totals,60,11,23,.478,2,8,.250,2,2,1.000,2,9,11,8,3,1,3,3,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,19:31,4,12,.333,0,4,.000,2,2,1.000,0,5,5,5,0,0,4,0,10,-14
Markelle Fultz,16:17,3,8,.375,0,1,.000,0,0,,1,1,2,2,0,0,1,0,6,-10
Gary Harris,14:51,2,2,1.000,2,2,1.000,0,0,,1,2,3,0,1,0,0,1,6,-10
Jalen Suggs,17:40,3,8,.375,1,4,.250,2,2,1.000,0,2,2,3,0,1,1,0,9,-9
Wendell Carter Jr.,14:16,2,4,.500,1,2,.500,0,0,,1,2,3,0,1,0,1,1,5,-7
